,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Theme,Demographic,Spanish,German,French,Demographics
74,ぐでたま,The Lazy Egg,['TV'],1717,Finished Airing,"Mar 31, 2014 to Dec 24, 2023",['Spring 2014'],Not scheduled once per week,['Sanrio'],"None found,",['Gathering'],Original,"['Comedy', 'Gourmet']",,1 min. per ep.,G - All Ages,6.60,#6479,#5994,"13,393",60,2721,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved. (Source: ANN)",[],Gudetama,,,,['Kids'],,,,
75,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9139,#7124,"8,789",39,1932,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
76,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4018,#7384,"8,008",77,2549,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",['Comedy'],,['Kids'],El Ninja Boy Rantaró,,,
77,TSUKIPRO THE ANIMATION 2,,['TV'],13,Finished Airing,"Jul 7, 2021 to Dec 29, 2021",['Summer 2021'],Wednesdays at 22:30 (JST),['AZ Creative'],['Sentai Filmworks'],['PRA'],Mixed media,,"['Idols (Male)', 'Music']",23 min. per ep.,PG-13 - Teens 13 or older,6.40,#7701,#7390,"7,966",49,1338,"For the members of SolidS, Growth, SOARA, and QUELL, the Tsukino Talent Productions' Live 2021 Summer Carnival is coming soon. The two-day event will culminate with a joint live performance featuring all four units. Due to the size and setup of the stage, each unit will need to create new songs and choreographies to accompany them in the riveting second season of Tsukipro The Animation. [Written by MAL Rewrite]","['Prequel (TV) Tsukipro The Animation', '']",Tsukipro The Animation 2,,,,,,,,
78,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2630,#7918,"6,750",62,2174,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,['Comedy'],['School'],['Shoujo'],Chibi Maruko-chan,,,
79,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6590,#9181,"4,599",31,1735,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,['Kids'],,,,
80,ぼのぼの,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,5 min.,G - All Ages,6.37,#7890,#10230,"3,275",19,759,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),,,['Anthropomorphic'],,Bono Bono,Bono Bono,Bono Bono,
81,妖怪ウォッチ♪,,['TV'],98,Finished Airing,"Apr 9, 2021 to Mar 31, 2023",['Spring 2021'],Fridays at 18:25 (JST),"None found,","None found,",['OLM'],Game,"['Comedy', 'Supernatural']",,24 min. per ep.,G - All Ages,6.47,#7255,#10754,"2,816",28,767,"The new show will feature unique and returning Yo-kai. The comedy will also center on the original series' main characters: fifth-grader Keita (Nate in the English version), ghost butler Whisper, and popular Yo-kai like Jibanyan and Komasan. The original cast members for these four characters are returning for this new series. (Source: ANN)","['Prequel (TV) Youkai Watch!', '']",Youkai Watch ♪,,,['Mythology'],['Kids'],,,,
82,ミュークルドリーミー みっくす！,,['TV'],50,Finished Airing,"Apr 11, 2021 to Mar 27, 2022",['Spring 2021'],Sundays at 10:30 (JST),['TV Tokyo'],"None found,",['J.C.Staff'],Other,"['Adventure', 'Fantasy']",,24 min. per ep.,G - All Ages,6.88,#4922,#10852,"2,726",15,734,Second season of Mewkledreamy.,"['Prequel (TV) Mewkledreamy', '']",Mewkledreamy Mix!,,,,['Kids'],,,,
83,しかるねこ,,['TV'],Unknown,Currently Airing,"Mar 22, 2021 to ?",['Spring 2021'],Unknown,"None found,","None found,","None found,",['Manga'],,,30 sec.,G - All Ages,[],#14190,#11243,"2,433",17,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Adaptation (Manga) Shikaru Neko', '']",Shikaru Neko,,['Slice of Life'],,,,,,
84,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7759,#11546,"2,222",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,['Kids'],,,,
85,ふしぎ駄菓子屋 銭天堂,,['TV'],Unknown,Currently Airing,"Sep 8, 2020 to ?",['Fall 2020'],Tuesdays at 18:45 (JST),"None found,","None found,","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Novel,,,10 min.,G - All Ages,6.03,#9760,#11790,"2,061",5,203,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune. (Source: MAL News)","['Prequel (Movie) Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki', '']",Fushigi Dagashiya: Zenitendou,,['Mystery'],,['Kids'],,,,
86,マジカパーティ,,['TV'],51,Finished Airing,"Apr 4, 2021 to Mar 27, 2022",['Spring 2021'],Sundays at 09:30 (JST),"['Dentsu', 'TV Osaka']","None found,",['OLM'],Original,,,24 min. per ep.,G - All Ages,5.89,#10482,#12205,"1,806",10,263,"The franchise's story centers on wizards who gather mazica in order to save the world. Junior high school student Kezuru wakes up after a strange dream featuring himself as a wizard, a creature called ""mazin,"" and a mysterious girl. The next day, his friend Kuracchi proudly shows off the newly launched Mazica Party card game. To Kezuru's shock, all the characters drawn in the game's cards are just like the ones in his dream. Meanwhile, Kezuru receives a notification for an event at the major international company Mazica. Intrigued, Kezuru goes to the Mazica Store as directed, only to meet the Mazica CEO himself, Jeff Johns. Johns says, ""I have great expectations for you,"" and hands Kezuru Mazica Gear. On his way back home, Kezuru is attacked by an airship-like creature. Just when he thinks, ""this is it!"" to himself, his Mazica Gear erupts and a magic book appears. When he scratches a card, he seals a contract with Barunya, a ""mazin"" creature that is an odd remixed fusion between an airship and a cat. The mysterious girl Anya says Kezuru and those of his ilk will be ""the true wizards who save the world."" Amid all these mysterious revelations, Kezuru enrolls in the Mazica Academy and engages in Mazica Party card battles alongside his partner mazin. (Source: ANN)",[],Mazica Party,,['Fantasy'],['Strategy Game'],,,,,
87,おかしなさばくのスナとマヌ,,['TV'],50,Finished Airing,"Feb 14, 2021 to Feb 2, 2022",['Winter 2021'],Sundays at 03:20 (JST),['CHANCE iN'],"None found,",['Kachidoki Studio'],['Manga'],,,1 min. per ep.,PG - Children,5.71,#11319,#12330,"1,730",6,227,"The story centers on the everyday life of the cats Suna and Manu, who live in a desert — a desert made of sugar instead of sand. (Source: ANN)",[],Okashi na Sabaku no Suna to Manu,,['Comedy'],,,,,,
88,パズドラ,Puzzle & Dragon,['TV'],Unknown,Currently Airing,"Apr 2, 2018 to ?",['Spring 2018'],Mondays at 18:25 (JST),['Akatsuki'],"None found,",['Pierrot'],Game,,,24 min.,PG - Children,5.84,#10755,#12375,"1,701",6,147,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. (Source: Crunchyroll)",[],Puzzle & Dragon,PazuDora,,['Strategy Game'],['Kids'],,,,
89,新幹線変形ロボ シンカリオンZ THE ANIMATION,,['TV'],41,Finished Airing,"Apr 9, 2021 to Mar 18, 2022",['Spring 2021'],Fridays at 19:25 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']","None found,",['OLM'],Other,"['Action', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.50,#7051,#12403,"1,689",7,301,"In order to protect the peace and safety of Japan from the mysterious Giant Monstrous Beings, ""Shinkansen Transformable Robot Shinkalions"" were developed by the Shinkansen Ultra Evolution Institute. In preparation for the attack of new enemies, the Ultra Evolution Institute is developing a new type of robot called ""Shinkalion Z"" as well as new armed enhancement vehicles called ""Zailiners"" that transform from conventional trains to power up the ""Shinkalion Z"". The children who became the drivers of ""Shinkalion Z"" with a high Compatible rate will work together with the institute staff members to confront the giant monsters that reappeared The emergence of unknown enemies- And the encounter of two boys. (Source: Shinkalion Wiki)","['Prequel (TV) Shinkansen Henkei Robo Shinkalion The Animation', '']",Shinkansen Henkei Robo Shinkalion Z the Animation,,,['Mecha'],['Kids'],,,,
90,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,2 min.,G - All Ages,[],#16804,#13287,"1,295",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Kamiusagi Rope 4,,,,,,,
91,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9923,#14246,"1,002",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,Hana Kappa,['Comedy'],,['Kids'],,,,
92,DUEL MASTERS キング!,,['TV'],43,Finished Airing,"Apr 4, 2021 to Mar 27, 2022",['Spring 2021'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,","[""Brain's Base"", 'Shogakukan Music & Digital Entertainment']",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,G - All Ages,[],#20448,#14267,996,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Duel Masters King', 'Sequel (TV) Duel Masters King Max']",Duel Masters King!,,,,['Kids'],,,,
