,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
20,Aチャンネル,A-Channel,['TV'],12,Finished Airing,"Apr 8, 2011 to Jun 24, 2011",['Spring 2011'],Fridays at 01:40 (JST),"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System']",['Sentai Filmworks'],['Studio Gokumi'],['4-koma manga'],,"['CGDCT', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,6.93,#4654,#2193,"102,580",306,45562,"Forgetful and good-natured Run Momoki has been best friends with Tooru Ichii since childhood. Despite Run being one year older, her carefree attitude and popularity with the boys is a constant headache for the overprotective Tooru. To complicate matters further, when Tooru applies to the same high school as Run, she finds out that their little circle of two has grown into a quartet. Their new acquaintances—Nagisa Tennouji and Yuuko Nishi—are classmates of Run and, in Tooru's eyes, the two must prove they are trustworthy. As a new high school year begins, the girls balance their friendship with the exhilarating opportunities of school life. [Written by MAL Rewrite]","['Sequel (OVA) A-Channel+smile', 'Adaptation (Manga) A-Channel']",A-Channel,A-Channel: The Animation,,,,,['Comedy'],,
21,俺たちに翼はない -under the innocent sky.,We Without Wings – Under the Innocent Sky,['TV'],12,Finished Airing,"Apr 4, 2011 to Jun 20, 2011",['Spring 2011'],Unknown,"['Lantis', 'Delfi Sound', 'Marvelous AQL']",['Funimation'],['Nomad'],Visual novel,"['Comedy', 'Drama', 'Romance', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.63,#6328,#2351,"91,359",184,34221,"Haneda Takashi has a secret he cannot speak of. To leave his dull school-life, he was supposed to have escaped to another world. However, he is reeled in by certain ties on his heart. One of these is Kobato, his awkward younger sister. The other is Watarai Asuka, his negligent girlfriend. Chitose Shuusuke is a poor freeloader. He passes his days working at various part-time jobs. One day, he has a disastrous first encounter with Tamaizumi Hiyoko. The next time they meet, Shuusuke discovers that they are fellow employees at his part-time job. Narita Hayato sees himself as a ""hard-boiled"" person. Back-breaking jobs are nothing to him. Hayato shuns normal human contact, but, during the nights, he would get together with delinquents and other denizens of the night. One such night, he meets the cheerful and oblivious Otori Naru. The relationships with these girls will greatly affect these 3 young men. But what, exactly, is the relationship these young men have with each other? (Source: AnimeNFO)","['Adaptation (Manga) Oretachi ni Tsubasa wa Nai - Prelude', 'Adaptation (Manga) Oretachi ni Tsubasa wa Nai ~berceuse~', 'Adaptation (Manga) Oretachi ni Tsubasa wa Nai -Rhapsody-', '']",Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,"Oretsuba, We Don't Have Wings, Ore-tachi ni Tsubasa wa Nai",,"We, Without Wings: Under the Innocent Sky",,,,['Harem'],
22,イナズマイレブン Go,,['TV'],47,Finished Airing,"May 4, 2011 to Apr 11, 2012",['Spring 2011'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio', 'TV Tokyo Music']","None found,",['OLM'],Game,,"['Super Power', 'Team Sports']",24 min. per ep.,G - All Ages,7.02,#4295,#2420,"87,331",312,53747,"Tenma Matsukaze is a new student at Raimon Junior High. Due to his love for soccer, he decides to join the school soccer team, which gained its reputation after the amazing performance shown ten years earlier in the Football Frontier International, a tournament that hosts the best youth teams the world has to offer. Unfortunately, the once renowned school doesn't have the soccer spirit it once enjoyed. This is primarily due to the fact that soccer in Japan is now controlled by a dark entity known as the ""Fifth Sector."" They alone decide the fate of every match, instructing teams to either win or lose. The actions of the Fifth Sector have beaten down the country’s soccer teams, who no longer have a love for the game. Tenma and his teammates will look to shift this paradigm and fight back against their evil oppressors. Thankfully, they will not be alone in this battle, as they will get help from a group known as the ""Resistance."" Cheer on the boys of Inazuma Eleven Go as they fight the good fight!","['Prequel (TV) Inazuma Eleven', 'Sequel (TV) Inazuma Eleven Go: Chrono Stone', 'Adaptation (Manga) Inazuma Eleven Go', '']",Inazuma Eleven Go,,,,,,['Sports'],,
23,よんでますよ、アザゼルさん。,"You're Being Summoned, Azazel",['TV'],13,Finished Airing,"Apr 8, 2011 to Jul 1, 2011",['Spring 2011'],Unknown,"['Kodansha', 'KlockWorx', 'Memory-Tech', 'King Records', 'Fonishia']",['Nozomi Entertainment'],['Production I.G'],['Manga'],"['Comedy', 'Supernatural']","['Gag Humor', 'Mythology']",12 min. per ep.,R - 17+ (violence & profanity),7.50,#1976,#2462,"85,065",376,35030,"Akutabe is a detective who summons devils to solve the troubles of his clients. One day, a low class devil Azazel Atsushi is summoned by Akutabe and is used harshly by him and his assistant Rinko.","['Sequel (TV) Yondemasu yo, Azazel-san. Z', 'Adaptation (Manga) Yondemasu yo, Azazel-san.']","Yondemasu yo, Azazel-san. (TV)","Yondemasu yo, Azazel-san. (2011)",,,,['Seinen'],,,
24,遊☆戯☆王ZEXAL,Yu-Gi-Oh! Zexal,['TV'],73,Finished Airing,"Apr 11, 2011 to Sep 24, 2012",['Spring 2011'],Mondays at 19:30 (JST),"['TV Tokyo', 'Marvelous Entertainment', 'Nihon Ad Systems', 'Konami Cross Media NY']",['4Kids Entertainment'],['Gallop'],['Manga'],"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.43,#7523,#2514,"81,896",349,46876,"In the bustling and futuristic city of Heartland, a young boy named Yuuma Tsukumo has a dream that everyone his age wants to achieve—earning the title of the greatest duelist! Sadly, due to his lackluster dueling skills, this dream is far from achievable. But when the school bully, Ryouga ""Shark"" Kamishiro, splits the key given to him by his father into two pieces, he inadvertently sets Yuuma on a collision course with his dream. Retaining one half of the key, Yuuma begins a duel with Shark, but soon realizes that his inexperienced skills are no match for him. In a sudden turn of events, Yuuma's key repairs itself, and the ""Door of Destiny'' appears before him. Using the key to open it, Yuuma is greeted by an alien by the name of Astral—a being only he can see. The bewildered Yuuma soon learns that his memories have been divided into 100 ""Number Cards,"" all of which he must retrieve. However, he is also not the only one looking for them. Bombarded by these revelations, Yuuma, alongside Astral, must defend the world from the upcoming threats that loom over Heartland City—regardless of any divine intervention that may occur. [Written by MAL Rewrite]","['Sequel (TV) Yu☆Gi☆Oh! Zexal Second', 'Adaptation (Manga) Yu☆Gi☆Oh! Zexal']",Yu☆Gi☆Oh! Zexal,"Yugioh, Yuu Gi Ou! Zexal, Yu-Gi-Oh! Zeal, Yu-Gi-Oh! Zexal",Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,['Shounen'],,['Strategy Game'],
25,まりあ†ほりっく あらいぶ,Maria†Holic Alive,['TV'],12,Finished Airing,"Apr 8, 2011 to Jun 24, 2011",['Spring 2011'],Unknown,"['TV Tokyo Music', 'Omnibus Promotion']",['Sentai Filmworks'],['Shaft'],['Manga'],"['Comedy', 'Girls Love']","['Crossdressing', 'Parody', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,6.94,#4617,#2807,"68,423",71,30672,"When Kanako Miyamae transferred to a new all-girls school, she hoped to find true love. What she found instead was the beautiful Mariya Shidou, a charming classmate Kanako met on her first day. But Mariya has one flaw: she is actually a cross-dressing boy! After discovering Mariya's secret and becoming stuck with him as her roommate, Kanako's life has become a series of misfortunes. All she wants is to find the girl of her dreams, which is hard to do with the meddling of the sadistic Mariya and his sharp-tongued maid Matsurika Shinouji. Maria†Holic Alive continues the story of Kanako as she deals with being Mariya's roommate and aims to find true love, while enduring high school itself. [Written by MAL Rewrite]","['Prequel (TV) Maria†Holic', 'Adaptation (Manga) Maria†Holic']",Maria†Holic Alive,"Maria+Holic 2, Maria Holic 2, MariaHolic 2",,,,['Seinen'],,,
26,30歳の保健体育,A Thirty-Year Old's Health and Physical Education,['TV'],12,Finished Airing,"Apr 7, 2011 to Jun 23, 2011",['Spring 2011'],Thursdays at 03:00 (JST),"None found,","None found,",['Gathering'],Book,"['Comedy', 'Romance', 'Ecchi']","['Adult Cast', 'Parody']",13 min. per ep.,R - 17+ (violence & profanity),6.61,#6450,#2866,"65,833",83,27090,"Based on Mitsuba and Ichijinsha's 30-sai no Hoken Taiiku (Health and Physical Education for 30-Year-Olds) guidebook. The guide is aimed at men in their 30s who have not experienced romance or sex with women yet. Imagawa Hayao is a 30-year-old virgin bachelor. One day, a cupid descends from heaven with the express purpose of forcing him to graduate from virginity. Thus unfolds a pure love story between a 30-year-old bachelor and a 30-year-old bachelorette. (Source: AniDB)",[],30-sai no Hoken Taiiku,Sanjuu-sai no Hoken Taiiku,,,,,,,
27,爆丸バトルブローラーズ Gundalian Invaders,Bakugan: Gundalian Invaders,['TV'],39,Finished Airing,"Apr 3, 2011 to Jan 22, 2012",['Spring 2011'],Unknown,['Sega'],['Nelvana'],['TMS Entertainment'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,G - All Ages,6.36,#7905,#3235,"52,116",104,30742,"Bakugan Interspace is a virtual reality system, where players can brawl against each other and take part in tournaments. Initially designed to help practice and enhance Bakugan skills, it quickly became a meeting place for many enthusiasts. During one of Danma Kuusou's duels, the Interspace crashes, and he gets knocked out cold. Before regaining consciousness, he experiences a vision of Bakugan at war with each other once again. The explosion of energy that accompanied Danma's fight and caused the shutdown of the system sends shock waves across the galaxy, attracting the attention of the Twelve Orders, a Gundalian organization. They infiltrate Bakugan Interspace, looking for strong brawlers to join them in their upcoming war with another alien race, the Neathians. Danma and his companions—Shun Kazami and Chouji Marukura—soon find themselves caught up in an extraterrestrial war. However, distant as it may seem, the conflict threatens the very sovereignty of Earth and the future of the Bakugan race as well. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers: New Vestroia', 'Sequel (ONA) Bakugan Battle Brawlers: Mechtanium Surge']",Bakugan Battle Brawlers: Gundalian Invaders,,,Bakugan: Invasores de Gundalia,Bakugan: Gundalian Invaders,,,['Strategy Game'],
28,メタルファイト ベイブレード 4D,Beyblade: Metal Fury,['TV'],52,Finished Airing,"Apr 3, 2011 to Apr 1, 2012",['Spring 2011'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['SynergySP'],['Manga'],"['Adventure', 'Sports']",,24 min. per ep.,PG - Children,7.06,#4088,#3246,"51,828",206,33239,"In the Cosmos, an unusual event has occurred. Taking a break from their latest triumph over Faust and the Spiral Core, Ginga and Co find themselves saving a boy named Yuki from a mysterious youth named Johannes. Although Yuki is a boy genius and an astronomer, he is a Blader who owns “Anubius”. Yuki says that he has come to tell Ginga and his friends about the voice of the Star Fragment. He witnessed the Star Fragment (a meteor) fall from the sky one day. That single light dwells within Anubius and he says that he heard the voice of the Star Fragment that evening. A great evil is trying to revive the “Black Sun” and ""Nemesis"", the god of destruction, by using the unknown power of the Star Fragment and destroy the world. Ginga and his friends must fight again, just as soon as they get the hang of their new 4D system beys! The episode numbers continue from 103.","['Prequel (TV) Metal Fight Beyblade: Baku', 'Sequel (TV) Metal Fight Beyblade Zero G']",Metal Fight Beyblade 4D,Metal Fight Beyblade 3,,,Beyblade Métal Fury Saison 3,['Kids'],,,
29,戦国乙女～桃色パラドックス～,Battle Girls: Time Paradox,['TV'],13,Finished Airing,"Apr 5, 2011 to Jun 28, 2011",['Spring 2011'],Unknown,"None found,",['Sentai Filmworks'],['TMS Entertainment'],Game,"['Action', 'Comedy', 'Sci-Fi']","['Historical', 'Samurai', 'Super Power', 'Time Travel']",23 min. per ep.,R+ - Mild Nudity,6.54,#6846,#3325,"49,948",70,18583,"Yoshino Hide is an average girl who always seems to find trouble wherever she goes. One day Yoshino visits a local shrine to pray in order to pass her upcoming test. However, Yoshino sees a blue light coming from inside the Shrine and looks inside to find a mysterious person performing a magic spell. In a stroke of bad luck, Yoshino trips on a small bell and crashes into the shrine, prompting the stranger to catch her. Upon Yoshino's capture, the magic spell spirals out of control and sends Yoshino back in time to the Sengoku Era. Yoshino then encounters Akechi Mitsuhide and Oda Nobunaga. But unlike what really happened during the era, Hideyoshino realizes that everyone in the world is female. She then decides to help Oda Nobunaga find the Crimson Armor which is said to allow the person wearing the armor to conquer all of Japan.","['Adaptation (Manga) Hyakka Ryouran: Sengoku Otome - Haruna Denshou-hen', '']",Sengoku Otome: Momoiro Paradox,,Battle Girls: Time Paradox,Battle Girls: Time Paradox,Battle Girls: Time Paradox,,,,
