,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Synonyms,Genre,German,Spanish,Demographics,French
128,スーパードラゴンボールヒーローズ,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11260,#2568,"79,064",256,30948,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,['Martial Arts'],,,,,,
129,伊藤潤二『マニアック』,Junji Ito Maniac: Japanese Tales of the Macabre,['ONA'],12,Finished Airing,"Jan 19, 2023",,,"['Nippon Columbia', 'Asahi Shimbun', 'Yomiuri TV Enterprise', 'Pony Canyon Enterprises', 'Asahi Shinbun Shuppan']","None found,",['Studio Deen'],['Manga'],"['Drama', 'Horror', 'Supernatural']",,['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.65,#6207,#3009,"59,985",241,28564,"The anime series will adapt 20 stories from a number of Itou's manga for the first time, including Tomie, Souichi, and Kubitsuri Kikyuu (The Hanging Balloons). (Source: MAL News)","['Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Namekuji Shoujo', 'Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Kao Dorobou', 'Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Kubi Gensou', 'Adaptation (Manga) Itou Junji Kyoufu Manga Collection: Souichi no Noroi Nikki']",Itou Junji: Maniac,['Psychological'],,,,,,
130,ホロのぐらふぃてぃ,Holo Graffiti,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,852","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,,"Horogura, HoloGra",['Comedy'],,,,
131,グレッシブ烈子,Aggretsuko (ONA) 5th Season,['ONA'],10,Finished Airing,"Feb 16, 2023",,,['Sanrio'],"None found,",['Fanworks'],Other,,"['Anthropomorphic', 'Workplace']",,18 min. per ep.,PG-13 - Teens 13 or older,7.44,#2180,#4218,"31,175",57,17281,"The red panda accountant Retsuko and her hyena coworker, Haida, have finally started dating. Things seem to be looking up in Retsuko's life; however, Haida is now grappling with unemployment and an evolving gaming addiction. As Haida attempts to keep his struggles from his girlfriend, cracks begin to form in their relationship. Moreover, Haida is evicted from his apartment and seeks refuge in an internet cafe, where he meets his online friend, a skunk named Shikabane. As the secrets Haida hides from Retsuko pile up, their romantic journey reaches a tumultuous climax while a major presidential election looms ahead. To make matters worse, one of the candidates takes a particular interest in Retsuko and her singing talent, complicating their already hectic lives. [Written by MAL Rewrite]","['Prequel (ONA) Aggressive Retsuko (ONA) 4th Season', '']",Aggressive Retsuko (ONA) 5th Season,,,['Comedy'],,,,
132,伍六七之暗影宿命,Scissor Seven: Shadow Fate,['ONA'],10,Finished Airing,"Jan 18, 2023 to Mar 15, 2023",,,['bilibili'],"None found,","['Sharefun Studio', 'AHA Entertainment']",Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']","['Martial Arts', 'Super Power']",,16 min. per ep.,R - 17+ (violence & profanity),8.20,#393,#4255,"30,621",193,15280,"The protagonist Wu Liuqi originally lived a carefree life on Xiaoji Island, but his identity became a mystery due to amnesia. As outsiders landed on the island and recognized Wu Liuqi, various conspiracies began to cover Xiaoji Island. So Wu Liuqi decided to return to Xuanwu Kingdom to meet his destiny in order to protect his partners and their homeland. (Source: Bilibili, Google translated)","['Prequel (ONA) Wu Liuqi: Xuanwu Guo Pian', 'Sequel (ONA) Wu Liuqi: Jiyi Suipian']",Wu Liuqi: Anying Suming,,"Cike Wuliuqi 4th Season, Ci Ke Wu Liu Qi 4th Season, Assassin Seven 4th Season, Killer Seven 4th Season",,,,,
133,ヴィンランド・サガ SEASON2 Drowning in the Shadow,,['ONA'],1,Finished Airing,"Feb 14, 2023",,,"None found,","None found,",['MAPPA'],['Manga'],"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",['Seinen'],2 min.,R - 17+ (violence & profanity),7.45,#2161,#4736,"24,253",55,8712,"Thorfinn, shown initially as he appears as a member of Askeladd's raiders, cuts down some men in the middle of a raid. When he enters a nearby house, he finds a family cowering within. (Source: ANN, edited)",[],Vinland Saga Season 2: Drowning in the Shadow,,Vinland Saga Season 2 Episode 6.5,,,,,
134,左手上篮,Left-Hand Layup!,['ONA'],8,Finished Airing,"Feb 2, 2023 to Mar 16, 2023",,,['Tencent Penguin Pictures'],"None found,",['Heart & Soul Animation'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#4042,#7059,"8,986",98,1200,"The story follows teenager Xu Xingze, a passionate basketball player who aspires to join the Basketball Team of the regions top school after seeing their Star Player win the Final Four Tournament. When his sister accidentally enrolls him into a lesser school with a similar name, its up to Xu and his ragtag group of new friends to prove their worth and their skill on the Court against some of the top High School players in the Region.","['Sequel (ONA) Zuoshou Shanglan 2nd Season', '']",Zuoshou Shanglan,['Team Sports'],,['Sports'],,,,
135,COLORs,,['ONA'],1,Finished Airing,"Mar 24, 2023",,,['TOHO animation'],"None found,",['Wit Studio'],Original,,,,3 min.,PG-13 - Teens 13 or older,7.58,#1651,#7174,"8,638",61,4228,"A girl finds herself mesmerized by a young woman with pink hair. After repeated encounters with the woman, the girl realizes the person is one of her aloof classmates—who identifies as a boy in school. With her world in vibrant colors and her heart continuously fluttering, the girl follows the individual in hopes of learning more about them. However, as she tries to get closer, the distance between them only increases. [Written by MAL Rewrite]",[],COLORs,['Crossdressing'],,['Drama'],,,,
136,Fate/Grand Order 藤丸立香はわからない,Fate/Grand Order: You've Lost Ritsuka Fujimaru,['ONA'],33,Finished Airing,"Feb 4, 2023 to Jul 30, 2023",,,"['Notes', 'INSPION Edge']","None found,",['DLE'],['Manga'],,,,2 min. per ep.,PG-13 - Teens 13 or older,7.27,#3013,#7652,"7,313",20,2012,"Ritsuka Fujimaru—humanity's last master. It would not have been possible to restore humanity without him. However, he does have a shortcoming... he is far too honest! A slapstick comedy in which Fujimaru's simple questions sway the heroic spirits! (Source: MAL News)","['Prequel (TV Special) Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Nenmatsu Special', 'Sequel (ONA) Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 2', 'Adaptation (Manga) Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai', '']",Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,,Fate/Grand Order: Fujimaru Ritsuka Doesn't Get It,['Comedy'],,,,
137,ルパン三世 VS キャッツ・アイ,Lupin the 3rd vs Cat's Eye,['ONA'],1,Finished Airing,"Jan 27, 2023",,,"None found,","None found,",['TMS Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Mystery']",,['Seinen'],1 hr. 31 min.,PG-13 - Teens 13 or older,6.58,#6575,#9138,"4,667",11,2008,"Lupin III, the great phantom thief—the man who loves freedom and lives in romance—never fails to steal his prey. The Cat's Eye are the ladies who run the night splendidly and create commotion in the world. They are sometimes phantom thieves, other times three beautiful sisters who run a café. The mutual target is ""Three Paintings""—which were left behind by the three sisters' father, leading to the dream showdown between Lupin and the Cats. Amidst the mix-up of the charming characters, the story eventually leads to the amazing ""secret"" hidden in the picture... A retro and stylish exhilarating crime action unfolds! (Source: MAL News)",[],Lupin III vs. Cat's Eye,['Adult Cast'],,,,,,
138,子産み島 ～週7で産めるメスたち～,,['ONA'],2,Finished Airing,"Feb 17, 2023 to May 17, 2023",,,['Torudaya'],"None found,",['Seven'],Other,,,,15 min. per ep.,Rx - Hentai,6.32,N/A,#9734,"3,852",19,1748,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Koumi-jima Shuu 7 de Umeru Mesu-tachi,['Harem'],,['Hentai'],,,,
139,イジらないで、長瀞さん 2nd Attack ミニアニメ,"Don't Toy with Me, Miss Nagatoro 2nd Attack Mini Anime",['ONA'],12,Finished Airing,"Jan 8, 2023 to Mar 26, 2023",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,6.16,#9079,#9811,"3,765",16,1133,"The mini-anime for Ijiranaide, Nagatoro-san 2nd Attack released on Twitter and YouTube.",[],"Ijiranaide, Nagatoro-san 2nd Attack Mini Anime",['School'],,['Comedy'],,,,
140,黄金庭院：冬日里的新年愿望,Golden Courtyard: New Year Wishes in Winter,['ONA'],2,Finished Airing,"Jan 20, 2023 to Jan 21, 2023",,,['miHoYoAnime'],"None found,",['HuaMei Animation'],Game,,,,16 min. per ep.,PG-13 - Teens 13 or older,7.75,#1173,#9942,"3,596",46,1368,"On this wintry day, I'll stay with everyone at Golden Courtyard to do adorable things and create special memories, and then we'll embrace the new year in our unique way. Haha, does this sound ceremonious? After all, I want to create more such wonderful memories with every one of you, because I love you all ♪ (Source: Honkai Impact 3rd Official Youtube Channel)",[],Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,,,['Comedy'],,,,
141,ぷちクールドジ男子のひとコマ,,['ONA'],2,Finished Airing,"Mar 21, 2023 to Mar 28, 2023",,,"None found,","None found,",['AQUA ARIS'],['Web manga'],,"['Adult Cast', 'Iyashikei']",,10 min. per ep.,PG-13 - Teens 13 or older,6.28,#8397,#10127,"3,390",14,279,Mini anime of Cool Doji Danshi.,[],Petit Cool Doji Danshi no Hitokoma,,,['Slice of Life'],,,,
142,とーとつにエジプト神,"Oh, Suddenly Egyptian God 2",['ONA'],10,Finished Airing,"Jan 11, 2023 to Mar 15, 2023",,,"None found,","None found,",['Typhoon Graphics'],Other,"['Comedy', 'Fantasy']",,,5 min. per ep.,G - All Ages,6.62,#6375,#10344,"3,163",6,1244,Second season of Toutotsu ni Egypt Shin web series.,"['Prequel (ONA) Toutotsu ni Egypt Shin', '']",Toutotsu ni Egypt Shin 2,['Mythology'],"Suddenly, Egyptian Gods 2nd Season",,,,,
143,妖神记 第7季,Tales of Demons and Gods Season 7,['ONA'],52,Finished Airing,"Jan 14, 2023 to Jul 8, 2023",,,"['bilibili', 'Tencent Penguin Pictures']","None found,",['Ruo Hong Culture'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Martial Arts', 'Mythology']",,8 min. per ep.,PG-13 - Teens 13 or older,7.72,#1246,#11011,"2,593",13,968,Seventh season of Yao Shen Ji.,"['Prequel (ONA) Yao Shen Ji 6th Season', 'Sequel (ONA) Yao Shen Ji 8th Season']",Yao Shen Ji 7th Season,,,,,,,
144,KUROMI’S PRETTY JOURNEY,,['ONA'],21,Finished Airing,"Feb 17, 2023 to Mar 31, 2023",,,['Sanrio'],"None found,",['Qzil.la'],Original,"['Comedy', 'Fantasy']",,,2 min. per ep.,PG - Children,6.59,#6559,#11163,"2,487",24,755,"A photo was sent to Kuromi. It was a photo of her sister Romina, who had gone missing. Kuromi is desperate to see her sister again! Will she be able to find Romina? (Source: Kuromi's Pretty Journey Website)","[""Sequel (ONA) Kuromi's Pretty Journey: Hacha Mecha! Multiverse Daidasshutsu!"", '']",Kuromi's Pretty Journey,,,,,,,
145,炼气十万年,One Hundred Thousand Years of Qi Refining,['ONA'],260,Currently Airing,"Feb 18, 2023 to ?",,,['Tencent Penguin Pictures'],"None found,",['Suoyi Technology'],Web novel,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",,12 min. per ep.,PG-13 - Teens 13 or older,7.41,#2316,#11287,"2,392",26,647,"One hundred thousand years ago, he was the founding disciple of the Tianlan Sect, his master ascended to the top, and he was refining Qi. Ninety thousand years ago, his martial nephew ascended, and he was refining Qi. Fifty thousand years ago, the old dog who was the gatekeeper of Tianlanzong also ascended, and he was still refining Qi. Thirty thousand years ago, the old tree at the foot of the mountain also became a demon, and he was still refining Qi before he could pass the catastrophe. Ten thousand years ago, Zhang Wuji, the 9872nd generation disciple of Tianlanzong, also ascended, and Xu Yang silently refined Qi. He retreated for 10,000 years, and finally, he broke through the 9999th floor of the Qi refining period! Ten thousand years later, he broke through and came out! (Source: Baidu)",[],Lian Qi Shi Wan Nian,,,,,,,
146,师兄啊师兄,My Senior Brother Is Too Steady,['ONA'],13,Finished Airing,"Jan 19, 2023 to Apr 6, 2023",,,['Youku'],"None found,",['Sparkly Key Animation Studio'],Web novel,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",,20 min. per ep.,PG-13 - Teens 13 or older,7.64,#1438,#11474,"2,263",15,853,"After being reborn in ancient times before the Great God-Conferment War, Li Changshou became a small cultivator. To survive in the cruel Primordial Times, Li Changshou tries hard not to accumulate any karma. He always plans thoroughly before doing anything and never allows himself to walk into dangerous situations. He hides his trump cards well, trains himself in escape techniques, refines poisonous pills, and masters mystical abilities. Li Changshou originally planned to remain hidden and safe in the mountain until his ascension to immortality. However, everything changed one year when his master brought home a junior sister… (Source: Realm Scans)","['Sequel (ONA) Shixiong A Shixiong 2nd Season', '']",Shixiong A Shixiong,,Wo Shixiong Shizai Tai Wenjian Le,,,,,
147,解雇された暗黒兵士(30代)のスローなセカンドライフ ミニキャラアニメ第0話,Chillin' in My 30s after Getting Fired from the Demon King's Army Mini Anime Episode 0,['ONA'],1,Finished Airing,"Jan 3, 2023",,,"None found,","None found,",['AQUA ARIS'],['Light novel'],"['Comedy', 'Fantasy']",,,2 min.,PG-13 - Teens 13 or older,5.78,#11046,#11680,"2,138",1,536,Episode 0 of the mini anime for Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life.,"['Sequel (ONA) Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime', '']",Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime Episode 0,,,,,,,
148,仙武传,Legend of Xianwu,['ONA'],26,Finished Airing,"Mar 19, 2023 to Sep 3, 2023",,,"['Youku', 'Dongyao Dongman']","None found,",['Xiaoming Taiji'],Web novel,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",,15 min. per ep.,PG-13 - Teens 13 or older,7.26,#3072,#11771,"2,070",16,792,"As a loyal disciple, Ye Chen dedicated himself to guard the spiritual medicine field for his sect. But, during a fight with enemies, the spiritual field was destroyed. His loyalty and dedicating to the sect could not save him. The loyalty he thought he had obtained from his peers and lover, could not save him from betrayal. Thus, he was shamelessly banished from the sect. With the help of a flame falling from heaven, Ye Chen began to develop himself into a stronger cultivator. Battled against his opponents, unfolded his legendary life and rewrote his own story...","['Sequel (ONA) Xian Wu Chuan 2nd Season', '']",Xian Wu Chuan,,"仙武帝尊, King of Martial Arts, Xianwu Dizun, Xianwu Emperor",,,,,
