,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Genre,German,Spanish,French,Demographics
10,,金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,Vermeil in Gold,['TV'],12,Finished Airing,"Jul 5, 2022 to Sep 20, 2022",['Summer 2022'],Tuesdays at 22:30 (JST),"['Square Enix', 'Toei Video', 'Pony Canyon', 'AT-X', 'Studio Mausu', 'Hakuhodo DY Music & Pictures', 'BS11', 'APDREAM']",['Sentai Filmworks'],['Staple Entertainment'],['Manga'],"['Fantasy', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.80,#5351,#844,"308,620","2,091",125304,"Alto Goldfilled, a diligent student at the Ortigia Academy of Magic, aspires to become a powerful sorcerer. But he is unable to become one as, despite his excellent grades and strong commitment to his studies, he fails his summoning class. With the threat of repeating a year hanging over his head, Alto tries following an old, worn-out grimoire in a desperate attempt to resolve his situation. To his surprise, he succeeds and summons a powerful demon named Vermeil. As a sign of gratitude for releasing her, Vermeil agrees to become Alto's familiar, sealing their relationship with a deep kiss. Little does Alto know what else he is capable of and what Vermeil's past hides. [Written by MAL Rewrite]","['Adaptation (Manga) Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu', '']",Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,['School'],['Shounen'],,,,,
11,A Harem in a Fantasy World Labyrinth,異世界迷宮でハーレムを,Harem in the Labyrinth of Another World,['TV'],12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022",['Summer 2022'],Wednesdays at 23:30 (JST),"['Movic', 'AT-X', 'Docomo Anime Store', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'Shufunotomo', 'Cloud22']","None found,",['Passione'],['Light novel'],"['Action', 'Adventure', 'Fantasy', 'Erotica']","['Harem', 'Isekai']",24 min. per ep.,R+ - Mild Nudity,6.54,N/A,#925,"278,909","2,116",123969,"One day, high school student Michio Kaga attempts to start a strange online game he found while browsing the internet. Instead, he gets transported to a rural village in the game's world, equipped with special skills and an overpowered sword. After collecting his thoughts, he finds himself battling against bandits and soon realizes that he cannot log out. Resigning himself to fate and accepting this reality, Michio sets out on a journey—enjoying his new life, conquering dungeons to earn money, and building a harem to satisfy all his manly desires. [Written by MAL Rewrite]","['Adaptation (Manga) Isekai Meikyuu de Harem wo', 'Adaptation (Light Novel) Isekai Meikyuu de Harem wo']",Isekai Meikyuu de Harem wo,,,,,,,
12,The Berserker Rises to Greatness.,黒の召喚士,Black Summoner,['TV'],12,Finished Airing,"Jul 9, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 22:00 (JST),"['flying DOG', 'Bushiroad', 'Docomo Anime Store', 'bilibili', 'Overlap', 'Bushiroad Move', 'Bushiroad Creative']",['Crunchyroll'],['Satelight'],['Light novel'],"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4214,#987,"263,937","1,128",132036,"To prepare for reincarnation in another world, Kelvin gives up select memories from his previous life in exchange for powerful abilities, additional skill points, and an S-class summoner title. As a bonus, the goddess facilitating his rebirth, Melfina, offers him a choice of any companion to give him a head start in his summoner role. Kelvin—who has fallen head over heels for Melfina at first sight—promptly chooses the deity, confident that his passionate feelings for her will resurface even without all of his memories. Kelvin embarks on his exciting new journey with Melfina as his guide. However, in order to summon his beloved goddess' physical form, he needs to acquire significant amounts of mana points—and the best way to accomplish this is to level up by fighting strong enemies and making contracts with even stronger companions. [Written by MAL Rewrite]","['Adaptation (Manga) Kuro no Shoukanshi', 'Adaptation (Light Novel) Kuro no Shoukanshi']",Kuro no Shoukanshi,,,,,,,
13,,Engage Kiss,Engage Kiss,['TV'],13,Finished Airing,"Jul 3, 2022 to Sep 25, 2022",['Summer 2022'],Sundays at 00:30 (JST),"['Aniplex', 'Square Enix', 'Docomo Anime Store', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Contents Seed']",['Aniplex of America'],['A-1 Pictures'],Mixed media,"['Action', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5411,#1021,"255,257","1,245",97701,"Bayron City, a pioneering metropolis built on a newly discovered energy source, promises every citizen a luxurious and comfortable lifestyle. In reality, young demon exterminator Shuu Ogata's life is far from extravagant. Despite running a private military business, he often struggles to make ends meet due to reckless expenses. Fortunately, Kisara, his demon partner, is more than eager to help Shuu with household matters—albeit a little too forcefully for his comfort. The two work side by side, taking countermeasures against demon hazards, which stand as the biggest threats to the city. With danger lurking in the shadows, Shuu and Kisara strive to grant the town's safety; however, exterminating the possessed comes with a price unbeknownst to others. [Written by MAL Rewrite]",[],Engage Kiss,['Love Polygon'],,,,,,
14,Alternate World Pharmacy,異世界薬局,Parallel World Pharmacy,['TV'],12,Finished Airing,"Jul 10, 2022 to Sep 25, 2022",['Summer 2022'],Sundays at 21:30 (JST),"['Frontier Works', 'Pony Canyon', 'AT-X', 'Kansai Telecasting', 'BS NTV', 'Kadokawa', 'Bit grooove promotion']","None found,",['Diomedéa'],['Light novel'],,"['Isekai', 'Medical', 'Reincarnation']",23 min. per ep.,PG-13 - Teens 13 or older,7.27,#3021,#1059,"244,498",931,122992,"World-class medical researcher Kanji Yakutani lost his little sister to a tumor years ago due to ineffective treatment. To honor her legacy, he has dedicated his research to developing new medications for such conditions. But as fate would have it, he overworks himself and passes away at the age of 31, only to be given a second chance at life in another world. When he wakes up, Kanji finds himself in the body of a 10-year-old boy named Falma de Médicis, the son of an esteemed family of medical practitioners in the Sain Fleuve Empire. Bearing the mark of a deity's divine blessing, Falma is capable of performing a unique divine art, allowing him to create and reduce any substance with the knowledge of its chemical properties. After reading through some pharmacology books, Falma realizes that this world is operating on similar medical practices as in ancient times. He also learns that medicine is an exclusive privilege to the nobility, depriving commoners of proper medical care. Using the knowledge from his past life and the divine abilities granted to him, Falma resolves to make medicine available to those who need it—irrespective of class. [Written by MAL Rewrite]","['Adaptation (Manga) Isekai Yakkyoku', 'Adaptation (Light Novel) Isekai Yakkyoku']",Isekai Yakkyoku,,,['Fantasy'],,,,
15,,組長娘と世話係,The Yakuza's Guide to Babysitting,['TV'],12,Finished Airing,"Jul 7, 2022 to Sep 22, 2022",['Summer 2022'],Thursdays at 22:30 (JST),"['Pony Canyon', 'Bushiroad', 'Tokyo MX', 'Docomo Anime Store', 'bilibili', 'Micro Magazine Publishing', 'Bushiroad Move', 'Micro House']","None found,","['feel.', 'Gaina']",['Web manga'],,"['Childcare', 'Organized Crime']",23 min. per ep.,PG-13 - Teens 13 or older,7.75,#1148,#1071,"241,939","1,162",100770,"Tooru Kirishima's notoriety is spread far and wide in the underworld. He is most commonly known as ""The Demon of Sakuragi""—a man who is not afraid to resort to violence if deemed necessary. After almost jeopardizing a peace treaty, his boss tasks him with the most difficult job he has ever had: taking care of seven-year-old Yaeka Sakuragi—the boss' precious daughter—so that Tooru understands what it means to be responsible for another life. At first, the two do not seem to meet eye to eye, as Tooru has no clue on how to communicate with Yaeka, and the young girl is not used to expressing her emotions. However, as time goes on, they come to understand each other despite their differences. The fearsome right-hand man of a yakuza boss and the child he must protect are about to learn that family is not always bound by blood. [Written by MAL Rewrite]","['Adaptation (Manga) Kumichou Musume to Sewagakari', '']",Kumichou Musume to Sewagakari,,,['Slice of Life'],,,,
16,Tensei Kenjya no Isekai Life,転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,['TV'],12,Finished Airing,"Jul 4, 2022 to Sep 12, 2022",['Summer 2022'],Mondays at 20:00 (JST),"['Square Enix', 'Pony Canyon', 'Movic', 'BS Fuji', 'Sammy', 'BS NTV', 'SB Creative', 'GREE Entertainment']",['Sentai Filmworks'],['Revoroot'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.33,#8118,#1131,"230,191","1,404",93546,"After working himself to death in a hostile corporate environment, Yuuji Sano gets a second chance when he transmigrates to a game-like fantasy world. Although he wishes to lead an unassuming life, Yuuji learns that he has the title of a Monster Tamer, the weakest rank of adventurer. With his newfound skills, he tames a number of slimes around him and, with their help, acquires magical powers to become a Sage—a second profession that capitalizes on such potential. Even after gaining overwhelming strength, the scars from the life Yuuji left behind keep him from going all out. However, he might not be able to hide his abilities for much longer, as unforeseen dangers threaten to destroy the world that is now his only home. [Written by MAL Rewrite]","['Adaptation (Manga) Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita', 'Adaptation (Light Novel) Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita']","Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",['Isekai'],,,,,,
17,"Even so, Ayumu draws closer to the endgame, Even So, Ayumu Approaches, Soreayu",それでも歩は寄せてくる,When Will Ayumu Make His Move?,['TV'],12,Finished Airing,"Jul 8, 2022 to Sep 23, 2022",['Summer 2022'],Fridays at 01:28 (JST),"['Pony Canyon', 'TBS', 'Kodansha', 'Days']",['Sentai Filmworks'],['SILVER LINK.'],['Manga'],"['Comedy', 'Romance']","['Love Status Quo', 'School', 'Strategy Game']",24 min. per ep.,PG-13 - Teens 13 or older,7.02,#4315,#1446,"174,436",676,55335,"When middle school kendo champion Ayumu Tanaka begins his first year in high school, he does not take the expected route of joining the Kendo Club; he signs up for the unofficial Shogi Club instead. His sole motive is falling in love at first sight with Urushi Yaotome—the club's president and only member—and will do anything to get closer to her. However, Ayumu decides not to confess to Urushi until he can beat her in a match of shogi fair and square. Naturally, this self-imposed hurdle is a formidable challenge for Ayumu to overcome, as Urushi is far more experienced at the game and sees through his every strategy. Nevertheless, this does not stop him from praising her looks, her skill, or even her smile, which, coupled with Ayumu's expressionless face and direct approach, makes Urushi constantly blush beet red. Learning more about shogi and the charming player sitting across from him, Ayumu inches toward making his confession with each exciting round they play together—even if it is one pawn at a time! [Written by MAL Rewrite]","['Adaptation (Manga) Soredemo Ayumu wa Yosetekuru', '']",Soredemo Ayumu wa Yosetekuru,,['Shounen'],,,,,
18,My Recently Hired Maid is Suspicious,最近雇ったメイドが怪しい,The Maid I Hired Recently Is Mysterious,['TV'],11,Finished Airing,"Jul 24, 2022 to Oct 9, 2022",['Summer 2022'],Sundays at 02:00 (JST),"['Square Enix', 'Medicos Entertainment', 'King Records', 'Nagoya Broadcasting Network', 'ABC Animation', 'ABC Frontier']","None found,","['SILVER LINK.', 'Blade']",['Manga'],"['Comedy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.57,#6674,#1768,"136,299",519,43317,"The maid Lilith, hired to look after young Yuuri and his family's mansion, seems highly suspicious: she is too good to be true. Every dish she serves turns out to be delicious, the whole residence sparkles after she cleans it, and all the clothing has given off a pleasant scent since she started doing the laundry. Furthermore, her devilishly beautiful eyes only serve to heighten Yuuri's suspicions. Is Lilith perhaps a witch or a sorcerer? Yuuri cannot figure it out. But despite his misgivings, Yuuri has to live with Lilith as he tries to unravel the mystery behind her otherworldly charm. [Written by MAL Rewrite]","['Adaptation (Manga) Saikin Yatotta Maid ga Ayashii', '']",Saikin Yatotta Maid ga Ayashii,['Love Status Quo'],['Shounen'],,,,,
19,,シャドーハウス 2nd Season,Shadows House 2nd Season,['TV'],12,Finished Airing,"Jul 9, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 00:00 (JST),"['Aniplex', 'WOWOW', 'Tokyo MX', 'Shueisha', 'BS Asahi']","None found,",['CloverWorks'],['Manga'],"['Fantasy', 'Mystery']",,23 min. per ep.,PG-13 - Teens 13 or older,8.01,#658,#1830,"129,576",703,53759,"After the resolution of the debut, Kate and her Doll Emilico have officially become residents of the Shadows House. However, they are under constant vigilance by the Star Bearers—an elite group in charge of the children's wing. In order to escape from their surveillance and the morbid methods they use to keep everyone's loyalty in check, Kate and Emilico must be wary of who to trust and aim to become Star Bearers themselves. Meanwhile, the Star Bearers have encountered their own problems. A mysterious robed figure dubbed ""Master Robe"" has trespassed and roams around the children's wing. At first, Master Robe is deemed harmless, but more incidents start occurring that endanger the Dolls' lives—all of them pointing to the suspicious individual. To improve her reputation, Kate decides to solve the mystery herself. Yet, with so few clues and so many suspects, searching for Master Robe and their motive for attacking the mansion proves more challenging than she imagined. [Written by MAL Rewrite]","['Prequel (TV) Shadows House', 'Adaptation (Manga) Shadows House']",Shadows House 2nd Season,,['Seinen'],,,,,
20,,RWBY 氷雪帝国,RWBY: Ice Queendom,['TV'],12,Finished Airing,"Jul 3, 2022 to Sep 18, 2022",['Summer 2022'],Sundays at 22:30 (JST),"['Warner Bros. Japan', 'Good Smile Company', 'KLab', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['Shaft'],Other,,,24 min. per ep.,PG-13 - Teens 13 or older,6.34,#8032,#2036,"113,922",666,36479,"Since ancient times, the world of Remnant has been under constant threat by the Grimm: creatures of nightmare obsessed with destroying both humans and the half-human Faunus. To protect themselves, the four kingdoms of the world established academies that train young people to become huntsmen: warriors tasked with destroying Grimm. In the kingdom of Vale, the cheerful 15-year-old Ruby Rose has always dreamed of a life at the prestigious Beacon Academy. Sadly, being too young, she can only watch as her elder sister, Yang Xiao Long, sets off for the academy alone. But everything changes when Ruby fights off a group of armed robbers, and the news of her skillful exploit reaches Beacon's headmaster, Professor Ozpin. Ruby is over the moon when she receives an invitation to join the academy alongside her sister. Meanwhile, halfway across the world in the kingdom of Atlas, corporate heiress Weiss Schnee defies her father's wish and sets off for Beacon, her heart brimming with anxious resolve. At the same time, lonesome rogue Blake Belladonna abandons her vigilante group in hopes of finding a better life at the academy. When their paths converge, the meeting between the four girls is anything but friendly. With vastly different personalities and beliefs, they often end up clashing. However, when they work together, team RWBY begins to create ripples across Beacon, the likes of which have never been seen before. [Written by MAL Rewrite]","['Adaptation (Manga) RWBY: Hyousetsu Teikoku the Comic', '']",RWBY: Hyousetsu Teikoku,,,['Action'],,,,
21,,風都探偵,Fuuto PI,['TV'],12,Finished Airing,"Aug 8, 2022 to Oct 24, 2022",['Summer 2022'],Mondays at 22:00 (JST),"['Toei Video', 'Bandai', 'Magic Capsule', 'Bandai Spirits', 'ADK Emotions']","None found,",['Studio Kai'],['Manga'],"['Action', 'Mystery', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,7.32,#2725,#2714,"72,668",459,19504,"Shoutarou Hidari, a hard-boiled private investigator from the Narumi Detective Agency, lives for the sake of protecting the peace in the city of Fuuto alongside his inquisitive partner, Philip. One fine night, Shoutarou encounters a mysterious woman named Tokime, who is soon linked to several cases of homicide and theft. Shoutarou's investigation leads him to people using ""Gaia Memories""—memory units similar to thumb drives holding vast amounts of data—to turn into formidable beasts called ""Dopants."" While the majority of Gaia users were put down by the detective team in the past, a number of them still remain, posing a great threat to public safety. Once more, Shoutarou and Philip, Gaia users on the side of justice, must fight as Kamen Rider W—the renowned hero safeguarding Fuuto—to eradicate the nest of villainous Dopants, all while uncovering Tokime's true identity and confronting the long-forgotten past. [Written by MAL Rewrite]","['Sequel (Movie) Fuuto Tantei Movie: Kamen Rider Skull no Shouzou', 'Adaptation (Manga) Fuuto Tantei']",Fuuto Tantei,['Detective'],['Seinen'],,,,,
22,,惑星のさみだれ,Lucifer and the Biscuit Hammer,['TV'],24,Finished Airing,"Jul 9, 2022 to Dec 24, 2022",['Summer 2022'],Saturdays at 01:55 (JST),"['Nippon Animation', 'Mainichi Broadcasting System', 'Movic', 'Jumondo', 'BS11', 'My Theater D.D.', 'Live Viewing Japan', 'Sonilude', 'Mixer', 'Mirai-Kojo']","None found,",['NAZ'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama']",,24 min. per ep.,PG-13 - Teens 13 or older,5.63,#11685,#2975,"61,588",172,17238,"College student Yuuhi Amamiya's monotonous life is turned upside down with the appearance of Sir Noi Crezant, a talking lizard claiming to be a knight of justice. Crezant elaborates that the world is in peril—threatened by the mage Animus who wishes to annihilate it with his Biscuit Hammer, an enormous structure suspended in Earth's orbit. As the newly appointed Lizard Knight, Yuuhi must fight alongside other Beast Knights to protect the princess and save the planet from destruction. Unimpressed by the prospect of risking his life, Yuuhi continues his day as usual—until a golem created by Animus suddenly confronts him. Yuuhi is instantly overpowered, but his neighbor, Princess Samidare Asahina, luckily rescues him. To his surprise, Samidare's intention starkly differs from Crezant's; instead of saving the world, she aims to destroy it with her own hands. Captivated by her firm ambition, Yuuhi resolves to become stronger and help Samidare realize her goal. As the pair continues to fight against Animus' golems, Yuuhi finds himself gradually gaining an interest in life—but the chains of his past trauma may restrain him from progressing further. [Written by MAL Rewrite]","['Adaptation (Manga) Hoshi no Samidare', '']",Hoshi no Samidare,['Psychological'],['Seinen'],,,,,
23,Orient Part 2,オリエント 淡路島激闘編,,['TV'],12,Finished Airing,"Jul 12, 2022 to Sep 27, 2022",['Summer 2022'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'Kodansha', 'AT-X', 'Avex Pictures', 'bilibili', 'Crunchyroll']","None found,",['A.C.G.T.'],['Manga'],"['Action', 'Adventure', 'Fantasy']","['Historical', 'Samurai']",23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4227,#3006,"60,078",264,21923,"After Musashi rescues Michiru Saruwatari from a demon, his friend Kojirou Kanemaki discovers that his father was a member of the Uesugi clan. Determined to learn more about his own past, Kojirou—alongside his Kanemaki clansmen—decides to participate in Uesugi's punitive expedition against the demon lord of Awaji Island: Yamata no Orochi, an eight-headed dragon that threatens to engulf the entire region. However, upon joining Uesugi's military alliance, Musashi faces the harsh reality of fighting against powerful demons. Humiliated by his lack of power and inability to work in groups, he has to learn how to cooperate with his newfound allies. Meanwhile, the Obsidian Eight—a group pursuing the Obsidian Goddess that dwells within Musashi's body—resumes its hunt for Musashi, and plans to thwart the ongoing island operation. As the situation grows chaotic, Musashi and his friends must foil the machinations of the various factions conspiring to seize the Obsidian Goddess. [Written by MAL Rewrite]","['Prequel (TV) Orient', 'Adaptation (Manga) Orient']",Orient: Awajishima Gekitou-hen,,['Shounen'],,,,,
24,,東京ミュウミュウ にゅ～♡,Tokyo Mew Mew New,['TV'],12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022",['Summer 2022'],Wednesdays at 00:00 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha']",['Sentai Filmworks'],"['Yumeta Company', 'Graphinica']",['Manga'],"['Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.61,#6440,#3460,"46,437",343,11481,"Ichigo Momomiya is excited to start high school and fall in love. She is in luck when she meets the popular and good-looking Masaya Aoyama, and she immediately develops a crush on him. When Ichigo learns that Aoyama is passionate about the environment, she seizes the chance to ask him out thanks to some tickets to an exhibition about endangered animals. During their date, Ichigo is struck by a mysterious light and faints. Waking up to the sight of Aoyama, she remains unharmed—but they both must escape from a giant rat-like creature after it injures Aoyama. To save her crush, Ichigo awakens her powers and transforms into a heroine with the skills of a cat. After she defeats the monster, researchers Ryou Shirogane and Keiichiro Akasaka explain that Ichigo was chosen to become a part of the Mew Project: a group of five magical girls whose DNA has been infused with those of certain endangered species. Now, Ichigo must find the rest of her teammates to defeat the Chimera Anima—beings infected by aliens who want to take over the world—before it is too late. [Written by MAL Rewrite]","['Sequel (TV) Tokyo Mew Mew New ♡ 2nd Season', 'Adaptation (Manga) Tokyo Mew Mew']",Tokyo Mew Mew New ♡,['Mahou Shoujo'],['Shoujo'],,,,,
25,"Jashin-chan Dropkick 3rd Season, Dropkick On My Devil!! 3rd Season",邪神ちゃんドロップキックX,Dropkick On My Devil!! X,['TV'],12,Finished Airing,"Jul 6, 2022 to Sep 21, 2022",['Summer 2022'],Wednesdays at 02:05 (JST),"None found,","None found,",['Nomad'],['Web manga'],"['Comedy', 'Supernatural']","['Gag Humor', 'Mythology']",23 min. per ep.,PG-13 - Teens 13 or older,7.42,#2247,#3594,"43,339",148,14462,"Ever since she was summoned from Hell by the witch Yurine Hanazono, Jashin-chan—a half-human, half-snake demon—has been searching for any way to go back. One of her options is to kill the one who summoned her, which is much easier said than done. Jashin-chan often finds herself getting violently beaten by Yurine after not only any failed murder attempt, but also when she is just causing mischief, destroying any hope of going back home to Hell. The demon is also terrible with money and tends to gamble all of it away at pachinko. In one of these gambling sessions, she loses the three million yen she received from Hell Financing, putting her into a lifelong debt. To avoid repaying it altogether, Jashin-chan flees to Hokkaido to try and hide for the rest of her days, but her wish of having her debts forgotten may just be a pipe dream when someone comes knocking for the money. [Written by MAL Rewrite]","[""Prequel (TV) Jashin-chan Dropkick'"", 'Adaptation (Manga) Jashin-chan Dropkick']",Jashin-chan Dropkick X,,,,,,,
26,Utawarerumono 3,うたわれるもの 二人の白皇,Utawarerumono: Mask of Truth,['TV'],28,Finished Airing,"Jul 3, 2022 to Dec 25, 2022",['Summer 2022'],Sundays at 01:00 (JST),"['KlockWorx', 'MAGES.', 'AQUAPLUS', 'King Records', 'Crunchyroll']","None found,",['White Fox'],Visual novel,"['Action', 'Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.52,#1873,#3756,"40,019",189,8104,"After the events of Mask of Deception, the Yamato Empire is now ruled with an iron fist by a ruthless usurper who seeks to subjugate all before him. It's up to a couple of familiar faces to band together against the might of the Imperial army, and the fate of the world hangs in the balance as nations and generals must pick a side to fight with in this perilous civil war. Secrets will be revealed, friendships will be tested, and battles will be fought. Will peace and order be restored or will victory at any cost be the beginning of the end? (Source: Atlus)","['Prequel (TV) Utawarerumono: Itsuwari no Kamen', '']",Utawarerumono: Futari no Hakuoro,,,,,,,
27,,ブッチギレ!,Shine On! Bakumatsu Bad Boys,['TV'],12,Finished Airing,"Jul 8, 2022 to Sep 23, 2022",['Summer 2022'],Fridays at 22:30 (JST),"['Ai Addiction', 'bilibili', 'Twin Engine', 'Gloria']","None found,",['Geno Studio'],Original,,"['Historical', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,6.00,#9916,#3855,"37,882",144,10679,"Following a ruthless attack from an imperialist criminal gang known as the Masked Demons, Shinsengumi's Eighth Division—the law-enforcing squad in Kyoto that remains faithful to the shogunate—is nearly annihilated, with its sole survivor, Heisuke Toudou, critically injured. Urged to rebuild the Shinsengumi by the local feudal lord, Katamori Matsudaira, Toudou decides to offer eight convicts the chance to redeem themselves: they must abandon their old names and become substitutes for the eight Shinsengumi captains. All accept but one, who ends up immediately executed by the former assassin Sakuya. However, Toudou has a hard time transforming the seven reformed criminals into loyal servants. Due to his lack of discipline, the impulsive and vengeful Ichibanboshi, whose family perished at the hands of the Masked Demons, threatens the success of Toudou's strategy. As Toudou pledges to protect the shogunate against imperialists and foreign invaders, other factions, such as Kogorou Katsura's group, start to put their plans in motion with only one goal in mind—to seize power at the dusk of the Edo period. [Written by MAL Rewrite]",[],Bucchigire!,,,['Action'],,,,
28,,プリマドール,Prima Doll,['TV'],12,Finished Airing,"Jul 9, 2022 to Sep 24, 2022",['Summer 2022'],Saturdays at 00:30 (JST),"['Mainichi Broadcasting System', 'Visual Arts', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'JR East Marketing & Communications', 'MAGNET', 'AQUA ARIS', 'Pia', 'BS Asahi']",['Sentai Filmworks'],['Bibury Animation Studios'],Mixed media,"['Sci-Fi', 'Slice of Life']",,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4085,#3931,"36,290",194,10372,"Black Cat Cafe is located in the fifth ward of the Imperial Capital. Having lost their purpose after the war ended a few years prior, advanced mechanical dolls known as Automata have been restored and now work at the cafe wearing elegant kimonos. While they adjust to the peaceful world, events of the past continue to haunt the Automata, preventing them from letting go of the responsibility they once held. Among the Automata working at Black Cat Cafe is the recently restored Haizakura, who has lost her memories during a reset. Her identity and role in this unfamiliar world are a mystery to her, but one thing is certain—she loves to sing. With never-ending curiosity and beautiful songs to guide them, Haizakura and the Automata search for their new purpose together, supporting each other no matter how rigorous that endeavor might be. [Written by MAL Rewrite]",[],Prima Doll,,,,,,,
