,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Themes,Demographic,Genre,Demographics
114,,機動戦士Zガンダム -星を継ぐ者-,Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,,,['Movie'],1,Finished Airing,"May 28, 2005",,,['Sotsu'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,"['Award Winning', 'Drama', 'Sci-Fi']",,1 hr. 34 min.,PG-13 - Teens 13 or older,7.05,#4143,#5881,"14,090",6,6861,Digitally remastered compilation movies for the Zeta Gundam TV series with some new footage. Part of Gundam's 25th Anniversary celebration. (Source: AniDB),"['Prequel (TV) Kidou Senshi Gundam', 'Prequel (Movie) Kidou Senshi Gundam III: Meguriai Sora-hen', 'Prequel (OVA) Kidou Senshi Gundam 0083: Stardust Memory', 'Sequel (Movie) Kidou Senshi Z Gundam II: Koibito-tachi']",Kidou Senshi Z Gundam I: Hoshi wo Tsugu Mono,,"['Mecha', 'Military', 'Space']",,,
115,"Precure Movie, Eiga Futari wa Pretty Cure: Max Heart",ふたりはプリキュア ー マックスハート,,,,['Movie'],1,Finished Airing,"Apr 16, 2005",,,['Asatsu DK'],"None found,",['Toei Animation'],Original,,['Mahou Shoujo'],1 hr. 10 min.,G - All Ages,6.77,#5488,#7473,"7,785",5,3600,"The Courageous Warriors of the Garden of Hope have summoned Nagisa, Honoka, and Hikari to protect their kingdom from a witch who plans to steal the Diamond Line, which is a set of jewelry the queen of the Garden of Hope wears to a ceremony every year to replenish the water of the kingdom. The witch plans to resurrect the Dark Lord and if she does so, not only will the Garden of Hope be destroyed, but other kingdoms in the galaxies, including the Garden of Rainbows and the Garden of Light. (Source: ANN)","['Adaptation (Manga) Eiga Futari wa Precure: Max Heart', '']",Futari wa Precure: Max Heart Movie 1,,,,['Comedy'],
116,"Eiga Crayon Shin-chan: Densetsu wo Yobu Buriburi 3-punpokkiri Daishingeki, Crayon Shin-chan: The Legend Called Buri Buri 3 Minutes Charge",映画 クレヨンしんちゃん　伝説を呼ぶ　ブリブリ　３分ポッキリ大進撃,,,,['Movie'],1,Finished Airing,"Apr 16, 2005",,,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],1 hr. 28 min.,G - All Ages,6.67,#6095,#9217,"4,565",3,2338,"An action comedy including parodies of tokusatsu monster/hero genre, such as ""Godzilla"" and ""Ultraman."" A time-space conditioner from the future, Miraiman, suddenly appears before the Nohara family, and he requests the family to fight against giant monsters who appear from time-space distortion one after another, in order to save the world from destruction. Every time monsters appear, Shinnosuke's parents, father Hiroshi and mother Misae go to the world three minute later, transform themselves into righteous heroes and defeat them within the time limit of three minutes. Hiroshi and Misae become wrapped up in getting rid of monsters, and Misae stops doing the housework. Then, a strong monster appears, and he cannot be defeated within three minutes. Shinnosuke rises up against the monster. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys', 'Sequel (Movie) Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!']",Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3-pun Dai Shingeki,Shin Chan Película 13: 3 Minutos para Salvar el Mundo,,['Seinen'],,
117,,ARK,,,,['Movie'],1,Finished Airing,"Jun 2, 2005",,,"['Skouras', 'Hanho Heung-Up', 'Digital Rim']","None found,",['Digital Dream Studios'],Original,"['Action', 'Fantasy', 'Sci-Fi', 'Supernatural']",,1 hr. 29 min.,PG-13 - Teens 13 or older,5.84,#10723,#13160,"1,350",1,475,"Ark takes place on a dying alien world in which a global war between two technologically advanced human civilizations has reduced the planet to a wasteland. The only way to escape the world is by activating the Ark, an ancient giant robot capable of supporting a human city as well as traveling through space. (Source: Wikipedia)",[],Ark,,"['Mecha', 'Military']",,,
118,,あした元気にな～れ!～半分のさつまいも～,Tomorrow Will Become Better!: Half a Sweet Potato,,,['Movie'],1,Finished Airing,"Jun 30, 2005",,,['Studio Kelmadick'],"None found,",['AYCO'],Novel,,,1 hr. 29 min.,None,6.38,#7783,#14116,"1,049",1,182,The story is about a 5-year-old girl who lived in just after World War II when people were struggle for living. (Source: AnimeNfo),[],Ashita Genki ni Nare!: Hanbun no Satsumaimo,,,,['Drama'],
119,Tough Guys!,Tough Guy!,Tough Guy!,,,['Movie'],1,Finished Airing,"Jun 3, 2005",,,"None found,","None found,","None found,",Original,"['Action', 'Award Winning', 'Comedy']",,6 min.,G - All Ages,5.27,#12754,#15369,728,0,270,"An aggressive and martial arts-devoted mantis kicks cans and hunts down cicadas, bringing havoc into the life of a couple of humans. This personal opus by Shintaro Kishimoto, now steady collaborator of Production I.G's 3D crew, won the prestigious Ofuji Award in 2005. (Source: Production I.G)",[],Tough Guy!,,,,,
120,,立体悲剧,Cubic Tragedy,,,['Movie'],1,Finished Airing,"Jun 8, 2005",,,"None found,","None found,","None found,",Original,"['Comedy', 'Drama']",,3 min.,G - All Ages,5.86,#10612,#19139,337,1,177,"A polygonal girl tried to make herself prettier by using her new cosmetic tools, and by doing so accidentally ruined her own face. (Source: IMDB)",[],Liti Beiju,,,,,
121,A-Kuei and His Magic Hammer,アークエとガッチンポー THE MOVIE チェルシーの逆襲 / アークエと魔法のハンマー,,,,['Movie'],1,Finished Airing,"Apr 29, 2005",,,"None found,","None found,","None found,",Unknown,,,1 hr. 45 min.,G - All Ages,[],#16532,#19413,319,0,,A double release featuring two Akuei movies; Counterattack of Chelsea and Akuei and His Magic Hammer.,[],Akuei to Gacchinpo The Movie: Chelsea no Gyakushuu/Akuei to Mahou no Hammer,,,['Kids'],['Comedy'],
122,,雲の学校,,,,['Movie'],1,Finished Airing,"May 22, 2005",,,"None found,","None found,","None found,",Novel,"['Drama', 'Slice of Life']",,1 hr. 30 min.,G - All Ages,[],#19668,#20146,279,0,,"Near the end of the 19th century, a young boy loses his father and has to move from a comfortable city to a poor village in Saitama. There, living with his mother, elder sister, and a dog, he learns valuable lessons about what's truly important in life.",[],Kumo no Gakkou,,,,,
123,,印順導師傅,Ven. Yin Shun,,,['Movie'],1,Finished Airing,"Apr 23, 2005",,,"None found,","None found,","None found,",Original,,['Historical'],1 hr. 22 min.,PG-13 - Teens 13 or older,[],#16057,#23349,127,0,,"The story begins in 742AD, when Japanese monks Yoei and Fusho, pay a visit to Jian Zhen, the abbot of Daming Temple in Yangzhou, China, and implore him to help implement Buddhist precepts in their homeland. When his disciples shy away from the task, the abbot volunteers himself. From 743AD, he tries to sail to Japan several times and only succeeds on his sixth attempt. By then he had already lost his eyesight, yet not once did he lose sight of his aspiration nor did he allow his determination to falter. Bringing along with him several Chinese artisans, Jian Zhen, himself a medical practitioner, went on to make major contributions to the development of Buddhism in Japan, as well as to its culture, architecture and traditional Chinese medicine. (Source: IMDB)",[],Yin Shun Daoshi Fu,,,,['Drama'],
124,,おじゃる丸 まったりプラネタリウム,,,,['Movie'],1,Finished Airing,"May 22, 2005",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Space'],Unknown,G - All Ages,[],#20811,#24162,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ojarumaru: Mattari Planetarium,,,['Kids'],,
125,"Elfen Lied Special, Elfen Lied OVA",エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）,"Elfen Lied: In the Passing Rain, or, How Can a Girl Have Reached Such Feelings?",,,['Special'],1,Finished Airing,"Apr 21, 2005",,,"['VAP', 'Genco', 'Zack Promotion']",['ADV Films'],['Arms'],['Manga'],"['Drama', 'Horror', 'Suspense', 'Ecchi']",,25 min.,R+ - Mild Nudity,7.13,#3746,#1286,"198,793",259,116662,"Having been accepted into the Kaede Inn, Nana struggles to find some way to contribute, though she inadvertently brings more trouble than assistance. However, Nana's worries are directed more towards fellow resident Nyu, whom she had only known as Lucy, the violent Diclonius. Fearful that Nyu will unleash the same horrific savagery—violence that scars Nana to this day—upon those close to her, Nana faces a dilemma: attempt to live peacefully alongside Lucy with all the uncertainty that that entails or dispose of the source of her worries, shattering the relationships she has formed at the inn. As Nana struggles to come to a decision, Nyu recalls a painful memory of one of her dearest friends and one of her greatest rivals. [Written by MAL Rewrite]",[],"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",,"['Gore', 'Psychological', 'Super Power']",['Seinen'],,
126,"Aa! Megami-sama! Episodes 12.5, 25 and 26, Oh! My Goddess Specials",ああっ女神さまっ,Ah! My Goddess Specials,Oh! My Goddess,,['Special'],3,Finished Airing,"Apr 1, 2005 to Dec 23, 2005",,,['Bandai Visual'],"['Media Blasters', 'NYAV Post']",['AIC'],['Manga'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1940,#4442,"28,226",44,14916,"Due to the recent events that happened on the last episodes of the season, the Goddess have some stability problems with their body systems. The always adult looking Urd becomes a little girl and has a fateful encounter with a boy, whereas little Skuld becomes an adult and wants to experiment adulthood together with Keiichi.","['Adaptation (Manga) Aa! Megami-sama!', '']",Aa! Megami-sama! (TV) Specials,,,['Seinen'],,
127,Bleach: Jump Festa 2004,,Bleach: 13 Court Guard Squads Omake,,,['Special'],1,Finished Airing,"Jun 12, 2005",,,"None found,","None found,",['Pierrot'],['Manga'],"['Action', 'Supernatural']",,3 min.,PG-13 - Teens 13 or older,6.54,#6807,#5443,"17,228",30,6652,A showcase of all the Gotei 13 and their lieutenants. Also serves as a trailer of the soul society arc.,[],Bleach: Gotei 13 Omake,,,['Shounen'],,
128,"Ichigo Marshmallow Episode 0, Strawberry Marshmallow Episode 0",苺ましまろ,Strawberry Marshmallow Prologue,,,['Special'],1,Finished Airing,"Jun 8, 2005",,,"None found,","['Sentai Filmworks', 'Geneon Entertainment USA']",['Daume'],['4-koma manga'],,['CGDCT'],4 min.,PG-13 - Teens 13 or older,7.02,#4294,#5540,"16,448",9,9036,A brief special where the girls pretend to be astronauts.,"['Adaptation (Manga) Ichigo Mashimaro', '']",Ichigo Mashimaro Episode 0,,,,['Comedy'],
129,"The Virgin Mary is Watching You: Spring, MariMite: Haru, La Vierge Marie Vous Regarde, Maria-sama ni wa Naisho, Don't tell the Virgin Mary",マリア様がみてる～春～,Maria Watches Over Us: Printemps,,,['Special'],6,Finished Airing,"Oct 22, 2004 to May 23, 2005",,,"None found,",['Nozomi Entertainment'],['Studio Deen'],['Light novel'],"['Drama', 'Girls Love']",['School'],1 min. per ep.,PG - Children,7.25,#3116,#7021,"9,149",4,4153,Specials of Maria-sama ga Miteru: Haru released on the DVDs only.,[],Maria-sama ga Miteru: Haru Specials,,,['Shoujo'],,
130,"Air Episode 13, Air Soushuuhen, Air Memories",AIR 総集編,Air: Memories,,,['Special'],1,Finished Airing,"Apr 1, 2005",,,"None found,",['ADV Films'],['Kyoto Animation'],Visual novel,"['Drama', 'Romance', 'Supernatural']",,22 min.,PG-13 - Teens 13 or older,6.26,#8489,#7573,"7,537",3,3137,"A recap of Air. It was also included on its own DVD release, separate from the original show's DVD/BD releases.",[],Air Recap,,,,,
131,"Uta Kata Special OVA, Uta∽Kata, Shotou no Futanatsu, Twin Summers of the First Winter",うた∽かた - 初冬の双夏,Utakata: Summer Pair of Early Winter,,,['Special'],1,Finished Airing,"Apr 22, 2005",,,"['Bandai Visual', 'gimik']",['Sentai Filmworks'],['HAL Film Maker'],Original,"['Drama', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,6.87,#5004,#8170,"6,261",6,3235,"It's now winter in Kamakura. When Satsuki tells her friends that she'd seen Manatsu, Ichika at first doesn't believe it. But on the day before her 15th birthday, Manatsu's mirror fragment inside Ichika's desk drawer mysteriously disappears. That evening, a young girl calling herself ""Mafuyu, Manatsu's identical twin"" appears before Ichika with a mischievous smirk on her face. (Source: AniDB)","['Prequel (TV) Uta∽Kata', '']",Uta∽Kata: Shotou no Futanatsu,,"['Mahou Shoujo', 'Psychological']",,,
132,"Aru Hibi no CLAMP Gakuen Tantei, One Day With The CLAMP Detectives",ある日のCLAMP学園探偵団,CLAMP School Detectives Shorts,,,['Special'],13,Finished Airing,"Apr 22, 2005",,,['Bandai Visual'],['Maiden Japan'],['Pierrot'],['Manga'],"['Comedy', 'Mystery']",,1 min. per ep.,G - All Ages,5.94,#10193,#12790,"1,504",1,431,DVD short specials featuring characters from the original series as well as Gakuen Tokukei Duklyon and 20 Mensou ni Onegai!! all done in a chibi-comedy format.,"['Adaptation (Manga) 20 Mensou ni Onegai!!', 'Adaptation (Manga) Gakuen Tokukei Duklyon', 'Adaptation (Manga) Clamp Gakuen Tanteidan', '']",Aruhi no Clamp Gakuen Tanteidan,,"['Detective', 'School']",['Shoujo'],,
133,Doraemon Crayon Shin-chan Haru da! Eiga da! 3-Jikan Anime Matsuri 2,ドラえもん (2005) Specials,,,,['TV Special'],Unknown,Currently Airing,"Apr 15, 2005 to ?",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,45 min.,PG - Children,6.79,#5405,#12795,"1,503",5,469,"59 Doraemon (2005) TV Specials exist as of January 24, 2018.",[],Doraemon (2005) Specials,,,['Seinen'],['Comedy'],
134,,スウィート・ヴァレリアン,,,,['Special'],8,Finished Airing,"Jun 22, 2005 to Sep 28, 2005",,,"None found,","None found,",['Madhouse'],Original,,,4 min. per ep.,G - All Ages,5.78,#11022,#13357,"1,280",0,550,Eight DVD-only episodes.,"['Adaptation (Manga) Sweet Valerian', '']",Sweet Valerian Specials,,,,['Comedy'],
135,Samurai Gun Episode 8.5,サムライガン 8.5話 消せない過去,,,,['Special'],1,Finished Airing,"Jun 29, 2005",,,"['Avex Entertainment', 'TV Asahi']",['ADV Films'],['Studio Egg'],['Manga'],,,23 min.,R - 17+ (violence & profanity),5.71,#11320,#13839,"1,121",0,349,"Unaired episode 8.5 of Samurai Gun. Ichimatsu goes on a mission to replace the enemy's keybook with a fake one, while Ohana gets kidnapped.",[],Samurai Gun Special,,"['Historical', 'Samurai']",['Seinen'],['Action'],
136,,クレヨンしんちゃん Specials,,,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],48 min.,G - All Ages,[],#17447,#15455,712,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,['Seinen'],,
137,,今日も今日とてテープは回る,,,,['Special'],1,Finished Airing,"Jun 2, 2005",,,"None found,","None found,","None found,",Original,,,4 min.,G - All Ages,5.33,#12607,#19805,297,0,109,"A story of sisters who make a living by a slightly different recording work. A sister in charge of recording and a sister in charge of editing. Born on exactly the same day, with the same father, but different mothers. But today the tape turns like this without hesitation.",[],Kyou mo Kyou to te Tape wa Mawaru,,,,['Comedy'],
138,,緑玉紳士 10 Short Stories,Monsieur Greenpeas: 10 Short Stories,,,['Special'],10,Finished Airing,"Apr 30, 2005",,,"None found,","None found,","None found,",Original,,['Mythology'],2 min. per ep.,G - All Ages,[],#21478,#21743,191,0,,On the Ryoku Tama Shinshi DVD release there were 10 short stories included. These original stop-motion animation stories were not present in the feature film. The first short story is actually a prequel to the feature film telling the viewer why Monsieur Greenpeas went the the city. The rest of the episodes are more side-stories and flesh out the characters.,[],Ryoku Tama Shinshi: 10 Short Stories,,,,['Comedy'],
