,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Spanish,Genre,Demographics
76,Maple Story,メイプルストーリー,,,,['TV'],25,Finished Airing,"Oct 7, 2007 to Mar 30, 2008",['Fall 2007'],Unknown,"['TV Tokyo', 'Dentsu', 'Nexon']","None found,",['Madhouse'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,5.22,#12879,#8942,"4,995",4,1907,"Ten years ago, the World Tree that protected peace and order of the world was being targeted by an evil organization called the Zakum. The Human race led four other races: the brave warriors, the intelligent magicians, the agile archers and the sly thieves in a fight against the Zakums. In the end, the World Tree activated self-destruction to protect itself. However, the other races thought it was the Human race that destroyed the World Tree. When the World Tree was destroyed most of the races had nothing left, so a number of them went to Maple Island thinking the ones who stayed would die. They escaped Victoria and lived on Maple Island where living is getting harder and harder. Since then, a never-ending war between the different races began. Ten years later, the main protagonist, Al, is determined to revive the World Tree. Al and his companions begin their journey to seek the seeds of the World Tree. At the same time, the Zakums reappear… (Source: Wikipedia)","['Sequel (Special) MapleStory Special', '']",MapleStory,,['Kids'],,,
77,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,['Kids'],,,
78,,おねがい マイメロディ すっきり♪,,,,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 24, 2008",['Spring 2007'],Sundays at 09:30 (JST),['Sanrio'],"None found,",['Studio Comet'],Unknown,"['Comedy', 'Fantasy']",,10 min. per ep.,PG - Children,6.95,#4610,#9600,"4,020",11,955,The third series of Onegai My Melody.,"['Prequel (TV) Onegai My Melody: Kurukuru Shuffle!', 'Sequel (TV) Onegai♪My Melody Kirara★']",Onegai My Melody Sukkiri♪,,,,,
79,,おじゃる丸,Prince Mackaroo,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7746,#11557,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,['Kids'],,,
80,,デュエル・マスターズ ゼロ,,,,['TV'],24,Finished Airing,"Oct 6, 2007 to Mar 22, 2008",['Fall 2007'],Unknown,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Original,,['Strategy Game'],10 min. per ep.,G - All Ages,5.95,#10179,#11657,"2,162",1,694,"This season is a direct continuation of the Zero Duel Masters with the same alternative setting, plot and characters. The only difference between both season were the shift from 2D to 3DCGI animation. It follows after the duel of Shobu vs. Hakuoh, later unveiling Hakuoh and Jura were cooperating with the series' main antagonist: Professor March, who aims to control every creature by obtaining every Duel Orb. (Source: Duel Masters Wikia)","['Prequel (TV) Zero Duel Masters', 'Sequel (TV) Duel Masters Cross']",Duel Masters Zero,,['Kids'],,['Action'],
81,,しましまとらのしまじろう,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],23 min. per ep.,G - All Ages,5.92,#10325,#13241,"1,322",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,['Kids'],,,
82,Saa Ikoo! Tamagotchi,さぁイコー！たまごっち,Let's Go! Tamagotchi,,,['TV'],12,Finished Airing,"Nov 29, 2007 to Feb 14, 2008",['Fall 2007'],Unknown,['Bandai'],"None found,",['OLM'],Unknown,,,2 min. per ep.,G - All Ages,5.69,#11449,#13506,"1,228",1,510,"Let's Go! Tamagotchi is an anime series focusing on the lives of Mametchi, Memetchi, Kuchipatchi, ChaMametchi, and their friends. The series premiered in Japan in December 2007, while an English dub was uploaded by Bandai in December 2008. It was originally uploaded a week before the release of the first movie in Japanese.","['Sequel (Movie) Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?', '']",Saa Ikou! Tamagotchi,,['Kids'],,,
83,,親子クラブ,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12199,#13602,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,
84,,ハローキティ りんごの森とパラレルタウン,Hello Kitty: Apple Forest and Parallel Town,,,['TV'],27,Finished Airing,"Oct 2, 2007 to Mar 25, 2008",['Fall 2007'],Unknown,['Sanrio'],"None found,",['Asahi Production'],Unknown,"['Comedy', 'Fantasy']",,9 min. per ep.,PG - Children,6.19,#8905,#14485,944,2,217,"Kitty and Mimmy fall through a hole and end up in a parallel world. It's identical to the one the sisters live in but it's inhabited by humans with transparent wings and pointy ears. Kitty becomes friends with Emily, a supermodel in this parallel world, and together they try to rescue Mimmy who has disappeared. Their search is hampered by Akuro--a black cat who has a mean streak.","['Prequel (TV) Hello Kitty: Ringo no Mori no Mystery', '']",Hello Kitty: Ringo no Mori to Parallel Town,,['Kids'],Hello Kitty: El Bosque de las Manzanas y la Ciudad Paralela,,
85,,ぜんまいざむらい,,,,['TV'],215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",['Spring 2006'],Unknown,['Aniplex'],"None found,","['A-1 Pictures', 'No Side']",Original,,,5 min. per ep.,G - All Ages,5.85,#10699,#15132,783,2,233,"200 years ago, Zenmai Zamurai was a thief by profession. While stealing from a house one night, he fell down a well and died. He was then resurrected by Daifukunokami and a wind-up key was placed on his head. If the key wound down, Zennosuke would die. The only way the key can be wound is by Zennosuke doing good deeds. In order to achieve this end, he is given the Dango-ken, which is a sword with Japanese Dumplings skewered onto it. Whenever Zenmai Zamurai sees people doing injustice or generally being out of control, he uses his sword to shoot the dumplings into their mouths. When the dumplings are eaten, the people suddenly become happy and realize the error of their ways. He helps out the people of his village in many ways, big and small. Whenever he has done well, a rainbow comes out of the sky to wind up his key. -Wikipedia",[],Zenmai Zamurai,,['Kids'],,['Comedy'],
86,"Hatarakids Maiham Gumi, Hatara kids My ham Gumi, Master Hamsters",はたらキッズマイハム組,Master Hamsters,,,['TV'],50,Finished Airing,"Oct 7, 2007 to Oct 5, 2008",['Fall 2007'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],Original,,,25 min. per ep.,PG - Children,5.94,#10211,#15667,678,1,134,"Hatara Kids Maihamu Gumi, literally ""Working Kids, My Hamster Team"", is a Japanese anime action series for young children about hamsters who hold down jobs from firefighting to cooking. (Source: Wikipedia)",[],Hatara Kids Mai Ham Gumi,,['Kids'],,['Action'],
87,Miracle Mimika,味楽る!ミミカ,Miracle! Mimika,,,['TV'],225,Finished Airing,"Apr 3, 2006 to Mar 13, 2009",['Spring 2006'],Unknown,['NHK'],"None found,",['Digital Media Lab'],Original,"['Gourmet', 'Slice of Life']",,10 min. per ep.,G - All Ages,[],#20319,#16051,619,0,,"Himeno Mimika is a daughter of historical cook family. She goes to a cooking school, Miracle Academy which train cooks all over the world. Vying with rivals, she brings out her gift, and she grows up as a cook. (Source: AnimeNfo)",[],Miracle! Mimika,,['Kids'],,,
88,Odenkun,おでんくん,,,,['TV'],156,Finished Airing,"Aug 4, 2005 to Feb 27, 2009",['Summer 2005'],Unknown,['Studio Egg'],"None found,","None found,",Picture book,,,7 min. per ep.,G - All Ages,[],#20789,#17005,506,1,,"In an odd dimensional bubble inside the kettle of an Oden food cart exists Oden village. The residents of Oden village spend their idyllic days waiting for customers to come and eat them. In the meantime, Oden-kun helps other troubled dwellers to realize their dreams. One day, he hears that a customer's mother suffers from cancer so he leaves the kettle and after being eaten, faces the cancer cell Gannosuke. Oden-kun's dream is to meet his own mother. Looking forward to this day, Oden-kun spends his days doing one good deed a day. (Source: ANN)","['Sequel (TV) Ganbare! Oden-kun', '']",Oden-kun,,,,['Comedy'],
89,,えほん寄席,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,,,5 min. per ep.,PG - Children,[],#17874,#17189,488,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,"['Historical', 'Performing Arts']",['Kids'],,['Horror'],
90,Hoshi Shinichi's Short Shorts,星新一 ショートショート,,,,['TV'],26,Finished Airing,"Nov 11, 2007 to Nov 17, 2008",['Fall 2007'],Unknown,['Directions'],"None found,",['Echoes'],Book,"['Comedy', 'Sci-Fi']",,10 min. per ep.,PG-13 - Teens 13 or older,[],#18683,#17232,483,0,,"This series features stories from the acclaimed sci-fi writer Hoshi Shinichi. The episodes uses animation, live-action footage, computer graphics, and other visual means to re-enact the short stories. Each episode is a collection of several short-short stories by Hoshi Shinichi. Note: This entry includes the pilot and the 25 TV episodes.",[],Hoshi Shinichi Short Short,,,,,
91,Robikero,ロビーとケロビー,Robby & Kerobby,,,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 30, 2008",['Spring 2007'],Unknown,"['Aniplex', 'Yomiko Advertising', ""We've Inc.""]","None found,",['A-1 Pictures'],Original,,,10 min. per ep.,G - All Ages,[],#21389,#17407,466,0,,A story of the adventures of Robby and Kerobby along with their other friends.,[],Robby to Kerobby,,['Kids'],,['Comedy'],
92,,ぷるるんっ! しずくちゃんあはっ☆,,,,['TV'],51,Finished Airing,"Oct 7, 2007 to Sep 28, 2008",['Fall 2007'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],,,24 min. per ep.,None,[],#21178,#17677,445,2,,Second season of Pururun! Shizuku-chan.,"['Prequel (TV) Pururun! Shizuku-chan', 'Sequel (TV) Picchipichi Shizuku-chan']",Pururun! Shizuku-chan Aha,,['Kids'],,['Comedy'],
93,,エレキング The Animation,,,,['TV'],13,Finished Airing,"Nov 10, 2007 to Feb 9, 2008",['Fall 2007'],Unknown,"None found,","None found,",['Zuiyo'],['4-koma manga'],,,5 min. per ep.,G - All Ages,[],#17881,#18166,408,0,,"A surrealist comedy about a local neighborhood. The 4-koma it's based on is known for the number of characters added each week, which exceeded over 280 during its serialization. The anime focuses on the 16 most reoccurring of the bunch and each episode is composed of 3 skits/chapters.",[],Elec-king The Animation,,['Seinen'],,['Comedy'],
94,,まめうしくん,,,,['TV'],52,Finished Airing,"Oct 6, 2007 to Sep 27, 2008",['Fall 2007'],Unknown,['Sotsu'],"None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,15 min. per ep.,G - All Ages,[],#19998,#18759,363,0,,Mameushi-kun follows the farmland adventures of a calf that is as small as a dust speck. (Source: AniDB),[],Mameushi-kun (TV),,['Kids'],,,
95,Bonolon: Fushigina Mori no Iitsutae,森の戦士ボノロン,,,,['TV'],26,Finished Airing,"Nov 5, 2007 to May 17, 2008",['Fall 2007'],Unknown,"['Four Some', 'Coamix', 'North Stars Pictures']","None found,",['Actas'],Unknown,"['Adventure', 'Fantasy']",,5 min. per ep.,PG - Children,[],#20429,#18823,358,0,,"Bonolon is touted as the warrior who comes from the forest of the great oaks. Despite his huge body size and outwardly orange appearance, Bonolon is only a child of 9 years old. However, notwithstanding his tender age, Bonolon possess a strong sense of justice and strives to become a reliable man. The tears of those people who are depressed or troubled will flow through the roots of the great oaks and communicates their feelings to Bonolon. Bonolon will then appear from the great oaks and help the people solve their problems as well as grant their wishes. (Source: ANN)",[],Mori no Senshi Bonolon,,['Kids'],,,
96,,パンツぱんくろう,,,,['TV'],85,Finished Airing,Apr 2004 to Mar 2008,['Spring 2004'],Unknown,['NHK'],"None found,","None found,",Unknown,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#20968,#19433,319,0,,"A series of minute-long animated shorts that aired on Japanese public television. Aimed at toddlers and young children, the comedic series is mostly about toilet training.",[],Pants Pankurou,,['Kids'],,,
97,"Fuwa and the five rings, 福娃五连环, Fuwa Wu Lianhuan",福娃の五連環,Fuwa,,,['TV'],54,Finished Airing,"Oct 1, 2007 to Aug 24, 2008",['Fall 2007'],Unknown,"None found,","None found,","None found,",Original,,['Historical'],11 min. per ep.,PG - Children,[],#18072,#21126,224,0,,"Fuwa Beibei encounters the severely injured goddess, Athena. In order to help Athena regain strength, Beibei sets out to find a mysterious wooden box left by Coubertin in 1894, but the worrying thing is that Pixiu who injured his stomach from his glutinous eating habits heard this news too. He thought that this mysterious energy could not only cure his stomach, but also improve his magic, and such begins the journey through time and space of two spirits with different aims. After all the hardships, they found the sixth son of the dragon - Bixi, and after the two's efforts in passing his test, Bixi carries them along 100 years of Olympic history.","['Prequel (TV) Fuwa Aoyun Manyouji', '']",Fuwa no Go Renkan,,,,,
98,,消失的文明,,,,['TV'],13,Finished Airing,Apr 2007 to Sep 2008,['Spring 2007'],Unknown,"None found,","None found,","None found,",Original,,,22 min. per ep.,PG - Children,[],#15718,#24336,106,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiaoshi de Wenming,,['Kids'],,,
99,,다오 배찌 붐힐 대소동,,,,['TV'],26,Finished Airing,"Nov 15, 2007 to May 15, 2008",['Fall 2007'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,23 min. per ep.,PG - Children,[],#17563,#24733,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dao Baejji Bumhil Daesodong,,['Kids'],,,
100,,めぐみ,Megumi,,,['ONA'],1,Finished Airing,"Mar 28, 2008",,,"None found,","None found,",['Trans Arts'],Other,,['Historical'],25 min.,G - All Ages,5.93,#10298,#11327,"2,385",1,800,"An anime biography on Megumi Yokota, who was abducted by North Korea in 1977 when she was 13 years old. North Korea acknowledges abducting her and at least 12 other Japanese residents during the 1970s and the 1980s, but the country has not provided any conclusive evidence on her fate and most of the others. (Source: ANN)","['Adaptation (Manga) Megumi', '']",Megumi,,,,,
101,,メロディ,,,,['ONA'],1,Finished Airing,Jan 2008,,,"None found,","None found,","None found,",Original,,,8 min.,G - All Ages,5.83,#10761,#12328,"1,743",1,813,A short in which a young anthropomorphic rabbit tries to overcome the loss of his mother.,[],Melody,,,,['Drama'],
102,,FROM OSAKA WITH CHEER!,,,,['ONA'],4,Finished Airing,"Mar 30, 2008",,,"None found,","None found,","None found,",Unknown,,,4 min. per ep.,G - All Ages,5.15,#13011,#18133,411,0,142,A promotional anime for Osaka funded by the Osaka Convention & Tourism Bureau.,[],From Osaka with Cheer!,,,,['Slice of Life'],
103,Ikuze Gensan,いくぜっ！源さん,,,,['ONA'],24,Finished Airing,"Mar 24, 2008 to Sep 1, 2008",,,['Irem Software Engineering'],"None found,",['Nippon Animation'],Unknown,,,9 min. per ep.,G - All Ages,[],#18868,#18219,404,0,,"The slapstick comedy centers on Genzō Tamura, a 19-year-old third-generation construction worker in the working-class neighborhood of Beranme. When the Kuromoku Group urban developers threatens the neighborhood with Chainsaw Mika and Dynamite Dan, Tamura must save his town with his trusty hammer. Source: ANN",[],Ikuze! Gen-san,,,,['Comedy'],
104,,あなたの肩ごし ちょっと上,,,,['ONA'],3,Finished Airing,"Feb 11, 2008",,,"None found,","None found,","None found,",Original,"['Comedy', 'Supernatural']",,3 min. per ep.,G - All Ages,[],#16576,#19822,296,0,,"""Guardian Spirit"" is something that you can only see in fortune telling and television spirit features. But there are guardian spirits who are quietly behind everyone and are working hard. The story of Guardian Services Agency Service by freelance spirits of guardian spirits for those who can not take such holidays.",[],Anata no Katagoshi Chotto Ue,,,,,
105,Tsuji Tsuji Sensha,つじつじ戦車,,,,['ONA'],1,Finished Airing,"Mar 31, 2008",,,"None found,","None found,","None found,",Unknown,,['Music'],1 min.,G - All Ages,[],#15020,#21385,209,0,,Short animation of Yawaraka Sensha created as a farewell to a retired staff member.,[],Tsujitsuji Sensha,,,,,
106,,ドラえもん３Ｄショートムービー,,,,['ONA'],3,Finished Airing,"Mar 21, 2008 to Aug 8, 2008",,,"None found,","None found,","None found,",['Manga'],,,35 sec. per ep.,PG - Children,[],#17735,#24734,99,0,,"A collection of Doraemon short movies that were viewable for free on the Doraemon website. Prologue (プロローグ) This short film shows Doraemon walking, then stopping, pulling the Take-copter out of his pocket, putting it on his head, and flying away. Dorayaki factory (どら焼き工場) Doraemon is watching conveyor belts transport dorayaki. When he tries to take one, an alarm activates, triggering a mechanical claw to pick up and drop Doraemon into a vat of dough. After being baked in the oven, Doraemon falls into a pipe and ends up being made into a dorayaki himself. Quietly (お静かに) Doraemon tries to sneak past a sleeping cat to get some dorayaki. As he opens the cupboard, loads of items fall out, though he is able to successfully balance them until a cat food can falls on his head, causing him to fall and wake the cat up. (Source: Doraemon Wiki)",[],Doraemon 3D Short Movie,,['Kids'],,,
107,,HELLSING OVA,Hellsing Ultimate,,,['OVA'],10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012",,,"['GDH', 'Geneon Entertainment USA', 'Shounen Gahousha']",['Funimation'],"['Madhouse', 'Satelight', 'Graphinica']",['Manga'],"['Action', 'Horror', 'Supernatural']",,49 min. per ep.,R - 17+ (violence & profanity),8.35,#243,#181,"971,086","22,616",502444,"There exist creatures of darkness and evil that plague the night, devouring any human unfortunate enough to be caught in their grasp. On the other side is Hellsing, an organization dedicated to destroying these supernatural forces that threaten the very existence of humanity. At its head is Integra Fairbrook Wingates Hellsing, who commands a powerful military and spends her life fighting the undead. Integra's vast army, however, pales in comparison with her ultimate weapon: the vampire Alucard, who works against his own kind as an exterminator for Hellsing. With his new vampire servant, Seras Victoria, at his side, Alucard must battle not only monsters, but all those who stand to oppose Hellsing, be they in the guise of good or evil. In a battle for mankind's survival, Hellsing Ultimate proves that appearances are not all they may seem, and sometimes the greatest weapon can come in the form of one's worst nightmare. [Written by MAL Rewrite]","['Prequel (Special) Hellsing: The Dawn', 'Adaptation (Manga) Hellsing']",Hellsing Ultimate,"['Adult Cast', 'Gore', 'Military', 'Vampire']",['Seinen'],,,
108,"Tsubasa Reservoir Chronicle OVA, Tsubasa Reservoir Chronicle: Tokyo Revelations",ツバサ TOKYO REVELATIONS,Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,Tsubasa CHRoNiCLE: Toyko Revelations,Tsubasa CHRoNiCLE: Tokyo Révélations,['OVA'],3,Finished Airing,"Nov 16, 2007 to Mar 17, 2008",,,['Kodansha'],['Funimation'],['Production I.G'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,24 min. per ep.,R - 17+ (violence & profanity),8.26,#327,#2252,"98,090",830,45932,"Continuing their journey from Record Country (the place that held the book of memories), Syaoran and company land into Tokyo Country, a blood-filled country under war from opposing factions for natural resources and survival. While reluctantly involved in the race to live, the group faces their own problems as certain revelations are made, changing their journey forever. A shocking betrayal and a battle that risks all of their lives. After this revelation, they will never be the same again.","['Sequel (OVA) Tsubasa: Shunraiki', 'Adaptation (Manga) Tsubasa: RESERVoir CHRoNiCLE']",Tsubasa: Tokyo Revelations,,['Shounen'],,,
109,"School Days LxH, School Days: Valentine Days",School Days 「Valentine Days」,,,,['OVA'],1,Finished Airing,"Jan 17, 2008",,,"['Marvelous Entertainment', 'Lantis', 'Pony Canyon Enterprises']","None found,",['TNK'],Visual novel,"['Comedy', 'Romance']",['School'],18 min.,PG-13 - Teens 13 or older,5.78,#11012,#3109,"56,602",38,31150,"Kotonoha Katsura and her sister, Kokoro, have invited Sekai Saionji, Makoto Itou, and their friends on a hot spring trip with one goal in mind: to take a breather from their busy school lives. After the outing, the girls begin to discuss the upcoming Valentine's Day and their plans for the important event. When the day finally arrives, Makoto—who expected not to receive any chocolate from anyone—abruptly finds himself surrounded by a group of girls who all want to give their chocolates to him. [Written by MAL Rewrite]",[],School Days: Valentine Days,,,,,
110,Kire Papa,キレパパ。,,,,['OVA'],2,Finished Airing,"Jan 25, 2008 to Nov 28, 2008",,,"['ANIK', 'On-Lead']","None found,",['PrimeTime'],['Manga'],"['Boys Love', 'Comedy', 'Drama', 'Erotica']",,29 min. per ep.,R+ - Mild Nudity,6.57,N/A,#3154,"54,771",133,30815,"Chisato Takatsukasa, a 35-year-old author, has such a youthful appearance that anyone would think him to be in his early twenties. His work is inspired by his idol—the best-selling mystery author Saki Shunka, who is as much of an enigma herself as the plots of the books she writes. Chisato is also the extremely overprotective father of 15-year old Riju, convinced that the ""friends"" his son constantly brings over are nothing but predators waiting for the perfect opportunity to defile his precious boy. As a result, Chisato will stop at nothing to ensure they never come over again, resorting to the most extreme of methods. There is not a man he hates more, however, than Riju's rather persistent best friend Shunsuke Sakaki, who just won't go away regardless of what Chisato tries to do. But the motivations of these characters lie as secrets bubbling just below the surface. Why is Chisato so wary of Riju's friends, and what exactly does Shunsuke know about the mysterious author his friend's father idolizes? [Written by MAL Rewrite]","['Adaptation (Manga) Kirepapa', '']",Kirepapa.,,,,,
111,,School Days ～マジカルハート☆こころちゃん～,,,,['OVA'],1,Finished Airing,"Mar 26, 2008",,,"['Avex Entertainment', 'Marvelous Entertainment', 'Lantis', 'Pony Canyon']",['Discotek Media'],['TNK'],Visual novel,"['Comedy', 'Ecchi']",['Parody'],24 min.,R+ - Mild Nudity,5.53,#12013,#3511,"45,388",24,25201,"Originally an April's Fool in 2007, this one episode OVA is a spin-off of the School Days game by 0verflow, and shows Kokoro Katsura, the little sister of one of the main characters, from her other side. A mahou shoujo out to save the world, or something like that. (Source: AniDB)",[],School Days: Magical Heart Kokoro-chan,,,,,
112,Code Geass: Lelouch of the Rebellion Special Edition Black Rebellion,コードギアス 反逆のルルーシュ SPECIAL EDITION BLACK REBELLION,Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,,,['OVA'],1,Finished Airing,"Feb 22, 2008",,,"['Bandai Visual', 'Mainichi Broadcasting System']","None found,",['Sunrise'],Original,,,1 hr. 57 min.,R - 17+ (violence & profanity),7.57,#1690,#3600,"43,337",53,15733,An OVA summarizing all 25 episodes of season 1 from Lelouch's viewpoint.,"['Sequel (OVA) Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem', '']",Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,"['Mecha', 'Military', 'School', 'Super Power']",,,['Action'],
113,Saint Seiya: The Hades Elysion Chapter,聖闘士星矢 冥王ハーデス エリシオン編,Saint Seiya: The Hades Chapter - Elysion,,Saint Seiya: Les Chevaliers du Zodiaque,['OVA'],6,Finished Airing,"Mar 7, 2008 to Aug 1, 2008",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Mythology'],24 min. per ep.,PG-13 - Teens 13 or older,7.58,#1664,#3610,"43,086",114,26835,"After the 12 Gold Saints sacrifice their lives to destroy the Wailing Wall, The Bronze Saints enter the deepest realm of the Underworld, Elysion, where they face off against Hades's two most powerful servants: The Twin Gods, Hypnos and Thanatos, before they can reach Hades for the final battle.","['Prequel (OVA) Saint Seiya: Meiou Hades Meikai-hen', 'Sequel (Movie) Saint Seiya: Tenkai-hen Josou - Overture', 'Adaptation (Manga) Saint Seiya', '']",Saint Seiya: Meiou Hades Elysion-hen,,['Shounen'],Saint Seiya. Los Caballeros del Zodiaco: Capítulo de Hades Eliseos,,
114,"Prince of Tennis OVA 2, Prince of Tennis OVA Semifinal",テニスの王子様 全国大会篇 Semifinal,The Prince of Tennis: The National Tournament Semifinals,,,['OVA'],6,Finished Airing,"Jun 22, 2007 to Jan 25, 2008",,,"['Production I.G', 'TV Tokyo', 'Bandai Visual', 'Marvelous Entertainment', 'Nihon Ad Systems', 'Shueisha']","None found,",['M.S.C'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.87,#887,#3828,"38,671",39,21287,"The National Tournament continues for Ryouma Echizen and the Seishun Academy Boys' Tennis Team as they face off against last year's semifinalist, Shitenhouji Middle School. As winners of the Kansai Regionals, Shitenhouji is one of the top contenders to win this year's tournament. What's more, each member of the Shitenhouji team has skills that are said to surpass their Seishun counterparts. Shitenhouji also has Kintarou Tooyama, another ""super rookie"" who rivals Ryouma in strength and technique. Seishun will have to push the limits of their abilities to stand a chance at defeating the Kansai champions in this East versus West matchup. [Written by MAL Rewrite]","['Prequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen - Final', 'Adaptation (Manga) Tennis no Oujisama', '']",Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,,['Shounen'],,['Sports'],
115,,KITE LIBERATOR (カイト リベレイター),,Kite Liberator: Angel of Death,,['OVA'],1,Finished Airing,"Mar 21, 2008",,,"['Lantis', 'Happinet Pictures', 'Fever Dreams']",['Media Blasters'],['Arms'],Original,"['Action', 'Drama', 'Sci-Fi']",['Gore'],58 min.,R+ - Mild Nudity,6.20,#8849,#4016,"34,750",54,15331,"In the previous series ""Kite,"" a killer—Sawa—suddenly disappears after she avenges her parents' death, and no one knows where she is. Several years later, a figure dances airily on the dark side of a big city. She is an angel of death, killing her victim gracefully and disappearing. Monaka is a normal high school student, though this quiet and modest life has a darker side. An angel of death is Monaka's other persona.","['Prequel (OVA) A Kite', '']",Kite Liberator,,,,,
116,Koharubiyori,こはるびより,Indian Summer,,,['OVA'],3,Finished Airing,"Oct 15, 2007 to Mar 10, 2008",,,"['AT-X', 'ASCII Media Works', 'Showgate', 'Geneon Entertainment']","['ADV Films', 'Sentai Filmworks']",['Daume'],['Manga'],"['Comedy', 'Sci-Fi', 'Ecchi']",,30 min. per ep.,R+ - Mild Nudity,6.55,#6743,#4920,"22,131",26,10239,"Set in a near future, a time where robots are common workers for their owners. Takaya Murase has just purchased a maid robot from a robotic doll distributor, MaidWorks. Ready to live a normal cleaning, cooking, and serving life to her owner, Yui is purchased, by Takaya but he has other plans for her...like dressing her up in dress-costumes of his fantasies and more. (Source: ANN)","['Adaptation (Manga) Koharubiyori', '']",Koharu Biyori,,,,,
