,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genres,Themes,Demographic,Spanish,Demographics
21,"Tegami Bachi 2, Letter Bee 2",テガミバチ REVERSE,Tegami Bachi: Letter Bee Reverse,['TV'],25,Finished Airing,"Oct 3, 2010 to Mar 26, 2011",['Fall 2010'],Sundays at 00:10 (JST),"['Pierrot', 'TV Tokyo']",['Sentai Filmworks'],['Pierrot Plus'],['Manga'],,,20 min. per ep.,PG-13 - Teens 13 or older,7.71,#1275,#2872,"65,567",213,27699,"After Niche carries the wounded and stunned Lag back to the Bee Hive, the Letter Bee finally begins to piece the puzzle together. Now he knows what's happened to Gauche, why the Marauders are so focused on stealing mail and the actual intent of the group controlling both, Reverse. However, when he's forbidden to reveal the truth, Lag is soon forced out of the artificial sunlight and back into the world of perpetual night. And soon Reverse's plot to take down the Letter Bees and overthrow the Amberground government begins to accelerate. If things weren't already bad enough, the giant insect creatures called gaichuu are apparently evolving into something new; there may be traitors working within the Hive; and Niche's sister, who's definitely not human friendly, shows up to turn family drama into a full-scale siege! It all spells serious trouble for the Letter Bees, but if anyone can weather the storms and gloom of night, Lag and his team are the ones who'll deliver. (Source: FUNimation)","['Prequel (TV) Tegamibachi', 'Adaptation (Manga) Tegamibachi']",Tegamibachi Reverse,Tegami Bachi: Letter Bee Reverse,Letter Bee Reverse,"['Adventure', 'Fantasy']",,['Shounen'],Tegami Bachi Letter Bee Temporada 2,
22,,探偵オペラ ミルキィホームズ,Detective Opera Milky Holmes,['TV'],12,Finished Airing,"Oct 7, 2010 to Dec 23, 2010",['Fall 2010'],Unknown,"['Sotsu', 'Lantis', 'Pony Canyon', 'Dwango', 'Bushiroad', 'Good Smile Company', 'Chrono Gear Creative']","None found,",['J.C.Staff'],Original,,,23 min. per ep.,PG-13 - Teens 13 or older,6.90,#4845,#3446,"46,739",226,17655,"""Toys"" are powers bestowed upon those chosen to wield them, each having qualities that are unique to their users. Some of these individuals are born pure, using their powers to become detectives. Others bloom laced with poison and choose to become phantom thieves. These two opposing factions caused the formation of various detective academies around the globe—training detectives to fight and catch the phantom thieves. Sherlock Shellingford, Nero Yuzurizaki, Hercule Burton, and Cordelia Glauca form ""Milky Holmes"", a group recognized as the cream of the crop in the Yokohama-based Holmes Detective Academy. However, in a skirmish against the phantom thief Arsene, their Toys suddenly disappear, deeming them unfit to continue as detectives. Stripped of their prestigious life and thrown into a rundown attic, they face expulsion if they fail to regain their powers within the next three months. Tantei Opera Milky Holmes tells the story of a once-legendary group in their journey to recover their Toys, as well as attempting to continue their line of work without the powers that once defined their career. [Written by MAL Rewrite]","['Sequel (TV) Tantei Opera Milky Holmes Dai 2 Maku', '']",Tantei Opera Milky Holmes,,,"['Comedy', 'Mystery']","['Detective', 'Parody', 'Super Power']",,,
23,"Yumeiro Patissiere SP Professional, YumePati Pro, Yume-iro Pâtissière 2, Dream-Colored Pastry Chef, Yumeiro Pâtissière SP Professional",夢色パティシエールSP（スペシャル）プロフェッショナル,,['TV'],13,Finished Airing,"Oct 3, 2010 to Dec 26, 2010",['Fall 2010'],Unknown,"['Pierrot', 'Shueisha']",['Maiden Japan'],['Studio Hibari'],['Manga'],,,24 min. per ep.,G - All Ages,7.57,#1682,#3591,"43,518",168,24174,"Upon her return to Japan after a two year study break in Paris, Ichigo Amano is met with news of Team Ichigo's separation, as each of the Sweets Princes takes a different path toward their dream. Now in her first year of high school, Henri Lucas has a project in store for her, enlisting the help of Ichigo, Makoto Kashino, and new members Lemon Yamagishi and Johnny McBeal to give rise to a new Team Ichigo. As the four work together on this project, Ichigo and Makoto continue to grow closer, though Johnny and the unrelenting Miya Koshiro will not idly sit by; with Johnny's eye on Ichigo and Miya still after Makoto, it definitely seems like love won't come easily. With Ichigo's time at St. Marie Academy, she is now ever closer to her dream of starting her very own pâtisserie. However, she will soon realize that it takes more than just making delicious sweets to open up a shop. [Written by MAL Rewrite]","['Prequel (TV) Yume-iro Pâtissière', 'Adaptation (Manga) Yume-iro Pâtissière']",Yume-iro Pâtissière SP Professional,,,"['Gourmet', 'Slice of Life']",,['Shoujo'],,
24,Ironman,アイアンマン,Iron Man,['TV'],12,Finished Airing,"Oct 1, 2010 to Dec 17, 2010",['Fall 2010'],Fridays at 22:00 (JST),"None found,",['Marvel Entertainment'],['Madhouse'],Other,,['Super Power'],24 min. per ep.,PG-13 - Teens 13 or older,6.04,#9737,#4277,"30,465",29,14226,"Tony Stark, CEO of a large weapons manufacturer, physicist, engineer, and brilliant inventor, is wounded by shrapnel from one of his own weapons. While held captive by terrorists, he develops the Iron Man Suit and escapes. From that day on, he vows not to waste his second chance at life and to change the world for the better. For that purpose, he comes to Japan. In Lab 23 in Japan, great strides have been taken to develop, and build, a unique power station which does not run on fossil fuels, the Arc Station. Stark intends to join this project, and, for that, he is ready to announce his retirement as Iron Man. At the same time, he will also announce the Mass-produced Iron Men, to which he will pass on his duties. However, during the ceremonies, Stark is suddenly attacked by combat mecha belonging to an organization known as Zodiac.",[],Iron Man,Iron Man Anime Series,,"['Action', 'Drama', 'Sci-Fi']",,,,
25,"Super Robot Taisen Original Generation: The Inspector, SRWOG",スーパーロボット大戦OG -ジ・インスペクター-,Super Robot Wars OG: The Inspector,['TV'],26,Finished Airing,"Oct 2, 2010 to Apr 2, 2011",['Fall 2010'],Unknown,['Sotsu'],"None found,",['Asahi Production'],Game,,,23 min. per ep.,PG-13 - Teens 13 or older,7.20,#3381,#6558,"10,702",44,3978,"With many of its central personnel lost in the war, the Earth Federation Government is forced to rebuild, and Brian Midcrid, president of the Unified Colonies, takes the position of its president. During an emergency session of the Federation Diet, he publicly acknowledges the existence of extraterrestrials, and reveals the events of the L5 campaign to the masses in what will later come to be called the ""Tokyo Declaration."" He goes on to state that these aliens pose a serious threat to humanity. (Source: Crunchyroll)","['Prequel (Special) Super Robot Taisen OG: Divine Wars - Sorezore no Michi', 'Sequel (OVA) Super Robot Taisen OG The Animation', 'Adaptation (Manga) Super Robot Taisen OG: The Inspector - Record of ATX', '']",Super Robot Taisen OG: The Inspector,Super Robot Wars OG: The Inspector,Super Robot Wars OG The Inspector,"['Action', 'Sci-Fi']","['Mecha', 'Space']",,Super Robot Wars OG The Inspector,
26,"Battlespirits: Brave, Battle Spirits Season 3",バトルスピリッツ ブレイヴ,,['TV'],50,Finished Airing,"Sep 12, 2010 to Sep 11, 2011",['Fall 2010'],Sundays at 07:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Sunrise'],Card game,,,24 min. per ep.,PG - Children,7.16,#3579,#8957,"4,979",22,2027,"Two years ago, the world was saved by Dan Bashin and the other light bearers of the cores. Having once risked his life in Grand Rolo's strife, Dan no longer finds passion in the mundanity of everyday card battles. When Dan desires to clash against stronger opponents, he is approached by Mai Shinomiya. She offers to bring him to the future, the stage of a new conflict where Dan's strength is needed. The two arrive in the year 2650, where civilization has been ravaged by the struggle for power between mankind and an otherworldly race known as ""Mazoku."" As humanity begins to crumble under the dominance of the Mazoku, the hardened light bearers are destined to cross paths once more. Armed with new cards from the future, Dan and the other warriors must yet again bear the fate of humanity on their shoulders. [Written by MAL Rewrite]","['Prequel (TV) Battle Spirits: Shounen Gekiha Dan', 'Sequel (ONA) Battle Spirits: Saga Brave']",Battle Spirits: Brave,,,"['Adventure', 'Sci-Fi']","['Military', 'Mythology', 'Strategy Game']",,,
27,White Bread Mimi,食パンミミー,,['TV'],12,Finished Airing,"Oct 4, 2010 to Dec 20, 2010",['Fall 2010'],Mondays at 19:00 (JST),['Dentsu'],"None found,",['Kachidoki Studio'],['4-koma manga'],,,30 sec. per ep.,PG - Children,5.64,#11653,#11922,"1,991",2,905,"The story is about the daily life of a piece of bread named Mimi, and some of her friends and family. Based on Shimamori Natsuko's Shokupan Mimi (White Bread Mimi) 4-panel manga.","['Sequel (Special) Shokupan Mimi Specials', '']",Shokupan Mimi,,,"['Comedy', 'Gourmet']",,,,
28,Crayon Shin-chan: Shin-Men,SHIN-MEN,,['TV'],13,Finished Airing,"Nov 26, 2010 to Sep 14, 2012",['Fall 2010'],Unknown,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],Unknown,,['Super Power'],12 min. per ep.,G - All Ages,6.14,#9130,#12045,"1,921",0,476,"The spinoff is set in a parallel world known as Shin Jigen (Shin Dimension). The titular Shin-men team is composed of five heroes with supernatural powers symbolized by fire (Gou), water (Sui), wind (Hyuu), greenery (Nyoki), and iron (Kan). Together, they fight against their enemy, the evil pigs of Ton-Men. (Source: AniDB)",[],Shin-Men,,,"['Action', 'Comedy']",,['Seinen'],,
29,,宮西達也劇場 おまえうまそうだな,,['TV'],20,Finished Airing,"Oct 4, 2010 to Oct 29, 2010",['Fall 2010'],Unknown,"None found,",['Discotek Media'],['Ajia-do'],Picture book,['Adventure'],['Anthropomorphic'],3 min. per ep.,G - All Ages,6.28,#8379,#12216,"1,812",4,664,"A Tyrannosaurus called Heart was raised by a herbivorous dinosaur. As he grew up, he was scared by other dinosaurs. One day, Heart meets a baby Ankylosaurus and he names the baby ""Umasou (looks delicious)"". Umasou started to be attached to Heart and a strange family love develops between the two.",[],Miyanishi Tatsuya Gekijou: Omae Umasou da na,,,,,['Kids'],,
30,"Kakko-Kawaii Sengen!, KakoKawa",カッコカワイイ宣言！,,['TV'],5,Finished Airing,"Nov 5, 2010 to Dec 3, 2010",['Fall 2010'],Unknown,"None found,","None found,",['Gathering'],Original,['Comedy'],,2 min. per ep.,PG-13 - Teens 13 or older,5.43,#12328,#12501,"1,654",1,473,"Shorts run during Shueisha's Saki-yomi Jum-Bang! television program starting on November 5, 2010. (Source: AniDB)","['Sequel (TV) Kakko Kawaii Sengen! 2', 'Adaptation (Manga) Kakko Kawaii Sengen!']",Kakko Kawaii Sengen!,,,,,,,
31,,一期一会～キミノコトバ～,,['TV'],13,Finished Airing,"Oct 24, 2010 to Jan 30, 2011",['Fall 2010'],Unknown,['Four Some'],"None found,","None found,",Unknown,,['School'],5 min. per ep.,G - All Ages,[],#18836,#15446,712,0,,No synopsis has been added for this series yet. Click here to update this information.,"['Prequel (TV) Ichigo Ichie: Koibana Tomobana', '']",Ichigo Ichie: Kimi no Kotoba,,,"['Comedy', 'Slice of Life']",,,,
32,Rita and Machin,リタとナントカ,Rita et Machin,['TV'],26,Finished Airing,"Nov 1, 2010 to Dec 24, 2010",['Fall 2010'],Unknown,"None found,","None found,",['Nippon Animation'],Picture book,['Slice of Life'],,5 min. per ep.,G - All Ages,[],#21386,#15792,657,0,,Adaptation of a French children's picture book written by Jean-Philippe Arrou-Vignod and illustrated by Olivier Tallec. The story follows a precocious five year old girl named Rita and a lazy but easy-going dog named Machin.,[],Rita to Nantoka,,Les Aventures de Rita et Machin,,,,,
33,,カルルとふしぎな塔,,['TV'],26,Finished Airing,"Oct 8, 2010 to Apr 15, 2011",['Fall 2010'],Unknown,"None found,","None found,",['Nippon Animation'],Original,,,5 min. per ep.,PG - Children,[],#19327,#16284,586,1,,"The story centers around a mysterious tall tower built from an (unsteady) stack of building blocks. Every morning, noon, and evening, an old timekeeping man rings the bell in the tower to confirm the time for the local townspeople. However, one day at noon, the tower bell fails to ring — leaving the townspeople confused about when to eat lunch. The fantasy adventure begins when Karl, an inquisitive boy living in the town, decides to go to the tower's plaza to see what is the matter. (Source: ANN)",[],Karl to Fushigi na Tou,,,"['Adventure', 'Fantasy', 'Mystery']",,['Kids'],,
34,,たちゅまる劇場,,['TV'],26,Finished Airing,"Oct 4, 2010 to Mar 29, 2011",['Fall 2010'],Unknown,"None found,","None found,",['Tatsunoko Production'],Unknown,['Comedy'],['Parody'],25 min. per ep.,None,[],#14669,#17833,432,2,,"A television anime adaptation of the Tachumaru Zukan project. Tachumaru Zukan re-imagines some of Tatsunoko's most popular anime franchises as a newly evolved species of super-deformed animals known as ""Tachuu-rui."" These mysterious ""Tachumaru"" (Tachumals) are ""small and cute,"" but have special fighting moves. (Source: ANN)",[],Tachumaru Gekijou,,,,,,,
35,,ロビンくんと100人のお友達,Robin with his 100 Friends,['TV'],13,Finished Airing,"Oct 11, 2010 to Jan 3, 2011",['Fall 2010'],Unknown,"['Sony Music Entertainment', 'PansonWorks']","None found,","None found,",Unknown,['Comedy'],,5 min. per ep.,G - All Ages,[],#21389,#18383,392,0,,"Robin, a boy who likes to invent something alone, decides to make a lot of friends when he has to move from downtown to ""Green Village"". At the stage of ""Green Village"" which is set the newest environment system for nature, each episode has a lot of questions about "" true ecology"" and ""true friends"" through the activities of Robin and his 100 friends. (Source: Official Website)","['Sequel (TV) Robin-kun to 100 nin no Otomodachi Season 2', '']",Robin-kun to 100 nin no Otomodachi,,,,,['Kids'],,
36,,卡卡和他的朋友们,,['TV'],104,Finished Airing,Nov 2010 to Mar 2011,['Fall 2010'],Unknown,"None found,","None found,","None found,",Original,['Fantasy'],,10 min. per ep.,PG - Children,[],#19259,#24072,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kaka He Ta de Pengyoumen,,,,,['Kids'],,
