,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Genre,Demographics
159,"Xing Chen Bian, Legend of Immortals",星辰变,Stellar Transformation,,,,['ONA'],12,Finished Airing,"Oct 5, 2018 to Dec 14, 2018",,,"['Tencent Penguin Pictures', 'China Literature Limited', 'Pure Arts']","None found,",['Foch Film'],Web novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",,26 min. per ep.,PG-13 - Teens 13 or older,7.52,#1874,#7023,"9,105",68,3624,"Having problems with his meridians and thus rendered incapable of practicing the internal arts, Qin Yu lives in seclusion with Grandfather Lian. To cheer up a depressed Qin Yu, Lian gifts him a peculiar bird, which the former names Xiao Hei. Wanting to be recognized by his father, Qin Yu embarks on the path of cultivation. With Zhao Yunxing's rigorous training method, he strives to overcome his physiological hindrance and become an expert in the external arts. While resting from one such training session, Qin Yu discovers a red crystal that, to his surprise, fuses with his body. Unbeknownst to him, this subtle transformation gives Qin Yu astounding abilities that will aid him as he sets out, with Xiao Hei in tow, to prove that he is worthy of his father's acknowledgement. [Written by MAL Rewrite]","['Sequel (ONA) Xingchen Bian: Yu Li Cang Hai', '']",Xingchen Bian,"['Historical', 'Martial Arts']",,,
160,The Molestation That Became Avid Hyper-Erotic Love,"痴漢した女子●生とその後, むさぼり合うようなドエロ純愛",,,,,['ONA'],2,Finished Airing,"Oct 19, 2018 to Oct 26, 2018",,,"None found,","None found,",['SELFISH'],['Web manga'],,,15 min. per ep.,Rx - Hentai,7.25,N/A,#7250,"8,438",97,3960,"The protagonist is a run-of-the-mill businessman man in his 30s with no girlfriend. He sees a cute high school girl on the train every day. She's well developed, with nice hips, and has a healthy figure. If only he could marry a woman like her... With that figure and kind personality, she's given up struggling and gives into being molested or f*cked. That is all she's known. One day, the protagonist molests her on the train. When she doesn't struggle, he brings her to a hotel for sex. This is the first time she has had normal sex. She learns how good sex can be, and he learns about her tight ass and voluptuous tits, her family-oriented and nice personality, and how she's a dirty girl. They fall in love with each other, and their sexapades escalate. (Source: DLsite, edited)",[],"Chikan Shita Joshi*sei to Sonogo, Musabori Au Youna Doero Junai",,,['Hentai'],
161,"22/7, Nanabun no Nijuuni",あの日の彼女たち,The Diary of Our Days,,,,['ONA'],8,Finished Airing,"Mar 24, 2018 to Nov 12, 2018",,,['Half H.P Studio'],"None found,",['CloverWorks'],Original,,['Idols (Female)'],1 min. per ep.,G - All Ages,6.60,#6469,#8032,"6,502",20,1875,Web shorts focusing on each of the 22/7 idols in normal everyday life.,[],Ano Hi no Kanojo-tachi,,,['Slice of Life'],
162,Shengshi Zhuangniang,盛世妆娘,The Beauty Blogger,,,,['ONA'],20,Finished Airing,"Jul 24, 2018 to Dec 4, 2018",,,['Tencent Penguin Pictures'],"None found,",['Imagineer'],Novel,"['Drama', 'Romance']",,20 min. per ep.,PG-13 - Teens 13 or older,6.72,#5795,#8135,"6,315",32,1520,"A beauty blogger has been sent to a VR reality game, where she has to stand firm in a catfight in boudoir. But how so? She is given numerous cosmetic products that she can arm herself up with. Based on the popular online novel published on the famous female-oriented online novel website ""Jinjiang"", this animation is strongly recommended to those who love all kinds of cosmetics. (Source: Guodong Subs)",[],Sheng Shi Zhuang Niang,"['Historical', 'Video Game']",,,
163,,GOD EATER 3,God Eater 3,,,,['ONA'],1,Finished Airing,"Nov 13, 2018",,,"None found,","None found,",['ufotable'],Game,,,1 min.,PG-13 - Teens 13 or older,6.45,#7388,#8346,"5,936",5,1482,"The opening promotional animation to Bandai Namco's God Eater 3. The game is slated to be released next month for PS4 and the following year for PC. The story is a sequel to God Eater 2 Rage Burst, just like Resonant Ops. There was a disaster of tremendous proportions, referred to as ""Ash Area"" that devoured Fenrir, and is apparently still ongoing.",[],God Eater 3,"['Music', 'Video Game']",,['Action'],
164,"Xueying Lingzhu, Lord Xue Ying, Snow Eagle Lord",雪鹰领主,,,,,['ONA'],26,Finished Airing,"Dec 20, 2018 to Jun 6, 2019",,,['Tencent Penguin Pictures'],"None found,",['Mili Pictures'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance']",,19 min. per ep.,PG-13 - Teens 13 or older,7.36,#2536,#8681,"5,396",45,1747,"In the Tranquil Sun province of the empire, there exists an unremarkable lordship known as Xue Ying Territory! This is the home of the Dong Bo clan, the clan of our hero Xue Ying! His father, a commoner turned noble; his mother, a noble who abandoned her clan for love, and his brother, an innocent toddler. But peace cannot last forever, Xue Ying’s peaceful life is shattered, and the only way to reclaim it is through power! (Source: Novel Updates)","['Sequel (ONA) Xue Ying Ling Zhu Zhi Qi Yu Pian', '']",Xue Ying Ling Zhu,"['Historical', 'Martial Arts']",,,
165,Rune'sPharmacy: The Pharmacist of Tiara Isle,Rune'sPharmacy ～ティアラ島のお薬屋さん,,,,,['ONA'],4,Finished Airing,"Nov 30, 2018 to Dec 20, 2019",,,['SELFISH'],"None found,",['Studio 1st'],Game,"['Fantasy', 'Hentai']",,15 min. per ep.,Rx - Hentai,6.20,N/A,#8788,"5,230",12,2100,Novice pharmacist works hard trying to pay off the debts left behind by her deceased parents.,[],Rune's Pharmacy: Tiarajima no Okusuriya-san,,,,
166,Kangoku Jikken,監獄実験〈プリズンラボ〉,,,,,['ONA'],20,Finished Airing,"Dec 28, 2018",,,['Anime Beans'],"None found,","None found,",['Manga'],,['Psychological'],1 min. per ep.,R - 17+ (violence & profanity),5.11,#13079,#8985,"4,926",11,488,"A victim of endless bullying, Aito Eyama is plagued by his classmates' constant taunts and beatings. However, through a fortuitous turn of events, he receives a strange invitations for the ""Captivity Game,"" where victory promises unbelievable wealth. To participate, he must accept the role of captor and choose one victim to imprison for a month. For Eyama, the only choice is Aya Kirishima, the ringleader of his bullies and the source of all his suffering. The rules of the game are simple: the jailer may do whatever they please with their inmate barring murder; but in order to win the game, the captor's identity must remain hidden. Exemption from the law, an isolated cell, and the funds to purchase supplies—all the necessary tools are provided. As Eyama administers his sadistic revenge and ""divine"" retribution, he encounters other captors, each with their own hidden agendas. Meanwhile, Aya refuses to be a compliant prisoner and will go to any length to escape captivity. However, her endeavors threaten to awaken a darkness buried inside Eyama that craves to be unleashed. [Written by MAL Rewrite]","['Adaptation (Manga) Prison Lab', '']",Prison Lab,,,['Horror'],
167,,国民老公带回家,How to Steal 55 Kisses 4th Season,,,,['ONA'],12,Finished Airing,"Oct 3, 2018 to Dec 12, 2018",,,"['Tencent Penguin Pictures', 'China Literature Limited']","None found,",['Wawayu Animation'],Novel,"['Drama', 'Romance']",,12 min. per ep.,PG-13 - Teens 13 or older,6.08,#9518,#9341,"4,366",17,823,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Guomin Laogong Dai Huijia 3rd Season', '']",Guomin Laogong Dai Huijia 4th Season,,,,
168,Shao Nian Ge Xing,少年歌行,Youths and Golden Coffin,,Youths and Golden Coffin,,['ONA'],26,Finished Airing,"Dec 26, 2018 to Jun 5, 2019",,,"['bilibili', 'Youku']","None found,",['CG Year'],Novel,"['Action', 'Adventure', 'Mystery']",,22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4026,#10538,"3,002",37,810,"Wangyou, Master of Hanshui Temple died mysteriously and when the news about a golden coffin spreads throughout the world, it triggered disputes between the World of Martial arts. Join a group of youths, Lei Wujie, Xiao Se, Tang Lian, Sikong Qianluo, Heavenly Maiden Rui in their adventure as the mystery of the golden coffin unravels.","['Sequel (ONA) Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1', '']",Shaonian Ge Xing,"['Historical', 'Martial Arts']",,,
169,"Love Live! Sunshine!! Recap, Love Live! Sunshine!! 2nd Season Recap",30分でわかる！これまでのラブライブ！サンシャイン!!,Love Live! Sunshine!! in 30 Minutes,,,,['ONA'],2,Finished Airing,"Nov 18, 2018 to Nov 25, 2018",,,"None found,","None found,",['Sunrise'],Unknown,,,30 min. per ep.,PG-13 - Teens 13 or older,6.35,#7972,#10771,"2,814",4,769,"Web-exclusive recaps of Love Live! Sunshine!!, originally released on Love Live! Series Official YouTube channel to promote Love Live! Sunshine!! The School Idol Movie: Over the Rainbow. Each episode recaps each season respectively.",[],30-pun de Wakaru! Kore made no Love Live! Sunshine!!,"['Idols (Female)', 'Music', 'School']",,,
170,"Ogaki-shi, Ogaki Shi, Ougaki-shi, Ougaki Shi",いつか会えるキミに,,,,,['ONA'],1,Finished Airing,"Oct 6, 2018",,,"None found,","None found,",['Asura Film'],Original,"['Romance', 'Sci-Fi']",,12 min.,G - All Ages,5.65,#11592,#10991,"2,624",1,1230,"At Okagi Castle, Yuuki informs his childhood friend An that his family is moving away. Vowing to return when he is older, Yuuki confesses that he would like them to go out when that happens. Unsure if their feelings for each other will remain the same when they next meet, Ann runs off in a panic, only to encounter a portal at the entryway of the castle. Stepping through it, she finds herself 50 years in the future. In her confusion, An is approached by a boy named Kibou and his friendly robot, Butler-kun. As luck would have it, Kibou's grandmother instructed him to lend a hand to any troubled girls he encounters at the park, so he offers to be her chaperone. As the three explore the city, An notices that despite how much Okagi has changed, the old charm never evaporated from the nostalgic townscape. [Written by MAL Rewrite]",[],Itsuka Aeru Kimi ni,,,,
171,A Miko's Job!,みこのつとめっ！,,,,,['ONA'],10,Finished Airing,"Dec 7, 2018 to Feb 8, 2019",,,"None found,","None found,",['Hololive Production'],Original,,,2 min. per ep.,PG-13 - Teens 13 or older,6.12,#9280,#11210,"2,462",12,900,"The slightly mysterious daily life of Sakura Miko, a virtual shrine maiden at the Dennou Sakura shrine.",[],Miko no Tsutome!,,,['Comedy'],
172,,アニマエール！応援動画,,,,,['ONA'],12,Finished Airing,"Oct 7, 2018 to Dec 23, 2018",,,"None found,","None found,",['Doga Kobo'],['4-koma manga'],,,2 min. per ep.,PG-13 - Teens 13 or older,5.77,#11085,#11254,"2,433",0,672,Special shorts of Anima Yell! released on YouTube.,[],Anima Yell! Ouen Douga,"['CGDCT', 'School']",,['Comedy'],
173,"Wo Shi Jiang Xiao Bai Di Er Ji, I'm Joybo: Words From My Heart, 我是江小白：有话对你说",我是江小白 第二季,I'm Joybo 2nd Season,,,,['ONA'],12,Finished Airing,"Nov 9, 2018 to Jan 25, 2019",,,"None found,","None found,",['2:10 Animation'],Original,"['Drama', 'Romance', 'Slice of Life']",['Music'],27 min. per ep.,PG-13 - Teens 13 or older,6.51,#7042,#11635,"2,173",3,245,"After coming to terms with their past, Jiang Xiaobai and Tong Li are still together as editor and author—and now, as lovers too. But not everything is smooth-sailing for the new couple. Tong Li's most recent work is being panned by readers and critics, and Wen Zheng Magazine's recent decline in sales means that her serialization is in jeopardy. Meanwhile, Jiang Xiaobai, fondly remembering making music with his friends in high school, steps in as the backup bassist for a local band struggling to make their break. Secretly, Tong Li is frustrated both by her writer's block and by Jiang Xiaobai venturing out to chase his old dream. Things come to a head when, following the replacement of the head editor for Editorial Office No. 2, her novel is canceled. As she and Jiang Xiaobai grow estranged and as her family increasingly meddles in their already-strained relationship, Tong Li wanders into a welfare center for autistic people, where she meets a young non-verbal man whose piano playing deeply moves her. She begins to volunteer at the welfare center, not realizing that her and Jiang Xiaobai's worlds are much closer than she thought. [Written by MAL Rewrite]","['Prequel (ONA) Wo Shi Jiang Xiaobai (2018)', '']",Wo Shi Jiang Xiaobai 2nd Season,,,,
174,"Kimi no Matsu Mirai e, Kimi no Matsu Basho e",きみの待つ未来（ばしょ）へ,,,,,['ONA'],1,Finished Airing,"Nov 11, 2018",,,"None found,","None found,","None found,",Original,"['Sci-Fi', 'Slice of Life']",,15 min.,G - All Ages,5.80,#10929,#11976,"1,957",1,925,"Soka city's 60th anniversary commemorative animation. Souta was born in Soka but has worked and lived in Tokyo until recently. He's engaged to Miki and decides to return to Soka to look for a new home where the two will live together. While house hunting, he encounters a mysterious bird and begins to chase after it. He then meets a woman named Akiko who time-slipped to the future. Souta shows her around the city and she reflects on how much has changed and her future as she too is engaged. (Source: AniDB & ANN)",[],Kimi no Matsu Mirai (Basho) e,,,,
175,Chuusotsu Roudousha kara Hajimeru Koukou Seikatsu,中卒労働者〈ワーカー〉から始める高校生活,,,,,['ONA'],20,Finished Airing,"Nov 30, 2018 to Jan 25, 2019",,,['Anime Beans'],"None found,","None found,",['Manga'],"['Drama', 'Romance']",['School'],1 min. per ep.,PG-13 - Teens 13 or older,[],#17379,#12721,"1,537",2,,"18-year-old Manami Katagiri has faced hardships his whole life because he had to drop out of middle school and begin working in a factory to take care of his little sister. For reasons he's re-enrolled in high school to better his life but on his first day he encounters a ""princess"" who he claims has never had to work a day in her life. Is it love at first sight? or perhaps a rivalry? (Source: MU)","['Adaptation (Manga) Chuusotsu Worker kara Hajimeru Koukou Seikatsu', '']",Chuusotsu Worker kara Hajimeru Koukou Seikatsu,,['Seinen'],,
176,"Eagle Talon, Himitsukessha Taka no Tsume, The Frogman Show",本田さん×鷹の爪,,,,,['ONA'],1,Finished Airing,"Nov 3, 2018",,,"None found,","None found,",['DLE'],Other,,['Parody'],3 min.,G - All Ages,5.05,#13169,#13463,"1,242",0,522,"A collaboration between the Eagle Talon franchise and Gaikotsu Shotenin Honda-san. The former is promoting the latter's TV series. In a tongue-in-cheek style Yoshida-kun ""explains"" what Gaikotsu Shotenin Honda-san is about but gets it hilariously wrong much to the shock and frustration of Honda-san himself, such that never getting his name right.",[],Honda-san x Taka no Tsume,,,['Comedy'],
177,The Temptation of a Cat Demon,猫妖的诱惑,Love Story of Cat Spirit,,,,['ONA'],20,Finished Airing,"Dec 21, 2018 to Jun 13, 2019",,,['Tencent Animation & Comics'],"None found,",['Rocen'],['Web manga'],"['Fantasy', 'Romance']",['Reincarnation'],17 min. per ep.,PG-13 - Teens 13 or older,6.61,#6426,#14217,"1,016",9,296,"A cat demon with a split personality is reincarnated with the memories of her past life. She wishes revenge on her lover from her past life, but upon meeting him finds herself falling all over for him again. What should she do?! A female main character with no sense of moral principles, between an arrogant, abstinent man and the charming, indifferent demon king, who will she choose! (Source: Anilist)",[],Mao Yao de Huo Han,,,,
178,Bread and My Momo,パンと僕のモモちゃん,,,,,['ONA'],20,Finished Airing,"Oct 31, 2018 to 2019",,,['Anime Beans'],"None found,","None found,",['Web manga'],"['Comedy', 'Drama', 'Romance']",,2 min. per ep.,PG-13 - Teens 13 or older,[],#20937,#14258,"1,005",3,,"The story follows a boy named Shiro and his aunt, Momo, who live together after the death of Shiro's mother, Momo's older sister. Shiro makes bread for Momo in the mornings. (Source: ANN)","['Adaptation (Manga) Pan to Boku no Momo-chan', '']",Pan to Boku no Momo-chan,,['Shoujo'],,
179,"Painting Rivers and Lakes 3, Hua Jiang Hu: Bu Liang Ren 3rd Season",画江湖之不良人III,,,,,['ONA'],40,Finished Airing,"Oct 25, 2018 to Nov 12, 2019",,,"None found,","None found,",['Rocen'],Original,"['Drama', 'Fantasy', 'Romance']",,20 min. per ep.,R - 17+ (violence & profanity),6.72,#5770,#14371,968,1,253,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Hua Jianghu: Bu Liang Ren II', 'Sequel (ONA) Hua Jianghu: Bu Liang Ren IV']",Hua Jianghu: Bu Liang Ren III,"['Historical', 'Martial Arts']",,,
