,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,German,Spanish,Theme,Demographics
136,"Gensoumaden Saiyuki: Requiem - For the One Not Chosen, Gensoumaden Saiyuuki: Requiem",劇場版　幻想魔伝最遊記　Requiem　選ばれざる者への鎮魂歌,Saiyuki: Requiem,['Movie'],1,Finished Airing,"Aug 18, 2001",,,"None found,","['ADV Films', 'Sentai Filmworks']",['Pierrot'],['Manga'],"['Adventure', 'Supernatural']",,['Shounen'],1 hr. 34 min.,PG-13 - Teens 13 or older,7.31,#2792,#6674,"10,296",19,4537,"The gang is traveling along when they find a girl in need. Of course, they all can't resist going after her. This girl isn't all that she seems... her motive or her ""humanity"".... and soon the whole gang has Sanzo's past on their hands and one certain young boy who can keep a grudge for decades... (Source: ANN)","['Sequel (OVA) Gensoumaden Saiyuuki: Kibou no Zaika', '']",Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Saiyuki: Requiem,,,Gensomaden Saiyuki Requiem. La Película,['Mythology'],
137,"More! Useless Witch Doremi - Secret of the Frog Stone, Mo~tto! Ojamajo Doremi Kaeru Seki no Himitsu, Mo~tto! Ojamajo Doremi movie",も～っと！おジャ魔女どれみ カエル石のひみつ,,['Movie'],1,Finished Airing,"Jul 14, 2001",,,"None found,","None found,",['Toei Animation'],Original,,,,26 min.,G - All Ages,7.20,#3371,#8558,"5,644",4,2384,"Mo~tto Ojamajo Doremi movie features the five witches Doremi, Aiko, Hazuki, Onpu, and Momoko as they visit Doremi's grandpa's home. There, they learn of the mystery of the frog stone, a magical place where magic used to mingle in the old countryside. Aiko rediscovers her love for grandpa, and Doremi learns a piece of the magical kingdom's past. (Source: ANN)",[],Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,,['Comedy'],,,['Mahou Shoujo'],
138,"0087: Green Divers, Green Divers",ガンダム新体験―００８７―グリーンダイバーズ,,['Movie'],1,Finished Airing,"Aug 10, 2001",,,['Bandai Visual'],"None found,",['Sunrise'],Original,"['Adventure', 'Sci-Fi']","['Mecha', 'Space']",,23 min.,PG-13 - Teens 13 or older,6.12,#9250,#9479,"4,179",1,988,"During the closing days of the Gryps conflict of Mobile Suit Zeta Gundam, two siblings—Asagi and Takuya—ride aboard a civilian transport bound for Earth. Caught in a battle between the Titans and AEUG, they must somehow guide their ship through atmospheric entry. Luckily, they're not completely alone, as they find aid from a custom-painted Zeta Gundam, whose pilot sounds a lot like One Year War ace Amuro Ray. (Source: ANN)",[],Gundam Neo Experience 0087: Green Divers,,,,,,
139,"Shen Mue, Shenmuu",シェンムー・ザ・ムービー,,['Movie'],1,Finished Airing,"Sep 8, 2001",,,"None found,","None found,","None found,",Game,"['Action', 'Adventure']","['Martial Arts', 'Strategy Game']",,1 hr. 31 min.,PG-13 - Teens 13 or older,5.91,#10400,#10800,"2,797",8,772,"Using scenes from the original SEGA Dreamcast game plus some extra made for the movie, Shenmue: the Movie details the events of the first game. After Ryo's father is murdered and a mysterious mirror taken, Ryo sets himself on a quest for revenge.",[],Shenmue: The Movie,,,,,,
140,"Kinnikuman 2nd Generation, Kinnikuman Nisei: Second Generations",キン肉マンII世 second generations,,['Movie'],1,Finished Airing,"Jul 14, 2001",,,"None found,","None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sports']",,,25 min.,PG-13 - Teens 13 or older,6.37,#7832,#12196,"1,835",0,790,"While the New Generation Choujins are taking part in Fan Appreciation Day, The Cyborg arrives, takes Meat hostage, and challenges Mantarou to a fight inside Tokyo Tower. (Source: ANN)",[],Kinnikuman II Sei: Second Generations,,,,,['Combat Sports'],
141,Tracing the Gray Summer,いのちの地球 ダイオキシンの夏,The Summer of Dioxin,['Movie'],1,Finished Airing,"Aug 18, 2001",,,"None found,","None found,",['Magic Bus'],Book,,,,1 hr. 22 min.,PG-13 - Teens 13 or older,6.55,#6801,#12518,"1,646",1,414,"The anime follows a group of friends Giulia, Maria, Enrico, Lucio and Angelo during the Seveso disaster as they team up with a Japanese journalist Shirou Andou, and begin their own investigation of what's occurring (during the week long period of exposure when the ICMESA refused to notify citizens of the poison). As many animals are dying and people are getting sick. The children and Shirou discover deadly dioxin was released and inform Enrico's father, the town mayor, who evacuates all the citizens. Shirou continues investigating more and learns of the negligence of La Roche, a company who controls ICMESA. La Roche knew they were in violating of existing safety laws/protocols and destroyed evidence of their crimes. The children attend a press conference to ruin La Roche's reputation as the destroyed proof might not be enough in a court of law to punish them.",[],Inochi no Chikyuu: Dioxin no Natsu,,['Drama'],,,['Historical'],
142,,ブルーリメイン,,['Movie'],1,Finished Airing,"Aug 22, 2001",,,"['GAGA', 'Arts Magic']","None found,","None found,",Original,"['Adventure', 'Sci-Fi']",,,1 hr. 17 min.,PG-13 - Teens 13 or older,4.40,#13692,#12757,"1,520",0,384,"Post-nuclear Earth is barren, and life can't survive on the surface, so the few remaining people have lived under-water waiting for their time to be able to go to the surface. Amamiku and her faithful computer guardians, Pyron and Mayzamik, guard the seeds that contain the DNA for life and re-growth on the surface when the air is breathable again, but not everyone wants that to happen.",[],Blue Remains,,,,,,
143,"Tetsuwan Atom: Chikyuu Saigo no Nichi, Tetsuwan Atom: Doomsday, Astro Boy: Doomsday",鉄腕アトム ~地球最後の日~,,['Movie'],1,Finished Airing,"Jul 20, 2001",,,['Tezuka Productions'],"None found,","None found,",Unknown,,,,16 min.,G - All Ages,5.74,#11193,#13416,"1,257",0,293,"Astro Boy, helping Professor Ochinomizu with planetary exploration, discovers a trash star floating in space. On this star, robots that can no longer move have been thrown away stacked on top of each other. On this robot mountain, Astro saves a robot soldier, Bemu, that escaped from the verge of death and takes him back to Earth. ""I'm tried of fighting!"" ""I feel the same."" While Atom and Bemu are together, a warm friendship is born and goes on to deepen. However, one day, the trash star draws near to the Earth. If it hits, the Earth would have a huge explosion. The Earth is in chaos. As this happens, there is just one way to stop the crash into Earth. Only this is... What will Astro do. Will he be able to protect a peaceful Earth as well as his friendship with Bemu? (Source: Astro Boy Wiki)",[],Tetsuwan Atom: Chikyuu Saigo no Hi,,['Sci-Fi'],,,,
144,,銀河鉄道９９９ 虹の道標,,['Movie'],1,Finished Airing,"Jul 4, 2001",,,"['Dentsu', '81 Produce', 'Dentsu Tec']","None found,",['Toei Animation'],Unknown,"['Drama', 'Sci-Fi']",,,17 min.,G - All Ages,6.11,#9322,#14157,"1,039",0,197,"Short movie screened at the 2001 Kitakyushu Expo-Festival held in Kitakyushu City, Fukuoka Prefecture, Japan.",[],Ginga Tetsudou 999: Niji no Michishirube,,,,,['Historical'],
145,Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisoba Panman,それいけ! アンパンマン 怪傑ナガネギマンとやきそばパンマン,,['Movie'],1,Finished Airing,"Jul 14, 2001",,,"None found,","None found,",['TMS Entertainment'],Unknown,"['Adventure', 'Fantasy']",,['Kids'],20 min.,PG - Children,6.07,#9549,#16725,537,1,139,"Yakisobaman and Uncle Negi try to escort the young Pepper Trio and their important cargo to Vegetable Village in time for the carnival this evening but Baikinman and his gang are trying to steal the cargo. Luckily, Naganegiman keeps showing up to help fight them off, but how? Who could this mysterious masked swordsman be? (Source: Shiteater Subs)",[],Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisobapanman,,,,,,
146,,それいけ!アンパンマン ゴミラの星,,['Movie'],1,Finished Airing,"Jul 14, 2001",,,['Tokyo Movie Shinsha'],"None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,['Kids'],51 min.,PG - Children,[],#14527,#17094,496,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sore Ike! Anpanman: Gomira no Hoshi,,,,,,
147,,별주부 해로,Turtle Hero,['Movie'],1,Finished Airing,"Aug 11, 2001",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],1 hr. 15 min.,PG - Children,[],#17108,#23687,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Byeoljubu Haelo,,,,,,
148,"Hellsing DVD Special, Hellsing Teaser, Hellsing Episode 00",Hellsing: Psalm of Darkness,,['Special'],1,Finished Airing,"Aug 3, 2001",,,['Pioneer LDC'],"None found,",['Gonzo'],['Manga'],"['Action', 'Supernatural']",,['Seinen'],3 min.,R - 17+ (violence & profanity),6.90,#4816,#3979,"35,447",46,12182,Special that can be found on DVD. Contains animation not reused in the TV series.,[],Hellsing: Psalm of the Darkness,,,,,['Vampire'],
149,"Gakkou no Kaidan Special, Gakkou no Kaidan Ep 20, Ghost Stories Special, Ghost Stories Ep 20, Gakkou no Kaidan: Kubi Nashi Rider!! Shi no Noroi",学校の怪談 首なしライダー!! 死の呪い,Ghost Stories: The Headless Horsemen!! Curse of Death,['Special'],1,Finished Airing,"Aug 24, 2001",,,['Aniplex'],"['ADV Films', 'Discotek Media']",['Pierrot'],Novel,"['Horror', 'Mystery', 'Supernatural']",,,23 min.,PG-13 - Teens 13 or older,6.99,#4416,#5427,"17,352",9,10273,"A TV special of Gakkou no Kaidan that aired almost 5 months after the original anime. However, this event takes place before the Finale episode of the TV series. The story focuses on a headless motorcycle rider.",[],Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,,,,,,
150,Rupan Sansei: Alcatraz Connection,ルパン三世『アルカトラズコネクション』,,['TV Special'],1,Finished Airing,"Aug 3, 2001",,,"['VAP', 'Nippon Television Network']",['Discotek Media'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Comedy']",,['Seinen'],1 hr. 31 min.,PG-13 - Teens 13 or older,7.00,#4378,#7211,"8,587",11,3667,"Zenigata arrives on the ship ""Machine Gun Kelly"", a casino on the water owned by the mafia, because Lupin plans on stealing the casino's money. Lupin and his gang manages to break into the ship's vault but was unable to escape with the money due to Zenigata's shooting. However, there was another purpose the ship had, one that Lupin was aware of; to search for a sunken ship filled with gold. Lupin managed to steal this data while he was on the ship, however, now they have to contend with Zenigata, the mafia, and a secret organization whose base is under Alcatraz, as they attempt to uncover the secret behind the organization and the sunken treasure. (Source: ANN)",[],Lupin III: Alcatraz Connection,,,,,['Adult Cast'],
151,DiGi Charat Natsuyasumi Special,Di Gi Charat 夏休みスペシャル,,['Special'],4,Finished Airing,"Aug 2, 2001 to Aug 3, 2001",,,['TBS'],"None found,",['Madhouse'],Original,,,,11 min. per ep.,G - All Ages,6.65,#6186,#9656,"3,961",2,1947,"The Di Gi Charat Natsuyasumi Special was another four episode series set in America that aired almost a year after the original series from August 2, 2001 to August 3, 2001. The young American otaku, Rodoyan, is introduced in this series. • Natsuyasumi Special Episode 1 - Dejiko in America 1 • Natsuyasumi Special Episode 2 - Dejiko in America 2 When Puchiko wanted to get off a bus she couldn't reach the signal button, and the driver (looks just like Abarenbou) kept accelerating until reaching America. Soon Dejiko received a letter from Rod Young, an American boy and a big fan of Dejiko who let Puchiko stay with him, inviting Dejiko to America to visit them and pick Puchiko up. • Natsuyasumi Special Episode 3 - Depurapyogebo Debut A contest of bands was about to be held at Akihabara; the first prize is 10-year supply of nattou, Dejiko's favorite food. She decided to enroll but couldn't find enough members or instruments. • Natsuyasumi Special Episode 4 - Isn't Anyone Here-nyo? Dejiko and gangs of Gamers went to the mountains, but when night fell people began to disappear one by one. (Source: ANN, AniDB & Wikipedia)","['Prequel (Special) Di Gi Charat Ohanami Special', '']",Di Gi Charat Natsuyasumi Special,,['Comedy'],,,,
152,"Seikai no Senki Movie, Battle Flag of the Stars Special Edition, Seikai no Senki Tokubetsuhen",星界の戦旗 特別編,,['TV Special'],1,Finished Airing,"Jul 4, 2001",,,"['Bandai Visual', 'WOWOW']","None found,",['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']","['Military', 'Space']",,2 hr.,PG-13 - Teens 13 or older,7.18,#3468,#9991,"3,561",2,1267,A compilation of the Seikai no Senki Tokubetsuhens series with additional footage.,"['Adaptation (Light Novel) Seikai no Senki', '']",Seikai no Senki Special,,,,,,
153,"Mobile Suit Gundam: Zeonic Front Special Movie, Kidou Senshi Gundam: Zeonic Front - Indignation of Zeon.",ジオニックフロント 機動戦士ガンダム0079 ジオンの悲憤,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,['Special'],1,Finished Airing,"Sep 6, 2001",,,['Bandai'],"None found,",['Sunrise'],Original,,"['Mecha', 'Military']",,10 min.,PG-13 - Teens 13 or older,5.75,#11146,#11079,"2,570",0,749,"Short animated recap of the One Year War from the perspective of LCDR. Garret Schmitzer. Included on the game disc of the Mobile Suit Gundam: Zeonic Front, a PS2 game by BANDAI.",[],Zeonic Front: Kidou Senshi Gundam 0079 - Zeon no Hifun,,,,,,
154,SoulTaker Omake,The SoulTaker 〜魂狩〜 小麦大作戦,,['Special'],3,Finished Airing,"Sep 21, 2001 to Dec 21, 2001",,,"None found,","None found,",['Tatsunoko Production'],Original,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.80,#10942,#11689,"2,147",1,705,SoulTaker DVD specials featuring Komugi.,[],The SoulTaker: Tamashii-gari - Komugi Daisakusen,,['Comedy'],,,,
155,"Ie Naki Ko Rémi Specials (2001), Sekai Meisaku Gekijou Kanketsu Ban: Ie Naki Ko Remi, World Masterpiece Theater Complete Edition: Homeless Child Remy, Nobody's Girl Remi, Remi the Homeless Girl",世界名作劇場・完結版 家なき子レミ,,['TV Special'],2,Finished Airing,"Jul 14, 2001 to Jul 15, 2001",,,['Bandai Visual'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama']",,,45 min. per ep.,G - All Ages,6.57,#6642,#13856,"1,116",1,297,A summary of the Ie Naki Ko Remy full series aired as a TV specials.,[],Ie Naki Ko Remy Specials (2001),,,,,['Historical'],
156,Sekai Meisaku Gekijou Kanketsu Ban: Kazoku Robinson Hyouryuuki - Fushigi na Shima no Flone,世界名作劇場・完結版 家族ロビンソン漂流記 ふしぎな島のフローネ,,['TV Special'],2,Finished Airing,2001,,,"None found,","None found,",['Nippon Animation'],Novel,"['Adventure', 'Drama', 'Slice of Life']",,,45 min. per ep.,G - All Ages,[],#19356,#17332,475,0,,A summary of the Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone full series aired as a TV specials.,[],Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials,,,,,['Historical'],
157,Gakuen Senki Muryou Episode 14.5,学園戦記ムリョウ 総集編,,['TV Special'],1,Finished Airing,"Aug 28, 2001",,,"None found,","None found,",['Madhouse'],Original,,,,25 min.,PG-13 - Teens 13 or older,[],#18100,#17757,440,0,,Recap of the first 14 episodes of Gakuen Senki Muryou.,[],Gakuen Senki Muryou Recap,,['Adventure'],,,,
158,"Sekai Meisaku Gekijou Kanketsu Ban: Meiken Lassie, World Masterpiece Theater Complete Edition: Lassie",世界名作劇場・完結版 名犬ラッシー,,['TV Special'],2,Finished Airing,Jul 2001,,,['Bandai Visual'],"None found,",['Nippon Animation'],Novel,"['Adventure', 'Slice of Life']",,,45 min. per ep.,G - All Ages,[],#20122,#17943,426,0,,A summary of the Meiken Lassie full series aired as a TV specials.,[],Meiken Lassie Specials,,,,,['Pets'],
159,"Sekai Meisaku Gekijou Kanketsu Ban: Princess Sara, Shoukoujo Sara Specials",世界名作劇場・完結版 小公女セーラ,,['TV Special'],2,Finished Airing,Apr 2001,,,"None found,","None found,",['Nippon Animation'],Novel,,"['Historical', 'School']",,45 min. per ep.,G - All Ages,[],#21162,#20421,264,1,,A summary of the Princess Sara TV series aired as TV Specials in 2001.,[],Princess Sara Specials,,['Drama'],,,,
160,,テライユキinバーチャルハワイ,,['Special'],3,Finished Airing,"Aug 10, 2001",,,"None found,","None found,","None found,",Original,"['Drama', 'Sci-Fi']","['Historical', 'Idols (Female)']",,3 min. per ep.,None,[],#16182,#22021,176,0,,1. Paradise Ocean: A day on the beach 2. Project BB-11 3. Terai Yuki's Digital Dream,[],Yuki Terai in Virtual Hawaii Specials,,,,,,
161,,ジーンシャフト パイロット版フィルム,,['Special'],1,Finished Airing,"Aug 25, 2001",,,"None found,","None found,","None found,",Original,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'Space']",,3 min.,PG-13 - Teens 13 or older,[],#18163,#25653,87,1,,Pilot film included with the first DVD volume of Geneshaft.,[],Geneshaft Pilot Film,,,,,,
