,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Theme,Themes,Genre,Demographics
83,将国のアルタイル,Altair: A Record of Battles,['TV'],24,Finished Airing,"Jul 8, 2017 to Dec 23, 2017",['Summer 2017'],Saturdays at 02:25 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Kodansha', 'Lucent Pictures Entertainment', 'Hakuhodo DY Music & Pictures', 'Lawson', 'GYAO!', 'Kanetsu Investment', 'Christmas Holly']","None found,",['MAPPA'],['Manga'],"['Adventure', 'Drama']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1749,#2525,"81,462",331,24740,"Tuğrul Mahmut is a young pasha serving on the Divan of the Türkiye Stratocracy. The clouds of war are gathering over his country due to the threat of an aggressive Empire. With the Divan split between warmongers and the pacifists, Mahmut begins his quest to keep the peace at any cost. As he finds himself deeper and deeper in the politics of the ancient world, new enemies and allies surface. Who will prevail? What will Mahmut do if war proves to be inevitable?","['Adaptation (Manga) Shoukoku no Altair', '']",Shoukoku no Altair,,Altair: A Record of Battles,Altair: Un Registro de Batallas,Altaïr,,"['Historical', 'Military']",,
84,妖怪アパートの幽雅な日常,Elegant Yokai Apartment Life,['TV'],26,Finished Airing,"Jul 3, 2017 to Dec 25, 2017",['Summer 2017'],Mondays at 23:00 (JST),"['TMS Entertainment', 'Kodansha', 'Asmik Ace', 'JR East Marketing & Communications', 'Sumitomo']","None found,",['Shin-Ei Animation'],Novel,"['Slice of Life', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.18,#3480,#2760,"70,356",222,27588,"Inaba Yuushi's parents died in his first year of middle school, and he moved in with his relatives. Though they did care for him, he could tell he was a burden. After he graduated, he happily prepared to move to a high school with a dormitory. Unfortunately, the dormitory burned to the ground before he could move in! Yuushi doesn't want to live with his grudging relatives, but it's rough finding lodging as an orphaned student with little money. He finally finds a room in a nice old building which seems too good to be true. The catch is that it is a Monster House, a place where humans and supernatural creatures—ghosts, mononoke, etc.—live together. Another high schooler lives there, a cute girl named Akine, and she's completely unfazed by the monsters. In fact, she can even exorcise evil spirits! Yuushi's high school life just got much stranger than he ever bargained for! (Source: MangaHelpers)","['Adaptation (Manga) Youkai Apartment no Yuuga na Nichijou', 'Adaptation (Novel) Youkai Apartment no Yuuga na Nichijou']",Youkai Apartment no Yuuga na Nichijou,,Elegant Yokai Apartment Life,Elegant Yokai Apartment Life (Yokai Apartment no Yuuga na Nichijou),Elegant Yokai Apartment Life,,"['Mythology', 'School']",,
85,遊戯王VRAINS,Yu-Gi-Oh! VRAINS,['TV'],120,Finished Airing,"May 10, 2017 to Sep 25, 2019",['Spring 2017'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems']",['Konami Cross Media NY'],['Gallop'],Card game,"['Action', 'Fantasy', 'Sci-Fi']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5906,#3341,"49,411",267,20297,"The world of Duel Monsters is once again evolving with the development of a network called Link Vrains and a new summoning mechanic introduced as Link Summoning. By using this cyberspace, duelists can now create their own avatars and duel their way to glory within a virtual reality. However, much like the real world, the digital world is not free from war, conflict, and mysteries. Years ago, a hacker organization known as the Knights of Hanoi unleashed an attack on Link Vrains. Led by the anonymous Revolver, their aim was to annihilate the artificial intelligence program known as the Cyberse. After a failed attempt, one of their targets, Ignis, managed to escape and hide the Cyberse somewhere in the network. Five years later, high school student Yuusaku Fujiki encounters a strange artificial intelligence program while dueling in Link Vrains. Under the guise of his avatar named Playmaker, Yuusaku and his partner in crime, Shouichi Kusanagi, decide to join forces with the peculiar existence. As he seeks the truth behind a mysterious incident of the past, Yuusaku battles against the Knights of Hanoi and SOL Technologies in a race that might alter the fate of the world. [Written by MAL Rewrite]",[],Yu☆Gi☆Oh! VRAINS,"Yuu Gi Ou!, Yugioh",Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,['Strategy Game'],,,
86,妖怪ウォッチ,Yo-kai Watch,['TV'],214,Finished Airing,"Jan 8, 2014 to Mar 30, 2018",['Winter 2014'],Fridays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Dentsu Entertainment USA'],['OLM'],Game,"['Comedy', 'Supernatural']",['Kids'],23 min. per ep.,G - All Ages,6.68,#6009,#3993,"35,147",270,16274,"Primary school student Keita Amano's curiosity is as innocent as any other child's his age. But when one day he decides to venture deeper into the forest, he encounters a small and mysterious capsule. Out from its depths comes Whisper. After 190 years of imprisonment, this ghost-like creature is glad that someone has been kind enough to set him free. He decides to reward Keita by becoming his guardian against supernatural forces. Whisper is one of many Youkai that exist in the world, and provides Keita with a special Youkai Watch, which enables him to see and interact with all the other Youkai. Youkai Watch follows Keita, Whisper and the cat spirit Jibanyan as they encounter Youkai, befriend them, fix all the trouble that they so often cause, and, with the help of the watch, use the powers of previously encountered Youkai to aid them. Young Keita may have been just an ordinary primary school student when he first encountered the Youkai, but the many adventures that follow his discovery provide him with invaluable experiences and precious life lessons that help him grow.","['Sequel (TV) Youkai Watch!', 'Adaptation (Manga) Youkai Watch']",Youkai Watch,Yokai Watch,Yo-Kai Watch,Yo-Kai Watch,Yo-Kai Watch,['Mythology'],,,
87,魔法陣グルグル,Magical Circle,['TV'],24,Finished Airing,"Jul 11, 2017 to Dec 20, 2017",['Summer 2017'],Wednesdays at 01:35 (JST),"['TV Tokyo', 'Square Enix', 'Lantis', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Sony Music Communications']","None found,",['Production I.G'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.80,#1039,#4048,"34,221",240,10770,"Nike was a simple boy from Boering Village, and the last thing he ever wanted was to become a hero. But when a sign appears from the king of Ainshent Castle Town recruiting heroes to slay the Demon Lord Giri, Nike's father enthusiastically forces him out the door. Along with Kukuri, a member of the Migu Migu Clan, Nike sets out on an adventure to become the legendary hero that the world needs. As Nike and Kukuri travel across different continents, they attempt to learn the secrets of Guru Guru Magic, a strange but powerful type of magic used to seal Demon Lord Giri's power. While reluctantly taking on their assigned quest, the duo does not fail to acquire new comrades and have fun along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Mahoujin Guruguru', '']",Mahoujin Guruguru (2017),,Magical Circle Guru-Guru,Magical Circle Guru-Guru,Magical Circle Guru-Guru,['Parody'],,,
88,アイカツスターズ！,,['TV'],100,Finished Airing,"Apr 7, 2016 to Mar 29, 2018",['Spring 2016'],Thursdays at 18:25 (JST),"['TV Tokyo', 'Echoes']","None found,",['Bandai Namco Pictures'],Original,,,24 min. per ep.,PG - Children,7.62,#1489,#4999,"21,425",308,7316,"Yume Nijino has been accepted into Four Stars academy, home of the beautiful and talented S4 idol group. She and the other newcomers are determined to discover their talent, with a choice of specializing in beauty, singing, dancing, or drama. A tough road lies ahead of them, and they must rely on each other to overcome their weaknesses and develop their unique strengths. At the first-years' opening performances, Yume performs stellarly but faints and is unable to remember being on stage at all. Struggling to find her talent, she meets Rola ""Laura"" Sakuraba, and the two develop a friendly rivalry, working together to learn and improve. Though they have their differences, all the students share the same goal: to become the next S4 idol. But hard work and determination, along with teamwork, are needed if they want to join the elite S4. [Written by MAL Rewrite]",[],Aikatsu Stars!,,,,,,"['Idols (Female)', 'Music', 'School']",['Slice of Life'],
89,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.72,#1246,#5000,"21,405",239,9584,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,['Anthropomorphic'],,,"['Kids', 'Shounen']"
90,ベイブレードバースト 神〈ゴッド〉,Beyblade Burst Evolution,['TV'],51,Finished Airing,"Apr 3, 2017 to Mar 26, 2018",['Spring 2017'],Mondays at 17:55 (JST),"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['OLM'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",['Kids'],24 min. per ep.,PG - Children,7.14,#3665,#5053,"20,908",149,12302,"Valt Aoi, who participated in the Japanese Championship, was scouted for the prestigious Spanish team BC Sol and heads out to Spain. With their sights set on the world, Valt and his friends begin their challenge for the World League! However, in order to qualify for the World League, they must first win the European League. Will Valt be able to take BC Sol to the World League? And can he defeat the world's strongest Bladers? (Source: Beyblade Fandom Wiki)","['Prequel (TV) Beyblade Burst', 'Sequel (TV) Beyblade Burst Chouzetsu']",Beyblade Burst God,,,,Beyblade Burst Evolution,,,,
91,モンスターハンターストーリーズ RIDE ON,Monster Hunter Stories: Ride On,['TV'],75,Finished Airing,"Oct 2, 2016 to Apr 1, 2018",['Fall 2016'],Sundays at 08:30 (JST),"['Dentsu', 'Fuji TV', 'Capcom', 'Fuji Creative']",['Funimation'],['David Production'],Game,,,24 min. per ep.,PG-13 - Teens 13 or older,6.28,#8378,#5578,"16,105",49,3775,"This is a world where both men and monsters exist. Those who hunt the monsters are called Hunters. But in a small corner of the Hunter's world, there are those called Riders who bond with and coexist with monsters. With their Kizuna Ishi (Bonding Stones) that allow them to awaken the hidden power inside monsters, Riders live in secrecy together with their Otomon, the monsters they formed a connection with. Ryuto, a young boy living in the Rider village of Hakum, dreams of becoming the world's best Rider. Having just turned 12, he sets out to find his own Otomon for himself before the ceremony where he is given his own Kizuna Ishi. Together with his kind-hearted childhood friend Cheval, his inquisitive childhood friend Lilia, and his partner Naville, he sets out deep into the forest, and has a miraculous encounter with a Rathalos. (Source: ANN, edited)",[],Monster Hunter Stories: Ride On,,Monster Hunter Stories Ride On,,Monster Hunter Stories Ride On,,,['Fantasy'],
92,キラキラ☆プリキュアアラモード,Kirakira Pretty Cure A La Mode,['TV'],49,Finished Airing,"Feb 5, 2017 to Jan 28, 2018",['Winter 2017'],Sundays at 08:30 (JST),"['Asatsu DK', 'Asahi Broadcasting', 'ABC Animation', 'Echoes']","None found,",['Toei Animation'],Original,"['Action', 'Gourmet']",,24 min. per ep.,G - All Ages,7.13,#3761,#5775,"14,791",154,5438,"Cheerful teenager Ichika Usami has a passion for sweets that is inspired by her mother's baking. In celebration of her mother's return from overseas, she tries her hand at making a cake herself. She is interrupted when a dog-like fairy named Pekorin crashes into her kitchen. With Pekorin's help, Ichika successfully bakes her cake. Only then enters an imp named Gummy who bursts in and attempt to steal the cake's ""kirakiraru"", a magical power that gives sweets the ability to bring happiness. Though Ichika initially offers her cake to Gummy in order to protect Pekorin, the fairy helps her realize how important the treat is and the love it represents. As the kirakiraru within Ichika's cake grows, it changes into a set of trinkets that transforms her into Cure Whip, a hero known as a Pretty Cure. Using her newfound powers, she goes on to battle kirakiraru thieves whenever they appear. Ichika fights to protect Ichigozaka's sweets and finds colorful new allies along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Kirakira☆Precure à la Mode', '']",Kirakira☆Precure A La Mode,Kirakira☆Precure À La Mode,Kira Kira☆Pretty Cure a La Mode,Kira Kira☆Pretty Cure a La Mode,Kira Kira☆Pretty Cure a La Mode,['Mahou Shoujo'],,,
93,ぐでたま,The Lazy Egg,['TV'],1717,Finished Airing,"Mar 31, 2014 to Dec 24, 2023",['Spring 2014'],Not scheduled once per week,['Sanrio'],"None found,",['Gathering'],Original,"['Comedy', 'Gourmet']",['Kids'],1 min. per ep.,G - All Ages,6.61,#6458,#5997,"13,397",60,2722,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved. (Source: ANN)",[],Gudetama,,,,,,,,
94,パズドラクロス,Puzzle & Dragons X,['TV'],89,Finished Airing,"Jul 4, 2016 to Mar 26, 2018",['Summer 2016'],Mondays at 18:25 (JST),"['Audio Planning U', 'GungHo Online Entertainment']",['Funimation'],['Pierrot'],Game,,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,6.49,#7128,#7046,"9,035",20,2664,"Dorogoza Island is rich in ""Drop Energy"" that players can use on friendly monsters. Once strong enough, they can face enemies in puzzle wars. Winners reap rewards, but what happens to the losers? Only the brave can take on these monstrous challenges! (Source: FUNimation)",[],Puzzle & Dragons Cross,PazuDora Cross,Puzzle & Dragons X,Puzzle & Dragons X,Puzzle & Dragons X,['Strategy Game'],,,
95,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9121,#7128,"8,793",39,1934,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
