,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Demographic,Theme,Spanish,Genre,Demographics
79,"Fishing Fool Diary, Diary of a Fishing Fool",釣りバカ日誌,,['TV'],36,Finished Airing,"Nov 2, 2002 to Sep 13, 2003",['Fall 2002'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,24 min. per ep.,G - All Ages,[],#15035,#14573,926,1,,"Hamazaki Densuke (Hama-chan) is an unavaricious white-collar worker who does not have any interest in success and self-protection. Even though he incurs the wrath of his superior and stir ill feelings from his wife, Hama-chan prefers to take things at his own stride and goes fishing. He feels that there are more important things in life than work and enjoys the simple things in life such as fishing. (Source: ANN)","['Adaptation (Manga) Tsuribaka Nisshi', '']",Tsuri Baka Nisshi,,,,,,,
80,,스피어즈,,['TV'],26,Finished Airing,"Feb 27, 2003 to Aug 21, 2003",['Winter 2003'],Unknown,['Studio Kaab'],"None found,","None found,",Unknown,"['Action', 'Fantasy']",,22 min. per ep.,PG - Children,6.12,#9285,#14609,918,1,156,"Unbeknownst to human history, the Kingdom of Spheres existed upon our earth long ago. The people of this kingdom would be regarded today as people with psychic powers. Unfortunately, like most other civilizations, as the gap widened more and more between the social classes, the Kingdom of Spheres was troubled by those greedy for power; and in the end it collapsed. Na Yeon is a mysterious girl who was found in the Antarctic after the destruction of Spheres. One day Asten, the chairman of Sphere Union, who has a burning ambition to control the world, sent his followers to keep watch on Na Yeon. Na Yeon and her friends try to keep three artifacts, the keys to conquer the world, from the hands of Sphere Union. (Source: Wikipedia)",[],Spheres,,,,['Super Power'],,,
81,,デジガールPOP! 〜STRAWBERRY＆POP MIX FLAVOR〜,,['TV'],26,Finished Airing,"Feb 17, 2003 to Aug 12, 2003",['Winter 2003'],Unknown,"['GDH', 'HoriPro', 'Kids Station', 'Pioneer LDC']","None found,",['Creators Dot Com'],Unknown,"['Comedy', 'Sci-Fi']",,3 min. per ep.,PG - Children,5.79,#10975,#15147,780,0,139,"One fine day, a robot by the name of ""Digi-girl"" fell from the sky and landed near the nail-saloon operated by Nails, a nail-artist who likes all things pretty. Nails took Digi-girl in, hoping that she can help out with the household chorse. However, much to her desperation, the latter is completely useless with cleaning matters and constantly fumbles with dire results. On top of that, she creates a commotion where-ever she goes, be it in school or on the streets. This is a cute and ""pop"" story about a robot girl mixing together with other peculiar townsfolk. (Source: ANN)",[],DigiGirl Pop!: Strawberry & Pop Mix Flavor,,,,,,,
82,Little Bebil in Wonderland,ワンダーベビルくん,,['TV'],30,Finished Airing,"Apr 11, 2003 to Feb 6, 2004",['Spring 2003'],Unknown,"['Aniplex', 'Dentsu', 'NHK', 'MICO']","None found,",['Radix'],Unknown,"['Comedy', 'Fantasy']",,25 min. per ep.,G - All Ages,[],#15372,#15241,758,0,,No synopsis has been added for this series yet. Click here to update this information.,[],Wonder Bebil-kun,,,,,,,
83,"Tank Knights Portriss, Mugen Senki Fortress",無限戦記ポトリス,,['TV'],52,Finished Airing,"Apr 5, 2003 to Mar 27, 2004",['Spring 2003'],Unknown,"['TV Tokyo', 'Bandai Visual']","None found,","['Sunrise', 'Dongwoo A&E']",Unknown,"['Action', 'Sci-Fi']",,25 min. per ep.,PG - Children,6.10,#9372,#15734,667,1,126,"In a raving world, legendary knights stood up. Will they become gods of war or world saviors? Three Portriss Knights and sole human boy are now going to change the World! Portriss Planet, home of where robots live in peace. However, this peacefulness was ruined by the sudden appearance of a Dictator ""Dark Portriss"". Dark Portriss plans to attain infinite powers through the use of the ""Space-time destroying Cannon"". The only ones able to stop this are the Portriss Knights! A boy, Yuuma, accidentally got into the Portriss World, and the Portrisses` adventure begins! (Source: AniDB)",[],Mugen Senki Portriss,,,,['Mecha'],,,
84,,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,,2 min. per ep.,PG - Children,5.99,#9948,#16840,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,['Kids'],,,['Comedy'],
85,,かっぱまき,Kappamaki and the Sushi Kids,['TV'],130,Finished Airing,"Mar 31, 2003 to Sep 26, 2003",['Spring 2003'],Unknown,"None found,","None found,",['Trans Arts'],Unknown,"['Comedy', 'Slice of Life']",,3 min. per ep.,G - All Ages,[],#19321,#18043,418,1,,"Kappamaki and his sushi friends are cute-cool-charming characters who soothe your grating feelings and heal your weary heart. They are all adorable characters originally made with clay by Miss Eri Okamoto. Kappamaki and the Sushi Kids are living in a small and peaceful village surrounded by unspoiled nature - flowers, fields, green forest with a crystal-clear river flowing through it. All the inhabitants including Kappamaki and his friends are naïve, honest and tenderhearted. There is a school, a park, houses, business offices and shops just like an ordinary small village anywhere. A friendly guy says that it is a typical Alpine village with the glamour of Paris and the atmosphere of Venice... Is it, really?! OK. Let's take a closer look... Oh, my goodness! The village looks as if it is made of sushi tools - The banks of the canals are sushi pails. The buildings are piled-up sushi baskets etc... This series of animated shorts is full of humorous mishaps and heart-warming tales giving smiles and chuckles to everybody. They are also educational and entertaining describing friendship and kindness. So, please enjoy the mind-healing tales in this fantasy land. (Source: AniDB)",[],Kappamaki,,,,,,,
86,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,['Kids'],['Music'],,,
87,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,6 min. per ep.,PG - Children,[],#18441,#22580,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,['Kids'],,,,
88,,검정 고무신,Black Rubber Shoes,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,11 min. per ep.,PG - Children,[],#18180,#23244,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,['Kids'],,,,
89,,VIE DURANT,,['ONA'],8,Finished Airing,"Jul 15, 2003 to Sep 2, 2003",,,"None found,","None found,","['Radix', 'Marine Entertainment']",Original,"['Drama', 'Sci-Fi']",,7 min. per ep.,PG-13 - Teens 13 or older,4.70,#13533,#12094,"1,901",3,352,"The Antarctic thaws and it is an era when most of the land has been submerged in water. The extinction of Mankind already draws near. Mankind who were born from Adam and Eve, were now deteriorating as they repeatedly get cloned from generation to generation. Things essential for the survival of living things were lost. Even so, the ones remaining cling on to survive... ""We should get what we need for survival from something else...!"" And so, a mere small group of humans began a new life upon the surface of water, exhausting the resources of each and every other living thing to survive. In the end, they discover people who posess a huge quantity of things necessary for survival. The young men who posessed such things continues their journey even today, to escape from those who were pursuing them. They just wanted to find that something somewhere. They were seeking for the one and only ""help"" there was... (Source: AnimeNfo)",[],Vie Durant,,,,['Vampire'],,,
90,,TRIP TREK [トリップトレック],,['ONA'],4,Finished Airing,2003,,,"None found,","None found,",['Manglobe'],Original,"['Adventure', 'Comedy', 'Fantasy']",,5 min. per ep.,G - All Ages,4.61,#13592,#16900,518,0,207,"A young girl from a fairy-tale world, Zocco searches the real world for her missing mother. She is accompanied by Minime, a magical companion / pet that her mother created for her. (Source: ANN)",[],Trip Trek,,,,,,,
91,,はじめの一歩 間柴vs木村 死刑執行,Fighting Spirit: Mashiba vs. Kimura,['OVA'],1,Finished Airing,"Sep 5, 2003",,,"None found,",['Discotek Media'],['Madhouse'],['Manga'],,,1 hr. 1 min.,PG-13 - Teens 13 or older,8.24,#347,#1971,"118,810",223,73195,"Tatsuya Kimura is beginning to feel left behind. With his friends Ippo Makunouchi and Mamoru Takamura holding the championship belt in their respective weight classes, Kimura's inability to become Japan's Junior Lightweight boxing champion eats away at him. Scheduled to fight with the current champion Ryo Mashiba, Kimura begins to train with Ippo's rival Ichirou Miyata, who previously suffered a crushing defeat from Mashiba's signature ""Hitman"" style of boxing. But Mashiba has his own desire to hold onto the belt, hoping to soon shoot for the World title and secure financial stability for his sister Kumi. Will Kimura's overwhelming drive to prove his strength as a boxer overcome Mashiba's desperate wish to provide a better life for Kumi? [Written by MAL Rewrite]","['Prequel (TV Special) Hajime no Ippo: Champion Road', 'Sequel (TV) Hajime no Ippo: New Challenger', 'Adaptation (Manga) Hajime no Ippo', '']",Hajime no Ippo: Mashiba vs. Kimura,,,['Shounen'],['Combat Sports'],,['Sports'],
92,Tenchi Muyo! Ryo-Ohki 3rd Season,天地無用！魎皇鬼 第三期,Tenchi Muyo! Ryo-Ohki,['OVA'],6,Finished Airing,"Sep 18, 2003 to Mar 16, 2005",,,"['VAP', 'Nippon Television Network']",['Funimation'],['AIC'],Original,"['Action', 'Comedy', 'Sci-Fi']","['Harem', 'Space']",30 min. per ep.,R+ - Mild Nudity,7.26,#3065,#4939,"22,025",49,11276,"Ever since his powers awakened, Tenchi Masaki has attracted the attention of many powerful galactic beings, including the mysterious Lady Takami who dispatches her best warrior, Z, to observe him. Though he is under strict orders not to harm Tenchi, Z has no intention of playing by the rules and begins plotting his demise. Meanwhile, on Earth, Tenchi tries to piece together more information about his family and the universe. But as usual, his life won't be getting any easier, as his entire household enters a state of panic when Noike Kamiki Jurai—a woman claiming to be Tenchi’s fiancée—shows up out of the blue. [Written by MAL Rewrite]","['Prequel (OVA) Tenchi Muyou! Ryououki 2nd Season', 'Sequel (OVA) Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?']",Tenchi Muyou! Ryououki 3rd Season,,,,,,,
93,,ナースウィッチ小麦ちゃんマジカルて,Nurse Witch Komugi,['OVA'],5,Finished Airing,"Aug 23, 2002 to Apr 2, 2004",,,"['Rondo Robe', 'Pioneer LDC', 'Toshiba Entertainment', 'Toshiba Digital Frontiers']",['ADV Films'],"['Kyoto Animation', 'Tatsunoko Production']",Original,"['Comedy', 'Fantasy']","['Gag Humor', 'Mahou Shoujo', 'Otaku Culture', 'Parody']",24 min. per ep.,PG-13 - Teens 13 or older,6.64,#6226,#5229,"19,265",88,6798,"Ungrar, the King of Viruses, has escaped from his prison cell in Vaccine World. Maya, the Goddess of Vaccine World sends Mugimaru down to Earth to find a human to accept the powers of Vaccine World and become the Magical Nurse. He finds the best (and the only willing) person for the job when he meets Komugi Nakahara. Komugi is a playful, lazy, and easily distracted (typical) teenager whose dream is to become a cosplay idol. Balancing her career with the Kiri-Pro Promotion Company and her new job battling Ungrar's loyal henchman, the Magical Maid Koyori, Komugi delights audiences in this parody anime series. (Source: ANN)","['Sequel (OVA) Nurse Witch Komugi-chan Magikarte Z', '']",Nurse Witch Komugi-chan Magikarte,,,,,,,
94,,新・北斗の拳,New Fist of the North Star,['OVA'],3,Finished Airing,"Jul 24, 2003 to May 28, 2004",,,"['OB Planning', 'Kitty Films', 'Sega']","['ADV Films', 'Sentai Filmworks']",['A.C.G.T.'],['Light novel'],"['Action', 'Drama', 'Sci-Fi']","['Gore', 'Martial Arts', 'Super Power']",58 min. per ep.,R+ - Mild Nudity,6.93,#4693,#5626,"15,808",21,6531,"In a post-apocalyptic Earth, the water has become entirely toxic, except for some kept safe in a reservoir. A fortified zone has been created by a man named Sanga, he calls it The Lastland. A group of villagers have discovered safe water, and Sanga wants it. He and his band of killers go to kill everyone and steal it. As they do a mysterious man appears out of nowhere, instantly killing some of Sanga's men. His name is Kenshiro, and he can beat any man with his martial art, Hokuto Shin Ken. Sanga will do anything for the water, and Kenshiro will do anything to try and stop him. (Source: ANN)","['Prequel (TV) Hokuto no Ken 2', 'Adaptation (Light Novel) Hokuto no Ken: Jubaku no Machi']",Shin Hokuto no Ken,,,['Shounen'],,New El Puño de la Estrella del Norte,,
95,"Lingerie Office, Lingeries Office",ランジェリーズ,,['OVA'],3,Finished Airing,"Jul 24, 2003 to Feb 26, 2004",,,['Green Bunny'],['NuTech Digital'],['Studio Fantasia'],Visual novel,,,28 min. per ep.,Rx - Hentai,7.00,N/A,#6727,"10,137",83,4406,"As Yusuke Nakonishi begins his new job at the Best Beauty Body Lingerie Company, little does he know that he's about to find himself in the center of a ring of business and sexual intrigue. Charged to disrupt and eliminate the cohorts of an opposing faction, Nakonishi thrusts himself on the prowl after three of his sexy co-workers around whom this sex drama spirals. (Source: AniDB)","['Adaptation (Light Novel) Lingeries', '']",Lingeries,Lingerie Office,Lingerie Office,,,Lingeries Office,['Hentai'],
96,"Sexy Magical Girl Ai, Maho Shojo Ai",魔法少女アイ,,['OVA'],5,Finished Airing,"Aug 25, 2003 to Feb 25, 2005",,,"['Milky Animation Label', 'MS Pictures']",['JapanAnime'],['Shinkuukan'],Visual novel,"['Action', 'Horror', 'Supernatural', 'Hentai']",,27 min. per ep.,Rx - Hentai,6.49,N/A,#7022,"9,148",43,3058,"In a certain town, there were consecutive phantom assaults. Because the incidents were extraordinarily, there was a rumor that a ghost or supernatural creature caused them. The students in the school which Akitoshi went to were frightened. One day, an unknown girl appeared in the school. However, all the students except Akitoshi thought they had known her. Feeling strange, he shadowed her in order to investigate her but he lost sight of her. At that moment, he heard the scream of a woman from the nearby material yard and went to the place where the scream came from. There he found the beautiful girl of the school, Mikage. Mikage was surrounded by monsters ""Yuragi"" (fluctuation), and she was hanged naked. Yuragi noticed Akitoshi and began to attack him. Then, the fighter, Ai, appeared and cut them down. Akitoshi stared at Ai. What was her true character, an enemy or an ally? (Source: AnimeNfo)","['Sequel (OVA) Mahou Shoujo Ai San: The Anime', 'Adaptation (Light Novel) Mahou Shoujo Ai']",Mahou Shoujo Ai,,,,,,,
97,"RahXephon Interlude: Her and Herself - Thatness and Thereness, RahXephon OVA",ラーゼフォン 間奏曲 / 彼女と彼女自身と 「Thatness And Thereness」,,['OVA'],1,Finished Airing,"Aug 7, 2003",,,['Bandai'],['Sentai Filmworks'],['Bones'],Original,"['Drama', 'Sci-Fi']",,15 min.,PG-13 - Teens 13 or older,6.27,#8458,#7542,"7,618",3,3075,"Quon Kisaragi was surprised when she saw an illusion of herself floating in midair. This other ""self"" of her claimed that she is a fragment of Quon. Thus an existentialistic dialogue began between the two. (Source: ANN)",[],RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,,,,['Psychological'],,,
98,,とらいあんぐるハート -Sweet Songs Forever-,,['OVA'],4,Finished Airing,"Jul 24, 2003 to Dec 26, 2003",,,['Discovery'],"None found,",['Seven Arcs'],Visual novel,"['Adventure', 'Romance']",,28 min. per ep.,R - 17+ (violence & profanity),6.10,#9393,#7539,"7,624",7,3050,"Fiasse is a world-renowned singer. She is now the headmistress of a special Singing School who does a Charity World Tour every year. Her mother left behind a inheritance for her after she died and some shady people are after Fiasse and the inheritance. Bring in Ellis, and two siblings who are master of the swords to protect Fiasse. The World Tour is coming up and Fiasse will continue the show. Ellis, Kyoya, Miyuki and company must protect their childhood friend at all costs. (Source: ANN)","['Prequel (OVA) Triangle Heart: Sazanami Joshi-ryou', '']",Triangle Heart: Sweet Songs Forever,,,,,,,
99,,誘惑,Temptation,['OVA'],2,Finished Airing,"Jul 25, 2003 to Oct 31, 2003",,,['Discovery'],"['Central Park Media', 'Critical Mass Video']",['AT-2'],Visual novel,,,30 min. per ep.,Rx - Hentai,6.41,N/A,#7938,"6,748",28,2508,"Unable to resist his animal urges, a professor is caught red-handed having sex with a busty coed! Now under blackmail, he must help his new partner in crime mentor the hottest females on campus... and capture their erotic training sessions on film!",[],Yuuwaku,,,,['School'],,['Hentai'],
100,Mazinkaiser: OVA 8,マジンカイザー　死闘！暗黒大将軍,Mazinkaiser VS Great General of Darkness,['OVA'],1,Finished Airing,"Jul 25, 2003",,,"['Bee Media', 'Dynamic Planning']",['Discotek Media'],"[""Brain's Base""]",['Manga'],,,56 min.,R - 17+ (violence & profanity),7.09,#3930,#8487,"5,749",12,2928,"They strike without warning and instantly plunge the world into terror. The Great General of Darkness leads the underground Mycenae Empire in a bid to conquer Earth. The Mazinger Army falls before the seven generals under him, each of them leading an army of superior Warrior Beasts. Meanwhile, Archduke Gorgon is relentlessly pursuing Koji Kabuto, trying to eliminate him before he can reach Mazinkaiser. But a red light in the sky over Mt. Fuji portends the greatest battle in history! (Source: Discotek)","['Prequel (OVA) Mazinkaiser', '']",Mazinkaiser: Shitou! Ankoku Dai Shougun,,,,['Mecha'],Mazinkaiser ¡Combate a Muerte contra el General Negro!,['Action'],
101,"True Love Story Summer Days, and yet...","True Love Story Summer Days, and yet...","True Love Story Summer Days, and yet...",['OVA'],3,Finished Airing,"Sep 26, 2003 to Apr 23, 2004",,,['KSS'],"None found,","['Picture Magic', 'A-Line']",Visual novel,,,25 min. per ep.,PG-13 - Teens 13 or older,5.91,#10409,#8607,"5,542",4,2002,"When Morisaki Yuuta ran into a girl in the school hallway that day, he had no idea his life would change forever. As a member of the photography club and a fledgling to the world of women, Yuuta's life has been turned upside down by the entrance of not one, but several women into his life! From old friends to new acquaintances, it will be tough figuring out who to choose! It is based on the latest installment of the True Love Story series of dating sims.",[],True Love Story,,,,,,['Romance'],
102,,HEARTWORK Symphony of Destruction,Heartwork: Love Guns,['OVA'],3,Finished Airing,"Aug 28, 2003 to May 21, 2004",,,['Active'],['Media Blasters'],['Kyushu Network Animation'],Visual novel,"['Action', 'Hentai']",,30 min. per ep.,Rx - Hentai,6.21,N/A,#8920,"5,035",15,1706,"The fiendish gun to which that makes the person deviate whom it has, continues to inhale no human thing blood. A certain day, Asakura superior obtains that gun accidentally. In the bag where the gun has entered the mass cash and video of request for the assassination by the person of puzzle... the owner of the original bag was the hit man who is called the hunter. It faces to the actual place of assassination, as a hunter uniting with the woman angel of puzzle superior, there, he means to assassinate the target. As for superior, selecting one some kind of destiny? And, as for this dangerous game expecting first death, or... (Source: AniDB)",[],Heartwork: Symphony of Destruction,,,,,,,
103,,凌辱の連鎖,Chains of Lust,['OVA'],2,Finished Airing,"Sep 12, 2003 to Jan 9, 2004",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.96,N/A,#9208,"4,585",11,1605,"Blackmail, lust, and unspeakable acts are performed in a secret room when two adult video store workers create their own erotic film with a cast of unwilling women. Soon the police start sniffing around the scene, but not to stop the illicit movie magic, they want a piece of the action. (Source: ANN)",[],Ryoujoku no Rensa,,,,,,['Hentai'],
104,"Elfeana, Elfina: Servant Princess",エルフィーナ～淫夜へと売られた王国で…～THE ANIMATION,,['OVA'],3,Finished Airing,"Aug 22, 2003 to Jan 23, 2004",,,['Pink Pineapple'],['Media Blasters'],['Himajin Planning'],Visual novel,"['Fantasy', 'Hentai']",,29 min. per ep.,Rx - Hentai,5.97,N/A,#9276,"4,479",5,1565,Elfina lived a life of luxury as a member of the royal family. She was waited on hand and foot and had a team of servants. That was until her country was invaded! Now Elfina must comply to the sexual demands of her new masters and it doesn't matter how humiliating or intimate the favors! (Source: AniDB),"['Adaptation (Light Novel) Elfina: Yoru e to Urareta Oukoku de... Inyoru no Oukyuu-hen', 'Adaptation (Light Novel) Elfina: Yoru e to Urareta Oukoku de... Houshi Kokka-hen']",Elfina: Yoru e to Urareta Oukoku de... The Animation,,,,,,,
105,,女教師・裕美の放課後,Hot for Teacher,['OVA'],2,Finished Airing,"Aug 8, 2003 to Nov 14, 2003",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.78,N/A,#9299,"4,432",9,1390,"Yumi is a busty, dark haired beauty who knows how to give her students what they want. But unfortunately, she's never been good at getting what she wants and lately everything seems to be going wrong. First she has a nasty break-up with her fiance, and then she's sexually harassed by the Vice-Principal. One thing leads to another... and before she knows it, the VP and some very horny students trap her into a hot and heavy orgy. After ravishing her over and over again, they make her swear to become their secret sex slave. Now, Yumi's only hope is the reluctant Katsutoshi and his perky girlfriend Keiko. But even with their help, it'll be hard for Yumi to escape her bonds of sexual slavery, since everyone seems to be hot for teacher... (Source: AniDB)",[],Onna Kyoushi Yumi no Houkago,,,,,,['Hentai'],
106,Houkago Renai Club,放課後マニア倶楽部 -濃いの欲しいの-,After School Mania Club,['OVA'],2,Finished Airing,"Jul 25, 2003 to Dec 19, 2003",,,['Pink Pineapple'],"None found,",['Himajin Planning'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.21,N/A,#9460,"4,208",3,1353,"Why join a boring club like the literature or baseball club when you can be part of ""After school Mania club"", its a club that encourages conversation between its members to get to know each other better and ultimately have a date. After their usual meeting on a cafeteria the members can go shopping, find a girlfriend or boyfriend or why not, discover each other sexual preferences. Based on a game of the same name by Libido.",[],Houkago Mania Club: Koi no Hoshii no,,,,,El Club de las Pervertidas,['Hentai'],
107,,大悪司,,['OVA'],2,Finished Airing,"Aug 28, 2003 to May 27, 2005",,,['Green Bunny'],"None found,",['Shinkuukan'],Visual novel,,,22 min. per ep.,Rx - Hentai,6.54,N/A,#9648,"3,969",3,1704,Specials of the Daiakuji: The Xena Buster series.,[],Daiakuji: The Xena Buster Specials,,,,,,['Hentai'],
108,Submarine 707 Revolution,サブマリン707R,Submarine 707R,['OVA'],2,Finished Airing,"Sep 26, 2003 to Apr 28, 2004",,,"['Aniplex', 'Sony Music Entertainment']",['Geneon Entertainment USA'],['Group TAC'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,50 min. per ep.,PG-13 - Teens 13 or older,6.21,#8796,#10114,"3,425",3,1399,"In order to keep ocean peace, PKN was organized. It consisted of the state-of-the-art battle ships of various countries. However, they were raided during the foundation ceremony by the unidentified organization, USR, which plotted to conquer the world. They couldn’t be much for the submarine UX which was operated by Admiral Red of USR. But an old Japanese submarine, the 707 saved them, which was operated Captain Hayami at the risk of his life. One year later, succeeding to the 707, which had been ruined during the former fight, newly developed submarine, the 707 II, went for a sail. Among the crews, there were boys, such as Kenji, Goro, and Senta, who had been trainees. PKN formed a fleet led by the Great Guardian, which was the latest battle ship of the United States. However, the attacks of Submarine U were very server, and the fleet was defeated. Then, the 707 arrived. As soon as Red noticed the 707, he was glad to reunion with his rival and began to fight. Escaping from the submarine attack, they hid the 707 in the valley. But Red tried to destroy the valley in order to put the 707 into the torrents of mud. The 707 nearly escaped from it and got in the crater. However it was the pure water layer where the submarine couldn’t float up. At the moment, numerous torpedoes launched to the 707. (Source: AnimeNfo)","['Sequel (OVA) Shinkai no Kantai: Submarine 707', 'Adaptation (Manga) Submarine 707']",Submarine 707R,,,,['Military'],,,
109,Woman Wolf Mania,女狼狂濡,Legend of the Wolf Woman,['OVA'],2,Finished Airing,"Aug 27, 2003 to Nov 21, 2003",,,['CherryLips'],"None found,",['Studio Kyuuma'],Original,"['Horror', 'Sci-Fi', 'Supernatural', 'Hentai']",,26 min. per ep.,Rx - Hentai,5.62,N/A,#10212,"3,324",4,1109,"After a strange hostage-taking case, SWAT officer Linda and her friend Mary, who works at the CSI division, discover that the perpetrator has contracted a mutated rabies virus from the hostage's dog, which is now on the loose. Soon, the city is flooded with people turned to freaks by the decease, and to their horror, Linda and Mary's mutual friend Kata, a stripper at the local night club, appears to have been bitten by the stray dog, too... (Source: ANN)",[],Megami Kyouju,,,,['Military'],,,
110,,メイド イン ドリーム,Maids in Dream,['OVA'],2,Finished Airing,"Jul 25, 2003 to Dec 25, 2003",,,['Lemon Heart'],"None found,",['J.K.I'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.68,N/A,#11045,"2,593",2,925,"A young man wakes up in an unfamiliar room. He has no memory about anything and can't even remember his own name. When he first wakes up there are six maids waiting and worrying about him because he is their new master. One of them tells him his name is Akio. He then learns that he is in a special mansion and will be able to leave only after he manages to resolve his personal issues. The maids are supposed to help him do so, however with no memory he has no idea what personal ""issues"" he needs to resolve. (Source: AniDB)",[],Maids in Dream,,,,,,['Hentai'],
111,,陰陽師 ～妖艶絵巻～,,['OVA'],2,Finished Airing,"Sep 25, 2003 to Dec 25, 2003",,,"['Milky Animation Label', 'MS Pictures']","None found,",['T-Rex'],Original,"['Supernatural', 'Hentai']",,30 min. per ep.,Rx - Hentai,5.61,N/A,#11039,"2,595",2,767,Some people investigate a series of mysterious murders and end up finding out that demons are behind all the killings.,"['Sequel (OVA) Onmyouji Ayakashi no Megami: Inran Jubaku', '']",Onmyouji: Youen Emaki,,,,['Mythology'],,,
112,Dollhouse,人形の館,,['OVA'],2,Finished Airing,"Jul 25, 2003 to Nov 25, 2003",,,['MS Pictures'],['Kitty Media'],['AIC'],Visual novel,,,26 min. per ep.,Rx - Hentai,5.49,N/A,#11252,"2,443",1,747,"So was working at the house of a millionaire, Katsuragi during the summer break. Though the house located deep in mountains far from the town, he enjoyed the days with a beautiful lady, her daughter, and charming maids. One day, he found a mysterious dollhouse in the attic. Inside it, there were dolls that looked like people in the house. He found that the doll had a magical power to manipulate the person at his will, and he made the women his sexual slaves one after another not knowing it is the way to lead to the ruin. (Source: AnimeNfo)",[],Ningyou no Yakata,,,,,,['Hentai'],
113,Wind of Ebenbourg,エーベンブルグの風,,['OVA'],2,Finished Airing,"Jul 25, 2003 to Sep 26, 2003",,,['Amumo'],['NuTech Digital'],['Arms'],Visual novel,,,28 min. per ep.,Rx - Hentai,5.56,N/A,#11735,"2,116",2,685,"Claude was a poor scholar living in England, but is called back to become the Lord of Ronsard by a counselor known as Sophie. Claude's life begins anew with the fate of the city in his hands. But the exiled former lord Eric wants his power back and plans to assassinate Claude. At his new home, Claude meets the lovely maid of the mansion, Mylene. (Source: ANN)",[],Ebenbourg no Kaze,,,,,,['Hentai'],
114,Masaru 2,Masaru あしたの雪之丞2,,['OVA'],2,Finished Airing,"Jul 25, 2003 to Sep 24, 2003",,,['Pink Pineapple'],"None found,",['Triple X'],Visual novel,,,26 min. per ep.,Rx - Hentai,5.46,N/A,#12214,"1,817",1,533,"Kubo Masaru was seriously injured and became unconscious while he was practicing boxing. Fortunately, he recovered from the injury, but he couldn’t continue boxing anymore. When he visited sanatorium, he met his classmate, Ohse Yumiko.","['Prequel (OVA) Ashita no Yukinojou', '']",Masaru Ashita no Yukinojou 2,,,,,,['Hentai'],
115,,水晶の夜 ~蒼い告白より~,,['OVA'],1,Finished Airing,"Sep 12, 2003",,,"None found,","None found,",['Studio OX'],Original,,,26 min.,Rx - Hentai,5.09,N/A,#13973,"1,084",2,269,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Suishou no Yoru: Aoi Kokuhaku yori,,,,,,['Hentai'],
