,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,French,Demographics
144,スターズこれくしょん！,Stars*Collection,['ONA'],61,Finished Airing,"Jan 28, 2022 to Mar 24, 2023",,,"None found,","None found,",['Hololive Production'],Other,,,,2 min. per ep.,PG-13 - Teens 13 or older,6.63,#6351,#12801,"1,492",17,515,A series of shorts following the eccentric and hilarious daily lives of the Holostars VTubers!,[],Stars*Collection!,StarColle,,['Comedy'],,,,
145,龙蛇演义,Dragon's Disciple,['ONA'],16,Finished Airing,"Jan 28, 2022 to Apr 29, 2022",,,"['bilibili', 'Wonder Cat Animation']","None found,",['Xuni Ying Ye'],Web novel,,['Martial Arts'],,19 min. per ep.,PG-13 - Teens 13 or older,7.14,#3696,#12942,"1,425",11,393,"Under the guidance of Tang Zichen, a master of martial arts, Wang Chao, a frail young man with a strong sense of justice, embarks on the road of traditional martial arts and goes all the way to surpass himself. He experienced the spirit of martial arts practitioners who use martial arts to stop stances and convince people with morality, and also carry forward traditional martial arts and promote righteousness. (Source: bilibili)",[],Long She Yanyi,,,['Action'],,,,
146,ギリギリわるくないわため,Watame Did Borderline Nothing Wrong,['ONA'],Unknown,Currently Airing,"Jan 7, 2022 to ?",,,"None found,","None found,",['Hololive Production'],Original,,,,20 sec.,PG-13 - Teens 13 or older,6.87,#4977,#12935,"1,427",4,496,A series of comedic YouTube shorts with Tsunomaki Watame.,[],Girigiri Warukunai Watame,Giri-giri Warukunai Watame,,['Comedy'],,,,
147,ザ・キング・オブ・ファイターズ XV,,['ONA'],1,Finished Airing,"Feb 9, 2022",,,"None found,","None found,",['Studio G-1Neo'],Game,,,,1 min.,PG-13 - Teens 13 or older,6.57,#6682,#12949,"1,422",4,510,Animated special produced as a tie-in to The King of Fighters XV game. Directed by Masami Oobari.,[],The King of Fighters XV,KOF XV,"['Martial Arts', 'Super Power']",['Action'],,,,
148,千从狩,The Indomitable,['ONA'],16,Finished Airing,"Jan 20, 2022 to Apr 28, 2022",,,"['bilibili', 'BeDream']","None found,","None found,",Original,"['Action', 'Fantasy', 'Sci-Fi']",,,19 min. per ep.,PG-13 - Teens 13 or older,6.56,#6744,#12991,"1,404",4,235,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Qian Cong Shou,,,,,,,
149,ヒロインたるもの！〜嫌われヒロインと内緒のお仕事〜 ミニアニメ,Heroines Run the Show: The Unpopular Girl and the Secret Task Mini Anime,['ONA'],6,Finished Airing,"Mar 22, 2022 to Mar 27, 2022",,,"None found,","None found,",['Lay-duce'],Music,,,,1 min. per ep.,PG-13 - Teens 13 or older,5.75,#11157,#13581,"1,199",2,302,Mini anime for Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto released on the official Twitter.,[],Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto Mini Anime,,"['Idols (Male)', 'School']",,,,,
150,キラキラきらり☆,,['ONA'],1,Finished Airing,"Mar 30, 2022",,,"None found,","None found,",['Lesprit'],Original,,,,10 min.,G - All Ages,6.45,#7397,#13693,"1,162",2,575,"A mysterious girl suddenly appears before Kirari, a timid grade school girl who rather doing nothing but draw. The mysterious girl drags Kirari into the outside world, and they draw various things for the first time together. (Source: ANN)",[],Kirakira Kirari,,,['Fantasy'],,,,
151,「ラブライブ！虹ヶ咲学園スクールアイドル同好会」TVアニメ1期ダイジェスト,,['ONA'],1,Finished Airing,"Mar 23, 2022",,,"None found,","None found,",['Sunrise'],Other,,,,51 min.,PG-13 - Teens 13 or older,6.25,#8547,#13950,"1,082",0,304,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Love Live! Nijigasaki Gakuen School Idol Doukoukai Recap,Love Live! Nijigasaki Gakuen School Idol Doukoukai 1-ki Digest,"['Idols (Female)', 'Music', 'School']",,,,,
152,少年歌行 风花雪月篇,,['ONA'],16,Finished Airing,"Jan 26, 2022 to May 4, 2022",,,"['bilibili', 'Youku']","None found,",['CG Year'],Novel,"['Action', 'Adventure', 'Mystery']",,,18 min. per ep.,PG-13 - Teens 13 or older,7.35,#2597,#14095,"1,044",8,356,Part two of the second season of Shaonian Ge Xing.,"['Prequel (ONA) Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1', 'Sequel (ONA) Shaonian Ge Xing: Feng Hua Xue Yue Pian Special']",Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 2,"Shaonian Ge Xing 2nd Season Part 2, Great Journey of Teenagers 2nd Season Part 2","['Historical', 'Martial Arts']",,,,,
153,兵主奇魂,The Soul of Soldier Master,['ONA'],12,Finished Airing,"Jan 4, 2022 to Mar 15, 2022",,,"None found,",['bilibili'],['HuaDream'],Original,"['Action', 'Adventure', 'Fantasy']",['Mythology'],,20 min. per ep.,PG-13 - Teens 13 or older,6.13,#9241,#14259,999,3,277,"When Li Shi was born, a vision descended from the sky and became the host of the remnant soul of the soldier, and was hunted down by the sects of the world. Li Shi's parents lured the enemy away for Li Shi's safety, while Yuan Chenyang took Li Shi to escape and hide, and finally settled in Linhai City, hiding as a fisherman. In order to find his parents, Li Shi decided to enter the sect through the five-year selection of Linhai City, and Bai Xiang, the master of the formation of the Yaozu's gate, simulated the magical powers of the soldier master on the basis of the formation of the ancestors, and developed a method that can absorb The evil formation of the spirits and spirits wants to turn the mountains and seas into the blood of the monsters, and Ying Gou helps them try the formation. A conspiracy is shrouded in the sky of Linhai City, ready to go. (Source: bilibili)","['Sequel (ONA) Bing Zhu Qi Hun Part 2', '']",Bing Zhu Qi Hun,,,,,,,
154,琉球タイムライン2 -てだこのまち探訪-,Ryukyu Timeline 2: Searching for the City of the Tedako,['ONA'],1,Finished Airing,"Feb 21, 2022",,,"None found,","None found,",['Gyorai Eizo Inc.'],Other,,,,10 min.,G - All Ages,5.57,#11922,#14464,943,2,306,"A historical fantasy that unfolds a mysterious story between a high-school girls – Akari, Sarah and Tsubasa – and Satto, the king of the Ryukyu Kingdom. (Source: AniDB)","['Prequel (ONA) Ryuukyuu Timeline: Mirai Shoujo to Inishie no Ou', '']",Ryuukyuu Timeline 2: Tedako no Machi Tanbou,,"['Historical', 'Time Travel']",['Fantasy'],,,,
155,変わるまち、変われるまち、石巻。feat.ジュン,,['ONA'],1,Finished Airing,"Feb 11, 2022",,,"None found,","None found,",['Robot Communications'],['Manga'],"['Drama', 'Fantasy']",['Psychological'],,9 min.,G - All Ages,6.27,#8454,#14534,925,3,369,"The Ishinomori Manga Museum released an animated short directed by Takuya Inaba based on Shotaro Ishinomori's semi-autobiographical and wordless manga Jun: Shotaro no Fantasy World. The short was inspired by Ishinomori's hometown of Ishinomaki wishing to pay tribute to the work while also paying tribute to the ongoing rebuilding and recovery of Ishinomaki from the Tohoku earthquake and tsunami of March 2011. (Source: Crunchyroll, edited)",[],"Kawaru Machi, Kawareru Machi, Ishinomaki feat. Jun","Jun: Shotaro no Fantasy World, A City That Changes, A City That Can Change, Ishinomaki feat. Jun",,,,,,
156,万域之王,,['ONA'],24,Finished Airing,"Jan 27, 2022 to Jul 7, 2022",,,['iQIYI'],"None found,","['Xing Yi Kai Chen', 'Kuai Ying Hu Yu']",Web novel,"['Action', 'Fantasy']",['Martial Arts'],,12 min. per ep.,PG-13 - Teens 13 or older,6.04,#9724,#14629,902,5,197,"In the ancient times, there were giant spirits that lifted the sky, whose bodies were like stars, soaring across the universe. There are great honors of various races with different blood, destroying the void and re-creating the world, and there are ancient qi refiners who travel far across the galaxy to teach all beings. For some unknown reason, an era came to an end quietly, the world was isolated, and the ancient giants disappeared one by one. After many years, the young Nie Tian returned to the ancient times through a drop of blood.",[],Wan Yu Zhi Wang,"The King of Ten Thousand Domains, The King of All Realms, Lord of All Realms, Wan Yu Zhi Wang, The King of Ten Thousand Domain, King Of All Realms",,,,,,
157,メタモンと！プリンのステージ,Pokémon Kids TV: Jigglypuff's Mini Concert,['ONA'],1,Finished Airing,"Mar 26, 2022",,,['Taiyo Kikaku'],"None found,",['Tecarat'],Original,,,['Kids'],2 min.,G - All Ages,5.73,#11247,#14748,874,1,375,"Jigglypuff is looking for something in the forest but could not find it. Seeing sad Jigglypuff, Ditto decided to transform into something! Let's see what Ditto will transform into! (Source: Pokémon Kids TV)",[],Metamon to! Purin no Stage,Jigglypuff's Mini Concert with Ditto,,['Comedy'],,,,
158,宇宙キャンパー/チッチ,Space Camper Chicchi,['ONA'],1,Finished Airing,"Mar 30, 2022",,,"None found,","None found,",['Production +h.'],Original,,,,9 min.,G - All Ages,5.59,#11838,#14785,863,0,360,"Chicchi, an ordinary office lady who works in Commercial Sector II of the solar system, heads to a space camp for a vacation. However, she crash-lands on a planet that is a ""graveyard"" for scrapped ships. (Source: ANN)",[],Uchuu Camper Chicchi,,,['Sci-Fi'],,,,
159,画江湖之不良人 V,,['ONA'],12,Finished Airing,"Jan 20, 2022 to Mar 31, 2022",,,['Tencent Penguin Pictures'],"None found,",['Rocen'],Original,"['Drama', 'Fantasy', 'Romance']",,,27 min. per ep.,PG-13 - Teens 13 or older,6.93,#4671,#14878,834,3,167,Fifth season of Hua Jianghu: Bu Liang Ren.,"['Prequel (ONA) Hua Jianghu: Bu Liang Ren IV', 'Sequel (ONA) Hua Jianghu: Bu Liang Ren VI']",Hua Jianghu: Bu Liang Ren V,"Painting Rivers and Lakes 5, Hua Jiang Hu: Bu Liang Ren 5th Season","['Historical', 'Martial Arts']",,,,,
160,メタモンと！おやすみモクロー,Pokémon Kids TV: Good Night Rowlet,['ONA'],1,Finished Airing,"Jan 14, 2022",,,['Taiyo Kikaku'],"None found,",['Tecarat'],Game,,,['Kids'],2 min.,PG - Children,5.66,#11575,#14903,830,0,370,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Metamon to! Oyasumi Mokurou,Good Night Rowlet with Ditto,,['Comedy'],,,,
161,スポGOMI ワールドカップエキシビジョンマッチ編,SpoGomi: World Cup Exhibition Match Arc,['ONA'],1,Finished Airing,"Mar 17, 2022",,,['Aoni Production'],"None found,",['AION Studio'],Original,,,,28 min.,G - All Ages,5.46,#12244,#14941,824,2,224,"In the near future, litter-picking has become a competitive sport as popular as soccer. Akari stands out the least in her class, but one day she meets Tokio—a charismatic SpoGomi competitor blessed with an overwhelming amount of talent and popularity. Thus starts a coming-of-age story that involves young people from around the world, united via SpoGomi and the aim to create towns, rivers and oceans free of garbage. (Source: Official Website)","['Sequel (Movie) SpoGomi: Machi no Kizunazukuri-hen', '']",SpoGomi: World Cup Exhibition Match-hen,,,['Sports'],,,,
162,ピカチュウ・ポッチャマとふしぎなねんど,"Pokémon Kids TV: Pikachu, Piplup and the Playful Clay!",['ONA'],1,Finished Airing,"Jan 7, 2022",,,"None found,","None found,","None found,",Game,,,['Kids'],8 min.,PG - Children,5.42,#12374,#14975,817,0,324,Pikachu and Piplup accidentally found mysterious clay. Let's watch the video and see what Pikachu and Piplup will do with it! (Source: Official YouTube Channel),[],"Pikachu, Pochama to Fushigi na Nendo",Pokemon Fun Video,,,,,,
163,ペネトレイト・ブルー -Vapor Trail Another Age 2824-,Penetrate Blue: Vapor Trail Another Age 2824,['ONA'],1,Finished Airing,"Feb 13, 2022",,,"None found,","None found,","None found,",Original,"['Action', 'Girls Love', 'Sci-Fi']",['Mecha'],,24 min.,PG-13 - Teens 13 or older,5.65,#11597,#15080,792,1,150,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Vapor Trail', 'Sequel (Movie) Wasure Hoshi no Volicia']",Penetrate Blue,,,,,,,
164,メタモンと！ウパーとおかたづけ,"Pokémon Kids TV: Wooper, Let's Tidy Up!",['ONA'],1,Finished Airing,"Feb 11, 2022",,,['Taiyo Kikaku'],"None found,",['Tecarat'],Game,,,['Kids'],2 min.,PG - Children,5.68,#11476,#15220,754,1,333,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Metamon to! Wooper to Katazuke,"Wooper, Let's Tidy Up! with Ditto",,['Comedy'],,,,
165,天神,,['ONA'],1,Finished Airing,"Mar 30, 2022",,,"None found,","None found,",['Imagica Digitalscape'],Original,,,,9 min.,G - All Ages,5.80,#10943,#15291,739,0,238,"A young girl named Miru and Ran, a boy who appeared before Miru, embark on an adventure in an alternate world — but something tragic awaits them there... (Source: ANN)",[],Tenjin,,,['Adventure'],,,,
166,枕刀歌之尘世行,,['ONA'],1,Finished Airing,"Feb 1, 2022",,,['Infinity Animations'],"None found,","None found,",Unknown,"['Action', 'Adventure']",['Martial Arts'],,1 hr. 40 min.,PG-13 - Teens 13 or older,6.65,#6175,#15352,723,1,174,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Zhen Dao Ge', 'Sequel (ONA) Zhen Dao Ge 2nd Season']",Zhen Dao Ge: Chenshi Hang,Zhen Dao Ge: Chen Shi Xing,,,,,,
167,晶翠仙尊,The Tale of The Spirit Stone,['ONA'],20,Finished Airing,"Jan 18, 2022 to Mar 19, 2022",,,['Youku'],"None found,",['Suoyi Technology'],Original,"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],,10 min. per ep.,PG-13 - Teens 13 or older,6.10,#9371,#15471,702,1,130,"At the beginning of chaos, the world was divided into three realms: the realm of deities, the realm of men, and the realm of demons. The realm of deities sent a spirit seed down into the world to help the common people. But the spirit seed continuously absorbed the evil of the world and cruelly harmed living things. In the end, Sen Luo, the king of the deities, sacrificed himself and sealed it. However, because of it, the Shangqing Xianmen, where the realm of deities is located, gradually waned and was lost in history. A thousand years later, the ruins of Shangqing Xianmen started to appear in succession. All major sects fought their hardest for possession of the treasures in the ruins. (Source: Narul Donghua)","['Sequel (ONA) Jing Cui Xian Zun Part 2', '']",Jing Cui Xian Zun,,,,,,,
168,傀影与鲤氏侦探事务所,,['ONA'],1,Finished Airing,"Jan 23, 2022",,,"None found,","None found,",['Gravity Well'],Game,"['Comedy', 'Mystery']",,,4 min.,PG-13 - Teens 13 or older,5.67,#11526,#15403,716,0,222,A short film created by the director of Li Shi Zhentan Shiwusuo: A Day in Lungmen for the Arknights 2022 Spring Festival Gala.,[],Guiying Yu Li Shi Zhentan Shiwusuo,Phantom & Lee's Detective Agency,"['Anthropomorphic', 'Detective']",,,,,
169,阴阳师·平安物语 第3季,,['ONA'],12,Finished Airing,"Jan 25, 2022 to Apr 19, 2022",,,"None found,","None found,","None found,",Game,"['Comedy', 'Supernatural']",['Mythology'],,5 min. per ep.,PG-13 - Teens 13 or older,6.11,#9322,#15863,644,2,139,The third season of Onmyouji: Heian Monogatari.,"['Prequel (ONA) Yin Yang Shi: Ping An Wu Yu 2nd Season', '']",Yin Yang Shi: Ping An Wu Yu 3rd Season,Onmyouji: Heian Monogatari 3rd Season,,,,,,
