,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Theme,German,Spanish,Genre,Demographics
237,,神秘世界历险记2,Yugo & Lala 2,['Movie'],1,Finished Airing,"Aug 8, 2014",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Fantasy']",,,1 hr. 15 min.,PG - Children,[],#14135,#20878,236,0,,"Yugo has been repeatedly telling her father a bedtime story that she was the only human visitor to a fantastical kingdom in the clouds where she befriended two animals, Lala and Uncle Bear. The three fought the evil Tiger General, who had risen up against the kingdom's ruler. It was the former ruler's dying wish that Lala would replace him. Missing her friends, Yugo finds her way back to the fantastical kingdom where she finds a disheartened Uncle Bear. He is sad that Lala is leaving him to move into the palace. However, Lala is unsure if she is the right one to rule the kingdom. Meanwhile, a new sinister plot is developing. The kingdom's ancient behemoths have shrunken in size after their annual migration. While investigating, Yugo, Lala, and Uncle Bear are trapped in the underground kingdom of the rats where all the shrunken animals have ended up. With the help of an ingenious mole, they fight the rodent soldiers and escape. Yugo tracks down the very last behemoth in the kingdom and learns that the kingdom's water supply is being deliberately poisoned. When they learn that the only uncontaminated water left in the kingdom is under the control of the militaristic rats, Yugo and her furry friends must save the kingdom again. (Source: Wikipedia, edited)","['Prequel (Movie) Shenmi Shijie Lixian Ji', 'Sequel (Movie) Shenmi Shijie Lixian Ji 3']",Shenmi Shijie Lixian Ji 2,,,,,,
238,,女生徒,School Girl (Movie),['Movie'],1,Finished Airing,"Sep 20, 2014",,,"None found,","None found,","None found,",Book,,,,14 min.,None,[],#19115,#20842,238,0,,"While a narrator reads from Osamu Dazai's ""Schoolgirl"", a day in the life of a young girl in Showa-era Tokyo unfolds featuring various retro items from the era. (Source: IMDB)",[],Joseito (Movie),,,,,['Drama'],
239,,それいけ！アンパンマン たのしくてあそび ママになったコキンちゃん!?,,['Movie'],1,Finished Airing,"Jul 5, 2014",,,"None found,","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],21 min.,PG - Children,[],#14541,#20988,230,1,,"Kokin-chan, Dokin-chan's little sister, is a master of fake tears. One day, she finds an egg that hatches into Tefutefu, a caterpillar who recognizes Kokin-chan as her mother! Sing and dance with Kokin-chan, Anpanman and the rest as their newborn friend grows up!",[],Sore Ike! Anpanman: Tanoshiku Teasobi Mama ni Natta Kokin-chan!?,,,,,,
240,,太陽留住我,Stop Peeping,['Movie'],1,Finished Airing,"Jul 8, 2014",,,"None found,","None found,",['Wong Ping Animation Lab'],Original,,,,3 min.,PG-13 - Teens 13 or older,[],#14694,#22165,168,0,,A story about author and his neighbor in a hot summer. (Source: Vimeo),[],Taiyang Liu Zhu Wo,,,,,['Avant Garde'],
241,"The Magical Brush, Shen Bi Maliang",神笔马良,The Magic Brush,['Movie'],1,Finished Airing,"Jul 25, 2014",,,"None found,","None found,","None found,",Unknown,,,['Kids'],1 hr. 22 min.,G - All Ages,[],#14085,#22626,149,0,,"Ma Liang's brush makes whatever he paints come alive, which makes him the target of a power-hungry general. (Source: IMDb)",[],Shen Bi Ma Liang,,,,,['Fantasy'],
242,Seer Movie 4: Trinity War,赛尔号大电影4：圣魔之战,,['Movie'],1,Finished Airing,"Jul 10, 2014",,,"None found,","None found,","None found,",Game,,,['Kids'],1 hr. 37 min.,PG - Children,[],#21487,#23020,136,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Sai Er Hao Movie 3: Zhanshen Lianmeng', 'Sequel (Movie) Sai Er Hao Movie 5: Leishen Jue Qi']",Sai Er Hao Movie 4: Sheng Mo Zhi Zhan,,,,,,
243,,白雪公主之矮人力量,Snow White The Power of Dwarfs,['Movie'],1,Finished Airing,"Aug 21, 2014",,,"None found,","None found,","None found,",Book,,,,1 hr. 24 min.,G - All Ages,[],#16771,#24077,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Baixue Gongzhu: Airen Liliang,,,,,['Fantasy'],
244,,新大头儿子和小头爸爸之秘密计划,New Happy Dad and Son: Secret Plans,['Movie'],1,Finished Airing,"Sep 26, 2014",,,"None found,","None found,","None found,",Unknown,"['Adventure', 'Comedy']",,['Kids'],1 hr. 19 min.,G - All Ages,[],#15742,#24016,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xin Datou Er Zi He Xiao Tou Baba: Mimi Jihua,,,,,,
245,,开心超人2：启源星之战,Happy Heroes 2: Qiyuan Planet Wars,['Movie'],1,Finished Airing,"Jul 18, 2014",,,"None found,","None found,","None found,",Original,,,['Kids'],1 hr. 25 min.,PG - Children,[],#19220,#24490,102,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Kaixin Chaoren', 'Sequel (Movie) Kaixin Chaoren: Yingxiong de Xin']",Kaixin Chaoren 2: Qi Yuan Xing Zhi Zhan,,,,,,
246,,龟兔再跑,Tale of the Rally,['Movie'],1,Finished Airing,"Sep 6, 2014",,,"None found,","None found,","None found,",Book,,,['Kids'],1 hr. 22 min.,PG - Children,[],#18291,#24777,98,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Gui Tu Zai Pao,,,,,['Fantasy'],
247,Food War,摩登森林之美食总动员,,['Movie'],1,Finished Airing,"Sep 5, 2014",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],1 hr. 29 min.,PG - Children,[],#20355,#24614,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Modeng Senlin: Meishi Zongdongyuan,,['Anthropomorphic'],,,,
248,The Predictor Paul,章鱼哥,,['Movie'],1,Finished Airing,"Jul 4, 2014",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],1 hr. 27 min.,G - All Ages,[],#16252,#24854,97,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Zhangyu Ge,,['Anthropomorphic'],,,,
249,,洛克王国3：圣龙的守护,Roco Kingdom 3,['Movie'],1,Finished Airing,"Jul 10, 2014",,,"None found,","None found,","None found,",Game,"['Adventure', 'Fantasy']",,['Kids'],1 hr. 29 min.,PG - Children,[],#21396,#25272,91,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Roco Wangguo 2: Sheng Long De Xinyuan', 'Sequel (Movie) Roco Wangguo 4: Chufa! Juren Gu']",Roco Wangguo 3: Sheng Long De Shouhu,,,,,,
250,Doraemon & Chinpui: Eri-sama's Gift of Love Mission,ドラえもん&チンプイ「エリ様 愛のプレゼント大作戦」,,['Movie'],1,Finished Airing,"Sep 3, 2014",,,"None found,","None found,","None found,",['Manga'],,,['Kids'],Unknown,PG - Children,[],#17718,#25629,86,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Doraemon & Chinpui: Eri-sama Ai no Present Daisakusen,,,,,['Sci-Fi'],
251,,뽀로로의 신나는 우주여행,Pororo's Exciting Space Adventure,['Movie'],1,Finished Airing,"Sep 24, 2014",,,"None found,","None found,","None found,",Original,"['Adventure', 'Sci-Fi']","['Anthropomorphic', 'Space']",['Kids'],12 min.,G - All Ages,[],#21124,#27175,69,0,,"Pororo the Little Penguin and his friends are off to an adventure where they can go to the space! But, curious Crong follows to find his watch and loses his friends. Crong meets the aliens that help him to get back to his friends. Will all of Pororo and his friends come back to their Porong Porong Island safely? What will happen on their adventure in the space? Light up and Go Spaceship! (Source: Amazon Prime)",[],Pororo Sinnaneun Ujuyeohaeng,,,,,,
252,Monogatari Series: Second Season +α,花物語,Hanamonogatari,['TV Special'],5,Finished Airing,"Aug 16, 2014",,,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],['Light novel'],"['Comedy', 'Mystery', 'Supernatural']",,,25 min. per ep.,R - 17+ (violence & profanity),7.92,#781,#556,"440,283","1,095",248231,"Now that Koyomi Araragi and Hitagi Senjougahara have graduated, very few familiar faces remain at Naoetsu Private High School. One of these is Suruga Kanbaru, holder of the Monkey's Paw. When she begins to hear talk of a mysterious being known as the ""Devil"" who will magically solve any problem, Kanbaru immediately thinks these rumors are about her and decides to investigate. She discovers the Devil is actually Rouka Numachi, a former basketball rival from junior high who is no longer able to play due to a leg injury. Rouka provides free advice to those who seek her out. Acting as a collector of misfortune, she enjoys relieving the stress of her clients by providing them with the false hope of having their problems solved. Although Kanbaru sees no real harm being done, she reprimands Rouka for lying and heads home, relieved she is not the cause of the rumors. But she may have a reason to worry after all: she finds that her left hand has reverted back to its human form. [Written by MAL Rewrite]","['Prequel (TV) Monogatari Series: Second Season', 'Sequel (TV Special) Tsukimonogatari', 'Adaptation (Light Novel) Monogatari Series: Second Season', '']",Hanamonogatari,,,,,,
253,"Kill la Kill Tokubetsu-hen, Sayonara wo Mou Ichido, Kill la Kill Digest: Naked Memories, KILL la KILL Digest –Naked Memories by Aikuro Mikisugi–",キルラキル 特別編,Kill la Kill Specials,['Special'],2,Finished Airing,"Sep 3, 2014",,,"['Aniplex', 'Kadokawa Shoten']",['Aniplex of America'],['Trigger'],Original,"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['School', 'Urban Fantasy']",,18 min. per ep.,R - 17+ (violence & profanity),7.68,#1345,#1248,"206,034",302,116344,"Peace has returned to Honnouji Academy at last, and now that it has served its original purpose, the unique high school is set to be shut down within a month. However, there is still one final event that must take place: the graduation ceremony. As each member of the student council prepares to leave their past selves behind to focus on what they would like to do in the future, Satsuki Kiryuuin struggles to find her own path, having lost her resolve after finally achieving victory. But just before she is to give her speech to the student body, the ceremony is disrupted by mysterious beings that are identical to the student council members. As Ryuuko Matoi and the Elite Four prepare for battle once more, they quickly discover that the one pulling the strings is an old enemy who has returned to take revenge. [Written by MAL Rewrite]",[],Kill la Kill Specials,,,,,,
254,NGNL Specials,ノーゲーム・ノーライフ ミニ,"No Game, No Life Specials",['Special'],6,Finished Airing,"Jun 25, 2014 to Nov 26, 2014",,,['Media Factory'],['Sentai Filmworks'],['Madhouse'],['Light novel'],"['Comedy', 'Fantasy', 'Ecchi']",,,2 min. per ep.,PG-13 - Teens 13 or older,6.77,#5515,#1343,"190,372",229,93452,Picture drama specials included on the Blu-ray/DVD volumes.,[],No Game No Life Specials,No Game No Life Petit OAVs,['Isekai'],,No Game No Life Mini OVAs,,
255,,月刊少女野崎くん ミニOVA,Monthly Girls' Nozaki-kun Specials,['Special'],6,Finished Airing,"Sep 24, 2014 to Feb 25, 2015",,,['Media Factory'],['Sentai Filmworks'],['Doga Kobo'],['4-koma manga'],"['Comedy', 'Romance']",,,3 min. per ep.,PG-13 - Teens 13 or older,7.70,#1292,#1717,"141,638",109,75766,Specials bundled with the Blu-ray/DVDs.,"['Adaptation (Manga) Gekkan Shoujo Nozaki-kun', '']",Gekkan Shoujo Nozaki-kun Specials,,['School'],,,,
256,"Chuunibyou demo Koi ga Shitai! Ren: Saisei no... Jaou Shingan Mokushiroku, Love, Chunibyo & Other Delusions: Heart Throb - The Rikka Wars",中二病でも恋がしたい！戀 再生の･･･邪王真眼黙示録（The Rikka Wars）,"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars",['Special'],1,Finished Airing,"Sep 17, 2014",,,['Lantis'],['Sentai Filmworks'],['Kyoto Animation'],['Light novel'],"['Comedy', 'Drama', 'Romance']",,,23 min.,PG-13 - Teens 13 or older,7.45,#2172,#1724,"141,015",120,74272,"One normal school day, Rikka Takanashi notices Makoto Isshiki secretly passing a flash drive to Yuuta Togashi. Curious, Rikka talks to her friends about the case, who agree that Yuuta is hiding something from her. They decide to discover the contents of the flash drive by any means necessary, but to their surprise, it merely contained pictures of an idol that Yuuta adored back in middle school. However, Rikka takes offense, as she claims that this breaks their contract as lovers and demands Yuuta to return the flash drive. Although having seen Yuuta return the flash drive, she still felt uncertain about the situation. This leads to her sneaking into Yuuta's room during the night, only to find out that the flash drive had not been returned! Scanning through its contents, she hurriedly rushes to bed when Yuuta enters her room. To her terror, she finds the flash drive crushed due to her negligence in keeping it in a safe place. Yuuta quickly finds out and demands an apology. However, Rikka too, demands an apology from him, resulting in both of them refusing to be the one to apologize first. Will the two lovebirds be able to resolve their argument? [Written by MAL Rewrite]","['Prequel (TV) Chuunibyou demo Koi ga Shitai! Ren', '']",Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,,['School'],,,,
257,Beyond the Horizon: Daybreak,境界の彼方  ＃0「東雲」,Beyond the Boundary: Daybreak,['Special'],1,Finished Airing,"Jul 2, 2014",,,"None found,",['Sentai Filmworks'],['Kyoto Animation'],['Light novel'],"['Action', 'Supernatural']",,,23 min.,PG-13 - Teens 13 or older,7.62,#1506,#1783,"135,032",78,66011,"Taking place three years before the TV series, episode zero follows Hiroomi Nase's mission to subdue the infamous half-human, half-youmu Akihito Kanbara. Curious about the mission, Hiroomi's little sister, Mitsuki, tags along with him, and the siblings meet Akihito for the first time. However, they soon discover that they aren't the only ones seeking out Akihito, and thus begins the story of Kyoukai no Kanata. [Written by MAL Rewrite]","['Sequel (TV) Kyoukai no Kanata', 'Adaptation (Light Novel) Kyoukai no Kanata']",Kyoukai no Kanata: Shinonome,Beyond the Boundary: Daybreak,,,,,
258,"Mushishi Zoku Shou Special, Mushi-shi Zoku Shou: Odoro no Michi, Mushishi Zoku Shou Episode 11 and 12, Mushishi Next Passage: Path of Thorns",蟲師 続章,Mushi-shi Path of Thorns,['TV Special'],1,Finished Airing,"Aug 20, 2014",,,"['Aniplex', 'Kodansha', 'Delfi Sound']",['Aniplex of America'],['Artland'],['Manga'],"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",['Seinen'],47 min.,PG-13 - Teens 13 or older,8.42,#184,#2142,"105,397",125,51769,"Mysterious, unknowable creatures alien to the laws of nature—known only to some and feared by others—""Mushi"" lie behind many of life's strange phenomena. Long ago, a Mushi of terrifying power threatened to extinguish all life. The Minai clan of Mushishi were born from those who stopped this malevolent force, their members bound by duty to serve as retainers to the Karibusa family, within whom the Mushi remains sealed. The Mushishi Ginko is given a job request from Tanyuu Karibusa: oversee the work of the head of the Minai clan, Kumado Minai, in investigating an abandoned village where dead wood and even houses spring back to life as flourishing plants. Though the Minai clan are oddly ruthless among Mushishi, even more peculiar is their widespread dull character, with little appreciation for beauty or sentiment. Tanyuu believes there is more to this trend than meets the eye. Ginko aims to answer her curiosity as he follows Kumado into a ""Path of Thorns,"" a place where Mushi flow from their own strange sources into the world of the living. Rare and deadly varieties of Mushi lurk in these depths, along with the secret nature of the Minai clan's resolve to their ancient task. [Written by MAL Rewrite]","['Prequel (TV) Mushishi Zoku Shou', 'Sequel (TV) Mushishi Zoku Shou 2nd Season', 'Adaptation (Manga) Mushishi', '']",Mushishi Zoku Shou: Odoro no Michi,,,,,,
