,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genre,Themes,Demographic,Spanish,Demographics
152,Detective Conan Magic File 6: Fantasista Flower,名探偵コナン BONUS FILE ファンタジスタの花,Detective Conan Bonus File: Fantasista Flower,['OVA'],1,Finished Airing,"Apr 14, 2012",,,"['Shogakukan-Shueisha Productions', 'Tokyo Movie Shinsha', 'TOHO']","None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Mystery', 'Sports']",,25 min.,G - All Ages,7.36,#2516,#6765,"9,974",11,4172,"""Fantasista Flower"" is a side-story OVA related to The Eleventh Striker. (Source: Detective Conan World)",[],Meitantei Conan Bonus File: Fantasista no Hana,,,,"['Detective', 'Team Sports']",['Shounen'],,
153,"Flower declaration of your heart: Kamogawa Days, Lag-Rin: Kamogawa Days",輪廻のラグランジェ 鴨川デイズ,Lagrange: The Flower of Rin-ne – Kamogawa Days,['OVA'],1,Finished Airing,"Jun 23, 2012",,,"['Production I.G', 'Bandai Visual', 'Yomiuri Telecasting', 'flying DOG']",['VIZ Media'],['Xebec'],Original,"['Comedy', 'Sci-Fi', 'Slice of Life']",['School'],43 min.,PG-13 - Teens 13 or older,6.75,#5615,#6777,"9,952",4,3688,"As Yoko has her assistant scour the seabed in search of something, Madoka, unable to pilot Midori properly again, returns to Kamogawa to see the New Year in. Upon returning home, Madoka receives New Year's letters from Lan and Muginami, updating her about what's going on in their lives, to which Madoka makes a prompt reply. As the months pass by and Madoka moves up a year in school, Lan and Muginami visit an intergalactic replica of Kamogawa on the tourist planet Polyhedron. Takes place between seasons 1 and 2. (Source: Wikipedia)","['Prequel (TV) Rinne no Lagrange', 'Sequel (TV) Rinne no Lagrange Season 2', 'Adaptation (Light Novel) Rinne no Lagrange', '']",Rinne no Lagrange: Kamogawa Days,,,,,,,
154,Princess Limited,姫様限定!,,['OVA'],2,Finished Airing,"May 25, 2012 to Oct 26, 2012",,,"None found,","None found,",['PoRO'],Visual novel,,,29 min. per ep.,Rx - Hentai,6.79,N/A,#6841,"9,754",23,3618,"This is the first title by Princess Sugar. Celina is the princess of the prosperous western European country of Mellberg and came to Japan to study at a normal school while concealing her true identity. Since she is a distant relative to Yuu, she ends up living in his house. One day, the princess of the resource-rich country of Marualand, Olivia, was exiled to Japan in a coup d’état. Quickly gaining notice around the town, she was treated like a honored guest. However, Yuu disapproved of her snobby attitude since he had grown accustomed to being around princess Celina. Then, Celina told Olivia not to be near him as he is her most precious person. Not backing down from the challenge, she states that she will make him hers. (Source: VNDB)",[],Himesama Gentei!,,,['Hentai'],,,,
155,,クリムゾンガールズ～痴漢支配～,,['OVA'],3,Finished Airing,"May 25, 2012 to Sep 20, 2015",,,"None found,","None found,","['Studio Eromatick', 'Rabbit Gate']",['Manga'],,,19 min. per ep.,Rx - Hentai,6.40,N/A,#6930,"9,429",26,3761,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Crimson Girls: Chikan Shihai,,,['Hentai'],,,,
156,,Dark Blue,,['OVA'],2,Finished Airing,"Apr 27, 2012 to Mar 29, 2013",,,"None found,","None found,",['PoRO'],Visual novel,,,29 min. per ep.,Rx - Hentai,5.85,N/A,#6976,"9,284",17,3563,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Dark Blue,,,['Hentai'],,,,
157,,ネトラレヅマ,Affair of Housewife Reiko,['OVA'],1,Finished Airing,"Apr 17, 2012",,,['MS Pictures'],"None found,",['T-Rex'],['Manga'],,,17 min.,Rx - Hentai,6.29,N/A,#7244,"8,477",28,3513,Reiko is sexually frustrated because her husband is obsessed with an idol that looks like her and only says the idols name during sex. Reiko tells Hiroaki's friend Taniguchi about this and offers to become sex friends to release all her pent up frustrations.,"['Adaptation (Manga) Netorare Zuma', '']",Netorare Zuma,,,['Hentai'],,,,
158,Mahou Shoujo Erena,魔法少女えれな,Magical Girl Elena,['OVA'],3,Finished Airing,"Jul 8, 2011 to Feb 22, 2013",,,"['Valkyria', 'Anime Antenna Iinkai']","None found,","['Studio Fantasia', 'Rabbit Gate']",Visual novel,"['Supernatural', 'Hentai']",,27 min. per ep.,Rx - Hentai,6.42,N/A,#7359,"8,118",53,3005,"With the help from a mysterious creature, Elena turns herself into a magical girl in order to beat Zoid, a tentacle monster, and save her sister, Emile. Since then, to protect her sister and to keep peace on Earth, Elena fights against ugly creatures as a magical girl; however, what awaits her is a harsh destiny: immoral days of naughty humiliations, and her battle eventually involves her sister and her dead mother. Can Elena exterminate the tentacle monster, or will she be driven crazy, losing all sense of reasoning to the ecstasy? (Source: DLsite, edited)",[],Mahou Shoujo Elena,,,,,,,
159,,あいまい! 萌えCanちぇんじ!,,['OVA'],1,Finished Airing,"May 25, 2012",,,"None found,","None found,",['Frontier Works'],Game,"['Comedy', 'Sci-Fi']",,24 min.,PG-13 - Teens 13 or older,5.46,#12220,#7556,"7,551",9,3742,"The OVA adaptation Moe Can Change! is created by Frontier Works, based on a free-to-play game developed by Ambition for mobile phones. The original ""playful bishoujo Miroid-raising / clothes-changing moe game"" has the player joining a beta test program for androids, who the player must raise and dress up as girls. (Source: Animekon)",[],Ai Mai! Moe Can Change!,,,,,,,
160,"Mahoutsukai nara Miso wo Kue!, Eat miso if you are sorcerer!, If You're a Wizard, Eat Miso!",魔法使いなら味噌を喰え！,,['OVA'],1,Finished Airing,"Jun 15, 2012",,,"None found,","None found,",['AIC'],['Light novel'],,['School'],12 min.,PG-13 - Teens 13 or older,5.18,#12957,#7954,"6,697",2,3100,"A world where the existence of magic has been known for a century as a mysterious power to rival science. However, the discovery of MISO — the Material of an Impediment to the Sorcerer's Orders — made magic into not a special power, but a technique that can be raised. One morning, while Shōta Hacchōya (a high school boy attending a magic academy) was tasting miso soup, a princess of Majieeru suddenly breaks in. Majieeru happens to be the birthplace of magic. (Source: ANN)","['Adaptation (Light Novel) Mahou Tsukai Nara Miso wo Kue!', '']",Mahoutsukai Nara Miso wo Kue!,,,['Fantasy'],,,,
161,,秘書課ドロップ THE ANIMATION,,['OVA'],1,Finished Airing,"May 25, 2012",,,['Pink Pineapple'],"None found,",['G-Lam'],['Manga'],,,26 min.,Rx - Hentai,6.36,N/A,#8650,"5,459",13,2067,"A young assistant finds himself surrounded by hot office ladies so he thinks his dearest dream just came true, but soon he realizes that -more than a harem master- he is like the office sexual toy. (Source: ANN)","['Adaptation (Manga) Hishoka Drop', '']",Hishoka Drop The Animation,,,['Hentai'],,,,
162,,セレ・カノ,Lady Does Butler,['OVA'],2,Finished Airing,"Apr 20, 2012 to Jul 20, 2012",,,['Digital Works'],['Kitty Media'],['Y.O.U.C'],['Manga'],,,27 min. per ep.,Rx - Hentai,6.33,N/A,#8772,"5,259",10,2035,"During summer holidays, Katsuragi reports to the Tsubaratera household to work as a butler in accordance to his grandfather's will. There, he meets the spoiled and willful Tsubaratera Kotoha. (Source: translated and adapted from official site by Cranston)","['Adaptation (Manga) Cele♥Kano', '']",Cele Kano,,,['Hentai'],,,,
163,Okusama wa Tenshi,おくさまは天使 [ミカえる] ♥,,['OVA'],2,Finished Airing,"Apr 20, 2012 to Jun 6, 2014",,,['ChiChinoya'],"None found,",['Schoolzone'],Original,,,26 min. per ep.,Rx - Hentai,6.17,N/A,#9100,"4,731",11,1599,"Mika Amano, a newly married woman, discovers an alien who crashed on earth. This alien named Furuu can take the shape of any article of clothing. Her husband, Dr. Shinichi Amano, works at a small clinic and discovers an intresting side effect to a new experimental drug. (Source: ANN)",[],Okusama wa Michael,,,['Hentai'],,,,
164,Shinken Zemi Koukou Kouza,進研ゼミ高校講座,,['OVA'],1,Finished Airing,"Apr 4, 2012",,,['Half H.P Studio'],"None found,",['Manglobe'],Other,,['School'],32 min.,PG-13 - Teens 13 or older,5.47,#12203,#16229,595,1,121,"Shinken Seminar Koukou Kouza is Benesse's correspondence course that helps middle school students get into their high schools of choice. The story follows a middle school boy named Shouta as he strives to get in the right high school, despite the appearance of a rival. (Source: ANN)",[],Shinken Seminar Koukou Kouza,,,,,['Shounen'],,
165,,ポンタと遠足,,['OVA'],1,Finished Airing,"May 25, 2012",,,['Arplants'],"None found,","None found,",Unknown,"['Adventure', 'Drama']",,12 min.,None,[],#21099,#17397,467,0,,"The short revolves around a kitten named Ponta and Kenta, a second-grade boy who goes on a school trip.",[],Ponta to Ensoku,,,,,,,
166,,マーメイドリカちゃん,,['OVA'],1,Finished Airing,"Apr 18, 2012",,,"None found,","None found,",['Tatsunoko Production'],Other,,['Mahou Shoujo'],16 min.,G - All Ages,[],#20196,#21345,210,0,,Animated DVD original story bundled with the Licca-chan Mermaid themed doll set.,[],Mermaid Licca-chan,,,['Fantasy'],,['Kids'],,
167,"Berserk Movie, Berserk Saga",ベルセルク 黄金時代篇Ⅱ ドルドレイ攻略,Berserk: The Golden Age Arc II - The Battle for Doldrey,['Movie'],1,Finished Airing,"Jun 23, 2012",,,"['VAP', 'Hakusensha', 'Movic', 'Yahoo! Japan', 'Lucent Pictures Entertainment', 'Good Smile Company', 'Beyond C.', 'KDDI']",['VIZ Media'],['Studio 4°C'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",,1 hr. 32 min.,R+ - Mild Nudity,7.87,#889,#1170,"222,931",759,143180,"The Band of the Hawk and their enigmatic leader Griffith continue winning battle after battle as their prestige throughout the kingdom of Midland grows. But their latest task is one that has seen failure from everyone who has attempted it: the subjugation of the impenetrable fortress of Doldrey. But with members like Guts—the captain of the Hawks' raiders who can easily fell 100 men with his gigantic sword—such tasks prove to be trivial. However, in the aftermath of the battle, Guts decides to leave the Hawks in order to pursue his own dream and bids farewell to his companions, despite Griffith's attempts to make him stay. This single event causes Griffith to lose his composure, and leads him to make a decision that will alter his and the Hawks' fates forever. [Written by MAL Rewrite]","['Prequel (Movie) Berserk: Ougon Jidai-hen I - Haou no Tamago', 'Sequel (Movie) Berserk: Ougon Jidai-hen III - Kourin', 'Adaptation (Manga) Berserk', '']",Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Berserk: Das goldene Zeitalter II,Berserk: l'Age d'Or Partie II - La Bataille de Doldrey,,"['Gore', 'Military', 'Psychological']",['Seinen'],Berserk: La Edad de Oro II. La Batalla de Doldrey,
168,"Blood-C Movie, Gekijouban Blood-C",劇場版 ブラッドシー ザ ラスト ダーク,Blood-C: The Last Dark,['Movie'],1,Finished Airing,"Jun 2, 2012",,,"['Aniplex', 'Dentsu', 'Shochiku', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Dwango']",['Funimation'],['Production I.G'],Original,"['Action', 'Horror', 'Supernatural']",,1 hr. 46 min.,R+ - Mild Nudity,7.15,#3639,#2114,"107,458",240,52184,"Having escaped the many horrors of her village, Saya Kisaragi vows to hunt down the monster responsible and make him pay with his life. As she tears through flesh and bone for her vendetta, she encounters SIRRUT, a group of ingenious hackers, who enlist Saya to help them defeat a common enemy—someone she knows all too well. Unfortunately, the path she follows is paved with tragedy, as once again, Saya faces betrayal at the hands of those she has come to trust. With her back against the wall, the fearsome monster slayer must fight with all her strength and skill if she is to overcome this final mission and exact vengeance. [Written by MAL Rewrite]","['Prequel (TV) Blood-C', 'Prequel (Special) Blood-C: Special Edition', 'Adaptation (Light Novel) Blood-C: The Last Dark', '']",Blood-C: The Last Dark,,,,"['Gore', 'Vampire']",,,
169,Momo e no Tegami,ももへの手紙,A Letter to Momo,['Movie'],1,Finished Airing,"Apr 21, 2012",,,"['Bandai Visual', 'OLM', 'Kadokawa Shoten', 'HoriPro', 'Mainichi Broadcasting System', 'TBS', 'CBC Television', 'RCC Chugoku Broadcasting', 'Kadokawa Pictures Japan', 'Yahoo! Japan', 'Tokyu Recreation', 'JR East Marketing & Communications', 'Mainichi Shimbun']","['NYAV Post', 'GKIDS']",['Production I.G'],Original,"['Award Winning', 'Drama', 'Supernatural']",,2 hr.,G - All Ages,7.57,#1669,#2434,"86,456",179,36135,"After the unexpected death of her father, 11-year-old Momo Miyaura leaves Tokyo with her mother and moves to an old remote island in Seto Inland Sea. The only memento she has from her father is an unfinished letter with only two words inside: ""Dear Momo""—along with her heart's unrest from it. In the new and unfamiliar small town, Momo reluctantly tries to adjust to the outmoded wooden buildings, silent crop fields, and mysterious isolated shrines. One day, while exploring the attic of her new home, she finds a worn out picture book about youkai. Following this discovery, strange things begin to happen around town, and Momo is greeted by the arrival of three troublesome youkai. Momo e no Tegami tells the story of a young girl as she struggles to adapt to her bizarre new life and ultimately come to terms with her father's mysterious letter. [Written by MAL Rewrite]","['Adaptation (Manga) Momo e no Tegami', '']",Momo e no Tegami,Ein Brief an Momo,Lettre à Momo,,,,Una Carta para Momo,
170,,劇場版　名探偵コナン　11人目のストライカー,Detective Conan Movie 16: The Eleventh Striker,['Movie'],1,Finished Airing,"Apr 14, 2012",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery', 'Sports']",,1 hr. 50 min.,G - All Ages,7.70,#1305,#3479,"46,038",29,26653,"In Touto Stadium, a J. League soccer match is taking place. During this, Detective Kogorou Mouri receives a bomb threat from an unknown caller and a mysterious riddle that points to its location. Conan Edogawa must now save the fans of the game before the time runs out. Fortunately, with Conan's quick actions and clever thinking, the bomb is discovered and the explosion is evaded. The culprit does not stop there; Detective Kogorou is informed of another hidden bomb set to explode at a large event in the city. Forced into a race against time, with thousands of more lives at stake, Conan must decipher another riddle, discover the place of the bomb, and catch the culprit in order to escape a terrible tragedy. [Written by MAL Rewrite]",[],Meitantei Conan Movie 16: 11-ninme no Striker,Detektiv Conan Film 16: Der 11. Stürmer,Détective Conan Film 16: Le Onzième Attaquant,,"['Detective', 'Team Sports']",['Shounen'],Detective Conan Película 16: El Undécimo Delantero,
171,"Library War the Movie, Gekijouban Toshokan Sensou, Library War: The Wings of Revolution",図書館戦争 革命のつばさ,Library Wars: The Wings of Revolution,['Movie'],1,Finished Airing,"Jun 16, 2012",,,"['Kadokawa Shoten', 'Dwango', 'Sony PCL', 'Jinnan Studio', 'Cinema Sunshine']","None found,",['Production I.G'],Novel,"['Action', 'Comedy', 'Romance']",,1 hr. 44 min.,PG-13 - Teens 13 or older,7.73,#1206,#4685,"25,032",43,9066,"Following a terror attack in which a helicopter crashed into a nuclear power plant, the Japanese government passes a law expanding the powers of the Media Betterment Committee (MBC). Knowing that the MBC will target author Kurato Touma due to the similarities between one of his novels and the terrorists' actions, journalist Maki Orikuchi asks the Library Defense Force (LDF) to act as his bodyguards. Meanwhile, the higher-ups of the LDF prepare to indict the MBC on the grounds that parts of its new authority are unconstitutional. With the very existence of the Media Betterment Act coming under scrutiny, the members of the Library Task Force must navigate both their blossoming relationships and the precarious political situation they find themselves in. [Written by MAL Rewrite]","['Prequel (TV) Toshokan Sensou', '']",Toshokan Sensou: Kakumei no Tsubasa,,,,"['Adult Cast', 'Military']",,,
172,P4A: The Factor of Hope,ペルソナ4 the Animation -the Factor of Hope-,Persona 4 the Animation: The Factor of Hope,['Movie'],1,Finished Airing,"Jun 9, 2012",,,['Index'],"None found,",['AIC ASTA'],Game,"['Action', 'Adventure', 'Mystery', 'Supernatural']",,1 hr. 30 min.,PG-13 - Teens 13 or older,7.26,#3054,#5158,"19,768",15,4958,"Recap of the entire 25-episode television anime series with new cuts and also the unaired ""True End Episode"" that was included in the 10th Blu-ray Disc/DVD volume.","['Adaptation (Manga) Persona 4 Read Manga', '']",Persona 4 the Animation: The Factor of Hope,,,,"['School', 'Super Power']",,,
173,Short Peace,火要鎮,Combustible,['Movie'],1,Finished Airing,"Jun 4, 2012",,,"None found,",['Sentai Filmworks'],['Sunrise'],Original,"['Award Winning', 'Slice of Life']",['Historical'],12 min.,PG-13 - Teens 13 or older,6.32,#8158,#7110,"8,867",2,4065,"The city of Edo, the 18th century. Owaka, the daughter of a merchant family, and her childhood friend Matsukichi. The two were drawn to each other, but Matsukichi has been disowned by his family, and is working for the city fire brigade. Meanwhile, negotiations begin for the arrangement of Owaka's marriage. Unable to let go of her thoughts of Matsukichi, her mad emotions make her bring about a massive inferno which razes Edo. By chance encounter, the two meet again amidst the fires. It is an epic spectacle set against the stage of the massive metropolis of Edo. (Source: Short Peace Site)",[],Hi no Youjin,,,,,,,
174,"Niji-iro Hotaru: Eien no Natsuyasumi, Rainbow-colored Firefly: Never Ending Summer Vacation, Niji-Iro Hotaru ~Eien no Natsu Yasumi~, Rainbow-Colored Fireflies: The Eternal Summer Vacation",虹色ほたる~永遠の夏休み~,Rainbow Fireflies,['Movie'],1,Finished Airing,"May 19, 2012",,,"None found,","None found,",['Toei Animation'],Novel,"['Fantasy', 'Romance', 'Slice of Life']",['Time Travel'],1 hr. 44 min.,G - All Ages,6.98,#4482,#7301,"8,281",16,2214,"Yuuta was 12-year-old boy, who had lost his father in the traffic accident one year ago. In the summer vacation, he visited a deserted dam deep in the mountains, where he had a good time with his father before. Suddenly a thunder storm occurred and he slipped on the ground. He lost consciousness and woke up to find a girl and an unfamiliar village. He time-traveled 30 years and reached a village, which sank at the bottom of the dam. This is Yuuta's precious memory of ""another"" summer vacation.","['Adaptation (Manga) Nijiiro Hotaru: Eien no Natsuyasumi', '']",Nijiiro Hotaru: Eien no Natsuyasumi,,,,,,,
175,Short Peace,九十九,Possessions,['Movie'],1,Finished Airing,"Jun 4, 2012",,,"None found,",['Sentai Filmworks'],['Sunrise'],Original,,['Historical'],14 min.,PG-13 - Teens 13 or older,6.61,#6442,#7299,"8,292",4,4232,"One night during the 18th century, deep in the mountains, a man loses his way and comes across a small shrine. As he enters, the space transforms into a room of a different world. (Source: Annecy)",[],Tsukumo,,,['Supernatural'],,,,
176,Eiga Crayon Shin-chan: Arashi wo Yobu! Ora to Uchuu no Princess,映画 クレヨンしんちゃん 嵐を呼ぶ!オラと宇宙のプリンセス,,['Movie'],1,Finished Airing,"Apr 14, 2012",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],,,1 hr. 50 min.,G - All Ages,6.84,#5122,#8123,"6,335",0,3771,"An action comedy set in the solar system, about a row over Himawari, Shinnosuke's younger sister, between the Nohara family and aliens. Shinnosuke has a fight with Himawari, because she ate his crème caramel. Suddenly, two mysterious men appear and Shinnosuke signs an agreement to leave her with them. They abduct the Nohara family to the Planet Himawari by UFO. On the Planet Himawari, Sunday Goronesky the Great says Himawari needs to be the princess of the planet in order to save the Earth and the Planet Himawari from the fateful crisis. (Source: Manabu Tsuribe)","['Prequel (Movie) Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen', 'Sequel (Movie) Crayon Shin-chan Movie 21: Bakauma! B-Kyuu Gourmet Survival Battle!!']",Crayon Shin-chan Movie 20: Arashi wo Yobu! Ora to Uchuu no Princess,,,['Comedy'],,['Seinen'],Shin Chan Película 20: Shin Chan y la Princesa del Espacio,
177,,旅するぬいぐるみ ~Traveling Daru~,,['Movie'],1,Finished Airing,"Apr 4, 2012",,,['CoMix Wave Films'],"None found,","None found,",Original,,,10 min.,G - All Ages,7.17,#3543,#8681,"5,404",11,2940,"Daru, a cherished handmade stuffed toy, gets lost and separated from its owner one day when at the airport. Determined to find her again, Daru sets out on a journey around the world in search of her. As time passes, the girl begins to forget about Daru. Will Daru be able to find and see his beloved owner again? (Source: Crunchyroll)",[],Tabisuru Nuigurumi: Traveling Daru,Traveling Daru,Traveling Daru,['Slice of Life'],,,Traveling Daru,
178,,ひめゆり,,['Movie'],1,Finished Airing,"Jun 23, 2012",,,"['Himeyuri Alumnae Incorporated Foundation', 'ASIA Documentary Productions']","None found,","None found,",Original,,['Historical'],31 min.,G - All Ages,6.36,#7922,#13339,"1,284",2,360,"The 30-minute film centers around a group of high school nurses called Himeyuri who served during the Battle of Okinawa during World War II. The Himeyuri Alumnae Incorporated Foundation, which runs the Himeyuri Peace Museum in Okinawa, produced the film with the aim to convey the experiences of those high school nurses, many of whom lost their lives during the battle, to children. (Source: ANN)",[],Himeyuri,,,['Drama'],,,,
179,,紙兎ロペ　つか、夏休みラスイチってマジっすか！？,Paper Rabbit Rope: Wait Last One For Summer Vacation For Real!?,['Movie'],1,Finished Airing,"May 12, 2012",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Slice of Life']",,1 hr. 25 min.,G - All Ages,[],#19283,#16898,516,0,,"An actual movie of the Kamiusagi Rope series, featuring Rope and Akira, as they experience a thrilling adventure in their downtown.","['Prequel (Movie) Kamiusagi Rope 3', 'Sequel (TV) Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?']","Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?",,,,,,,
180,AniMen II,超蛙战 威武教官,AniMen: The Galactic Battle,['Movie'],1,Finished Airing,"Jun 1, 2012",,,['Gorilla Pictures'],"None found,",['Shanghai Hippo Animation'],Original,"['Action', 'Sci-Fi']",,1 hr. 24 min.,PG-13 - Teens 13 or older,[],#17214,#19871,292,0,,"Millennia ago, a ferocious nomadic tribe uncovered a forbidden lair of data crystals. These crystals gave the SWARM tribe advanced knowledge of warfare and genetic manipulation. Like wildfire, their vast empire soon spread across the galaxy, conquering and destroying everything in their path. The few survivors brave enough to fight back rose from the ashes. This is their story. (Source: Amazon)","['Prequel (Movie) Chao Wa Zhanshi', '']",Chao Wa Zhanshi: Weiwu Jiaoguan,,,,"['Mecha', 'Military', 'Space']",,,
181,,"POPPING, MIXING",,['Movie'],1,Finished Airing,"Apr 6, 2012",,,['Tamabi'],"None found,","None found,",Original,,,4 min.,PG-13 - Teens 13 or older,5.41,#12379,#20113,280,0,108,A short film by Ryoji Yamada.,[],"Popping, Mixing",,,['Avant Garde'],,,,
182,GG Bond Movie 1,猪猪侠 囧囧危机,GG Bond & Hatching,['Movie'],1,Finished Airing,"Jun 28, 2012",,,"None found,","None found,","None found,",Original,,['Super Power'],1 hr. 22 min.,G - All Ages,[],#16372,#20072,280,0,,"The first ever theatrical G.G. Bond film. G.G. Bond and his friends have to use environmental protection to save the Fairy Tale planet. Their planet is actually an egg, and the greenhouse gasses from pollution are about to let it hatch. If the eggshell breaks, everyone will die.",[],Zhu Zhu Xia: Jiong Jiong Wei Ji,,,['Sci-Fi'],,['Kids'],,
183,,38-39°C,,['Movie'],1,Finished Airing,"Apr 20, 2012",,,"None found,","None found,","None found,",Original,,,7 min.,PG-13 - Teens 13 or older,[],#16457,#21487,204,1,,The connection between a son and his father shows itself through a birthmark. (Source: IMDB),[],38-39°C,,,['Drama'],,,,
184,Seer 2,赛尔号大电影2：雷伊与迈尔斯,,['Movie'],1,Finished Airing,"Jun 28, 2012",,,"None found,","None found,","None found,",Game,,,1 hr. 31 min.,PG - Children,[],#21491,#22657,148,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Sai Er Hao: Xunzhao Fenghuang Shenshou', 'Sequel (Movie) Sai Er Hao Movie 3: Zhanshen Lianmeng']",Sai Er Hao Movie 2: Leiyi Yu Mai Er Si,,,,,['Kids'],,
185,Happy Panda,我是大熊猫,,['Movie'],1,Finished Airing,"Apr 28, 2012",,,"None found,","None found,",['Shanghai Animation Film Studio'],Unknown,,,1 hr. 29 min.,PG - Children,[],#15339,#23476,124,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (Movie) Wo Shi Da Xiongmao: Xiongmao Da Xia', '']",Wo Shi Da Xiongmao,,,['Fantasy'],,['Kids'],,
186,,今天·明天,,['Movie'],1,Finished Airing,"May 11, 2012",,,"None found,","None found,","None found,",Unknown,,,1 hr. 31 min.,None,[],#19071,#24032,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jintian Mingtian,,,['Adventure'],,['Kids'],,
187,Happy Little Submarine 2,潜艇总动员2,,['Movie'],1,Finished Airing,"Jun 1, 2012",,,"None found,","None found,","None found,",Unknown,,,1 hr. 25 min.,PG - Children,[],#21213,#24047,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Qian Ting Zong Dong Yuan', 'Sequel (Movie) Qian Ting Zong Dong Yuan 3: Caihong Baozang']",Qian Ting Zong Dong Yuan 2,,,['Adventure'],,['Kids'],,
188,,戚继光英雄传,The Legend of The Hero,['Movie'],1,Finished Airing,"Jun 1, 2012 to May 1, 2012",,,"None found,","None found,","None found,",Other,,['Historical'],1 hr. 30 min.,G - All Ages,[],#21186,#25018,95,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Qi Jiguang Yingxiong Chuan,,,,,['Kids'],,
189,,我与拉拉,,['Movie'],1,Finished Airing,"May 25, 2012",,,"None found,","None found,","None found,",Original,,,1 hr. 38 min.,PG - Children,[],#15354,#25332,90,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wo Yu LaLa,,,['Fantasy'],,['Kids'],,
190,,吴健雄,,['Movie'],1,Finished Airing,"Jun 5, 2012",,,"None found,","None found,","None found,",Other,,['Historical'],1 hr. 32 min.,G - All Ages,[],#15370,#25307,91,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wu Jianxiong,,,,,['Kids'],,
191,Bunny Crisis,兔兔危机,,['Movie'],1,Finished Airing,Jun 2012,,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",['Anthropomorphic'],1 hr. 24 min.,PG - Children,[],#15087,#25302,91,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tutu Weiji,,,,,['Kids'],,
192,Highschool DxD Specials,ハイスクールD×Dスペシャル,,['Special'],6,Finished Airing,"Mar 21, 2012 to Aug 29, 2012",,,"['Genco', 'Lantis']",['Funimation'],['TNK'],['Light novel'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",,3 min. per ep.,R+ - Mild Nudity,7.27,#3016,#1204,"215,551",399,125547,"A series of 3-5 minute specials that were bundled with the HighSchool DxD DVD and Blu-rays. They are a stand alone set of episodes that are not a part of any story line in particular. Special 1: Going Sunbathing! - The Occult Research Club goes on a beach outing. Special 2: Issei's Private Training! - Issei is being given lessons in magic by Akeno. Special 3: A Little Bold, Koneko-Chan... Nyan! - Koneko accidentally has her personality reversed magically, making her incredibly sexually active and reversing her sexual preference. Special 4: The Untold Story of The Dress Break's Birth! - A few flashbacks of how Issei first found out and eventually perfected his special move, Dress Break. Special 5: Making Udon! - As part of a penalty for losing a bet, Sona and Tsubaki make udon for the Occult Research Club but the udon comes to life in a peculiar way... Special 6: Asia Transforms! - Asia wants to prove she is just as bad as any demon by using ideas found in Issei's magazines, going as far as dressing up like a harlot and seducing him. (Source: Wikipedia)",[],High School DxD Specials,,,,"['Harem', 'Mythology', 'School']",,,
193,,男子高校生の日常,Daily Lives of High School Boys Specials,['Special'],6,Finished Airing,"Apr 3, 2012 to Sep 4, 2012",,,"None found,","['NIS America, Inc.']",['Sunrise'],['Web manga'],,,3 min. per ep.,PG-13 - Teens 13 or older,7.82,#989,#1718,"141,665",192,76727,"The clueless boys of Sanada North High School never lack a new topic to dissect. Questions about girls are endless, the true meaning of being a man could be hidden in questionable chivalry, and there might be a moral side to silly pranks. With a different predicament always ongoing, the daily lives of high school boys are anything but boring. [Written by MAL Rewrite]",[],Danshi Koukousei no Nichijou Specials,,,['Comedy'],"['Gag Humor', 'School']",,,
