,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Genre,Theme,Demographics
69,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4013,#7391,"8,011",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,El Ninja Boy Rantaró,,['Kids'],['Comedy'],,
70,,ガッ活!,,['TV'],25,Finished Airing,"Apr 3, 2012 to Sep 18, 2012",['Spring 2012'],Tuesdays at Unknown,['Fanworks'],"None found,",['NHK'],Original,,,5 min. per ep.,G - All Ages,6.43,#7545,#7581,"7,509",8,2836,"In a fictional school, ""Tender Tank"" Rareko is constantly opening absurd yet strangely enthusiastic debates, this way creating a lively classroom life. Bringing up tremendous themes, she and her classmates exchange words like sword-strokes, and here and there even a profound remark is slipped in. A fun and informative debate comedy, packed into only five minutes each time. (Source: AniDB)","['Sequel (TV) Gakkatsu! 2nd Season', 'Adaptation (Manga) Comic Gakkatsu!']",Gakkatsu!,,,,,['Comedy'],['School'],
71,Danbooru Senki W,ダンボール戦機 Ｗ,LBX: Little Battlers eXperience Season 2,['TV'],58,Finished Airing,"Jan 18, 2012 to Mar 20, 2013",['Winter 2012'],Unknown,"None found,",['Dentsu Entertainment USA'],['OLM'],Game,,,23 min. per ep.,G - All Ages,7.05,#4131,#7714,"7,206",28,3504,"One year after the fight with the Innovators, a new terrorist organization called the Detectors threatens the world using LBXs. Ban joins up with new and old friends to stop the Detectors. (Source: ANN)","['Prequel (TV) Danball Senki', 'Sequel (TV) Danball Senki Wars']",Danball Senki W,,,,['Kids'],['Action'],['Mecha'],
72,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,23 min.,G - All Ages,7.34,#2625,#7918,"6,763",62,2181,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,Chibi Maruko-chan,,['Shoujo'],['Comedy'],['School'],
73,,ジュエルペットきら☆デコッ!,,['TV'],52,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,"['TV Tokyo', 'Sotsu', 'Sanrio']","None found,",['Studio Comet'],Original,,"['Anthropomorphic', 'Mahou Shoujo']",24 min. per ep.,PG - Children,6.73,#5688,#8886,"5,068",20,1703,"In the Legends of Jewel Land, the Jewelpets were born from the love and caring of their queen, Jewelina. However a strange meteor crashes into the Mirror Ball, destroying it into a million pieces and its fragments called ""Deco Stones"" were all scattered in Jewel Land. In the present time, Ruby, a dimwitted Rabbit Jewelpet and owner of the Kira Kira Shop, has a thing on sparkly decorations and loves to collect anything that sparkles and shines. However, when she and the others learn about the legend of the Mirror Ball and the Deco Stones, they all decided to go and search for them, until they all meet 5 strange individuals called the KiraDeco 5. The group also has the same goal on wanting to collect the Deco Stones and they befriended the Jewelpets, especially to one of their members: Pink Oomiya. Now, the group need to gather all the Deco Stones and stop the Eternal Darkness from taking over the human world. (Source: ANN)","['Prequel (TV) Jewelpet Sunshine', 'Sequel (TV) Jewelpet Happiness']",Jewelpet Kira☆Deco!,,,,,['Fantasy'],,
74,,爆TECH！爆丸,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,['Shogakukan Music & Digital Entertainment'],"None found,","None found,",['Manga'],,,5 min. per ep.,PG - Children,5.87,#10568,#9174,"4,635",6,2116,"Bakugan is the card game for a new generation. In ""Baku TECH"" passionate warriors fight each other and risk their life for Bakugan.","['Sequel (TV) Baku Tech! Bakugan Gachi', 'Adaptation (Manga) Baku Tech! Bakugan']",Baku Tech! Bakugan,,,,['Shounen'],['Action'],['Strategy Game'],
75,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,24 min.,PG - Children,6.58,#6586,#9187,"4,607",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,['Kids'],,,
76,,忍者ハットリくん （2012年版）,,['TV'],52,Finished Airing,"May 13, 2012 to Feb 16, 2015",['Spring 2012'],Not scheduled once per week,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,,24 min. per ep.,G - All Ages,6.70,#5883,#10337,"3,182",1,1773,Remake of the Ninja Hattori-kun series.,"['Adaptation (Manga) Ninja Hattori-kun', '']",Ninja Hattori-kun (2012),,,,,['Comedy'],,
77,Cooking Idol,クッキンアイドル　アイ！マイ！まいん！,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,"['Comedy', 'Gourmet']",,6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,882",9,738,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,,,,['Kids'],,,
78,"On a Stormy Night: Secret Friends, One Stormy Night",あらしのよるに ひみつのともだち,,['TV'],26,Finished Airing,"Apr 4, 2012 to Sep 26, 2012",['Spring 2012'],Unknown,"['Bandai Visual', 'Dentsu', 'TV Osaka', 'MediaNet', 'AT-X', 'Duckbill Entertainment', 'Baku Enterprise']","None found,",['Sparky Animation'],Book,"['Adventure', 'Drama']",,23 min. per ep.,G - All Ages,6.65,#6172,#10762,"2,821",7,858,"A new anime adaptation by Sparky Animation, Duckbill Entertainment, Baku Enterprise and Bandai Visual of the book Arashi no Yoru ni (One Stormy Night...) by Kimura Yuuichi.","['Adaptation (Manga) Arashi no Yoru ni', '']",Arashi no Yoru ni: Himitsu no Tomodachi,,,,,,['Anthropomorphic'],
79,"Battle Spirits: Haou, Battlespirits Heroes, Battle Spirits Season 4",バトルスピリッツ 覇王（ヒーローズ）,,['TV'],50,Finished Airing,"Sep 18, 2011 to Sep 2, 2012",['Fall 2011'],Unknown,['Nagoya Broadcasting Network'],"None found,",['Sunrise'],Card game,,,23 min. per ep.,PG - Children,6.17,#8986,#10902,"2,698",4,1023,"Like every card game enthusiast, Hajime Hinobori has always wanted to see the Spirits from his cards come to life and witness them in real combat. This dream is successfully realized by Hajime's scientist parents, who develop an augmented reality system that revolutionizes the competitive scene of Battle Spirits. Curious players from across the globe travel to partake in this innovative battle system. With his sight set on becoming the champion of this new form of Battle Spirits, Hajime encounters many colorful and quirky rivals, including eccentric diva Kimari Tatsumi and arrogant prodigy Tegamaru Tanashi. Along this journey of self-discovery and card-gaming shenanigans, there are no ordinary days in the lives of young heroes striving to take the crown! [Written by MAL Rewrite]",[],Battle Spirits: Heroes,,,,,['Sci-Fi'],['Strategy Game'],
80,AI Football GGO,超智能足球,GGO Football,['TV'],52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014",['Summer 2010'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],Original,"['Comedy', 'Sports']",,22 min. per ep.,G - All Ages,6.58,#6606,#11206,"2,466",10,1203,"As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created. (Source: GGO Football Website)","['Sequel (TV) Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian', '']",Chao Zhi Neng Zu Qiu,GGO Football,GGO Football,GGO Football,,,['Team Sports'],
81,,ゴン,,['TV'],50,Finished Airing,"Apr 2, 2012 to Mar 25, 2013",['Spring 2012'],Mondays at 18:00 (JST),['Kodansha'],"None found,",['Daewon Media'],['Manga'],"['Action', 'Adventure']",,23 min. per ep.,G - All Ages,5.97,#10041,#11301,"2,399",8,941,"The Gon series features the completely wordless adventures of the irascible title character, a tiny fictional dinosaur, as he interacts with the natural world. Gon somehow survived the extinction of his fellow dinosaurs and interacts with paleolithic animals. (Source: Wikipedia)","['Sequel (TV) Gon 2nd Season', 'Adaptation (Manga) Gon']",Gon,,,,['Kids'],,['Anthropomorphic'],
82,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,10 min.,G - All Ages,6.39,#7747,#11553,"2,225",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,['Kids'],,,
83,,たまごっち!,,['TV'],143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012",['Fall 2009'],Unknown,"None found,","None found,",['OLM Digital'],Game,,,25 min. per ep.,G - All Ages,6.34,#8029,#11897,"2,005",11,552,The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. (Source: ANN),"['Sequel (TV) Tamagotchi! Yume Kira Dream', '']",Tamagotchi!,,,,['Kids'],['Comedy'],,
84,Crayon Shin-chan: Shin-Men,SHIN-MEN,,['TV'],13,Finished Airing,"Nov 26, 2010 to Sep 14, 2012",['Fall 2010'],Unknown,"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],Unknown,"['Action', 'Comedy']",,12 min. per ep.,G - All Ages,6.14,#9125,#12047,"1,918",0,476,"The spinoff is set in a parallel world known as Shin Jigen (Shin Dimension). The titular Shin-men team is composed of five heroes with supernatural powers symbolized by fire (Gou), water (Sui), wind (Hyuu), greenery (Nyoki), and iron (Kan). Together, they fight against their enemy, the evil pigs of Ton-Men. (Source: AniDB)",[],Shin-Men,,,,['Seinen'],,['Super Power'],
85,,デュエル・マスターズ ビクトリーV,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Unknown,['Shogakukan-Shueisha Productions'],"None found,",['Shogakukan Music & Digital Entertainment'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,5.83,#10793,#13270,"1,312",3,345,"This series continues the adventures of Katta Kirifuda, Bucyake and Yohdel throughout the school season. They meet new classmates such as Leo to duel against. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Victory', 'Sequel (TV) Duel Masters Victory V3']",Duel Masters Victory V,,,,['Kids'],,,
86,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12198,#13594,"1,199",0,443,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
87,"Ad Lib Anime Laboratory, Ad Lib Anime Kenkyuusho",アドリブアニメ研究所,,['TV'],38,Finished Airing,"Oct 16, 2011 to Mar 31, 2013",['Fall 2011'],Unknown,"None found,","None found,","None found,",Original,,,4 min. per ep.,G - All Ages,5.88,#10510,#13606,"1,196",2,238,"Emiri Katou and Kaori Fukuhara, the voice actresses best known for playing the Hiiragi twins in Lucky Star, will headline Ad Lib Anime Kenkyūsho (Ad Lib Anime Laboratory), an experimental anime series which will premiere on the satellite channel BS Fuji on October 15. Katou (as ""Chief Researcher No. 001""), Fukuhara (""Chief Researcher No. 002""), and a guest star ""researcher"" will ad lib each weekly episode's script entirely from scratch. Animators will then take the ad-libbed dialogue and create footage based on them — instead of the castmembers voice-acting to existing scripts and footage, as most anime are made. (Source: ANN)",[],Ad Lib Anime Kenkyuujo,,,,,['Comedy'],,
88,Hana Kappa,はなかっぱ,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,,,10 min.,PG - Children,6.00,#9911,#14263,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,,,['Kids'],['Comedy'],,
