,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,Theme,German,Spanish,Demographics,French
10,チ。―地球の運動について―,Orb: On the Movements of the Earth,['TV'],25,Currently Airing,"Oct 5, 2024 to ?",['Fall 2024'],Saturdays at 23:45 (JST),"['Shogakukan-Shueisha Productions', 'Shogakukan', 'NHK Enterprises', 'SKY Perfect Pictures']","None found,",['Madhouse'],['Manga'],,['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),8.39,#203,#1896,"123,891",981,20201,"Twelve-year-old prodigy Rafal believes in living rationally, so as to earn praise and respect from society while not being led astray by his emotions. To this end, he publicly states his intention to study theology—the academic field held in highest regard in early 15th century Poland. However, an encounter with a mysterious man upends Rafal's life, sparking an illogical desire to instead pursue his passion for astronomy. Rafal is determined to prove the beauty and rationality of heliocentrism—the theory that the Earth revolves around the Sun. This belief is considered heretical by the powerful Church, which promotes geocentrism—the Sun revolving around the Earth—as the sole truth of the universe. Those whose beliefs do not align with the will of the Church suffer unfathomably gruesome consequences. In pursuit of evidence for a heliocentric model of the universe, Rafal grapples with obtaining precise calculations and building empirical theories. His greatest challenge, however, lies in conducting this research discreetly—lest he wish to meet the same fate as other heretics. [Written by MAL Rewrite]","['Adaptation (Manga) Chi. Chikyuu no Undou ni Tsuite', '']",Chi. Chikyuu no Undou ni Tsuite,About the Movement of the Earth,,['Drama'],['Historical'],,,,
11,らんま1/2,Ranma ½,['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 00:55 (JST),"['Shogakukan-Shueisha Productions', 'Nippon Television Network', 'Shogakukan', 'dugout']","None found,",['MAPPA'],['Manga'],"['Action', 'Comedy', 'Romance', 'Ecchi']",['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,8.06,#590,#2055,"111,634",800,47637,"During their martial arts training expedition in China, Ranma Saotome and his father Genma suffered an accident, which in turn, afflicted them with a curse—whenever they are doused with cold water, Ranma transforms into a girl, while his father turns into a panda! Only hot water can reverse these changes, but any further contact with cold water opens the can of worms once more. Unfortunately, the trouble does not end there, as Ranma finds out about his betrothal to one of the daughters of Soun Tendou, his father's closest friend. During the families' first meeting, it is decided that Ranma is to be married to Akane, the youngest daughter, a decision that is met with vehement protests from both sides. The two are simply not compatible, yet they are forced to live under one roof. Ranma's status quo further adds to the chaos, leading him to a series of comedic situations and misunderstandings that, in the grand scheme of things, may just be what he needs to work with Akane. [Written by MAL Rewrite]","['Sequel (TV) Ranma ½ (2024) 2nd Season', 'Adaptation (Manga) Ranma ½']",Ranma ½ (2024),Ranma 1/2 (2024),"['Magical Sex Shift', 'Martial Arts', 'School']",,,,,,
12,来世は他人がいい,Yakuza Fiancé: Raise wa Tanin ga Ii,['TV'],12,Finished Airing,"Oct 7, 2024 to Dec 23, 2024",['Fall 2024'],Mondays at 23:00 (JST),"['Pony Canyon', 'Kodansha', 'Half H.P Studio', 'Tokyo MX', 'BS11', 'Crunchyroll', 'arma bianca', 'SKY Perfect Pictures']","None found,",['Studio Deen'],['Manga'],,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.20,#3365,#2105,"107,027",523,35721,"After years of animosity, the leaders of Osaka's Somei and Tokyo's Miyama yakuza groups have called a truce—by arranging an engagement between their respective grandchildren, Yoshino Somei and Kirishima Miyama. To this end, 17-year-old Yoshino moves to Tokyo to live with the Miyama family and attend school with her new fiancé. Although Kirishima is all smiles and perfectly polite, there is something unsettling about his demeanor that Yoshino cannot put her finger on. Yoshino's suspicions are soon confirmed: despite his manners, Kirishima is a masochistic maniac. He hurts people without batting an eye and also revels in being punished verbally and physically himself. What he wants most is a spoiled and arrogant fiancée who will ruin his life. When Yoshino does not quite meet his expectations, he reveals his true colors and openly insults her. However, instead of running away in fear, Yoshino decides to take revenge by making Kirishima fall in love with her and then ruthlessly breaking his heart. [Written by MAL Rewrite]","['Adaptation (Manga) Raise wa Tanin ga Ii', '']",Raise wa Tanin ga Ii,,,['Romance'],['Organized Crime'],,,,
13,君は冥土様。,You are Ms. Servant.,['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 01:30 (JST),"['TV Asahi', 'Shogakukan-Shueisha Productions', 'Ai Addiction', 'Avex Pictures', 'Shogakukan', 'AbemaTV', 'BS Asahi', 'TV Asahi Music']","None found,",['Felix Film'],['Web manga'],"['Comedy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#3995,#2112,"106,369",418,33704,"One day, Hitoyoshi Yokoya wakes up to a mysterious nameless girl dressed as a maid ringing his doorbell, asking to be his servant. With her former master referring her to the Yokoya household, she offers her expertise as an assassin. Intimidated by her background, Hitoyoshi tries to send her away; but when she leaves something behind, he rushes to return it to her and is nearly hit by a truck in the process. With her fast reflexes, the girl saves him just in time, and Hitoyoshi ends up taking her in. Ironically, the maid lacks any skills apart from the art of killing she has perfected since childhood. Nevertheless, Hitoyoshi welcomes the girl with open arms, encouraging her to leave her monochromatic past behind and experience a normal life. To seal the deal, Hitoyoshi names her Yuki, marking the beginning of her path to redemption and happiness. [Written by MAL Rewrite]","['Adaptation (Manga) Kimi wa Meido-sama.', '']",Kimi wa Meido-sama.,,,,,,,,
14,嘆きの亡霊は引退したい,Let This Grieving Soul Retire,['TV'],13,Finished Airing,"Oct 1, 2024 to Dec 24, 2024",['Fall 2024'],Tuesdays at 23:30 (JST),"['Tokyo MX', 'Avex Pictures', 'BS NTV', 'Micro Magazine Publishing', 'GREE Entertainment', 'Saber Links']","None found,",['Zero-G'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4006,#2144,"104,482",319,44411,"As dungeon-like treasure vaults started appearing throughout the land, more and more people began signing up as treasure hunters—risking their lives to obtain the vast riches and ancient relics inside. In the imperial capital of Zebrudia, the top hunter party is the Grieving Souls—a group of six childhood friends led by Krai Andrey, who is thought to be the strongest of them due to having a reputed wide array of skills. However, Krai actually has no special talent. His accomplishments are actually the result of his friends being overpowered. Krai has repeatedly attempted to leave the party out of fear his lack of aptitudes would one day cause his companions' downfall. Nevertheless, everyone around Krai thinks differently, making him feel obligated to remain the group's leader. [Written by MAL Rewrite]","['Sequel (TV) Nageki no Bourei wa Intai shitai 2nd Season', 'Adaptation (Manga) Nageki no Bourei wa Intai shitai: Saijaku Hunter ni Yoru Saikyou Party Ikuseijutsu', 'Adaptation (Light Novel) Nageki no Bourei wa Intai shitai: Saijaku Hunter ni Yoru Saikyou Party Ikuseijutsu', '']",Nageki no Bourei wa Intai shitai,Let This Grieving Soul Retire! Woe Is the Weakling Who Leads the Strongest Party,,,,,,,
15,ひとりぼっちの異世界攻略,Loner Life in Another World,['TV'],12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",['Fall 2024'],Fridays at 00:00 (JST),"['Pony Canyon', 'Movic', 'BS Fuji', 'Tokyo MX', 'Overlap', 'GREE Entertainment']",['Sentai Filmworks'],"['Passione', 'Hayabusa Film']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6596,#2207,"99,831",405,41301,"High school student Haruka has always been a content loner. One day, he and his class are abruptly transported to another world and given skill points to use when choosing from an assortment of abilities and magical powers. Unfortunately, Haruka arrives last, and he can only use his points on the seemingly impractical abilities the others had no interest in. Although he is on his own again and must adjust to his new life by himself, he much prefers it that way. However, Haruka's peaceful solitude is short-lived, as he runs into some of his classmates. Weak to their pleas for help, he ends up sheltering and helping them reunite with the others. But the different cliques struggle to see eye to eye, forcing Haruka to find a way to end the infighting and restore harmony between them to survive the unfamiliar world. [Written by MAL Rewrite]","['Adaptation (Manga) Hitoribocchi no Isekai Kouryaku', 'Adaptation (Light Novel) Hitoribocchi no Isekai Kouryaku']",Hitoribocchi no Isekai Kouryaku,Lonely Attack on the Different World,,,['Isekai'],,,,
16,最凶の支援職【話術士】である俺は世界最強クランを従える,"The Most Notorious ""Talker"" Runs the World's Greatest Clan",['TV'],12,Finished Airing,"Oct 7, 2024 to Dec 23, 2024",['Fall 2024'],Mondays at 23:30 (JST),"['Pony Canyon', 'DAX Production', 'KlockWorx', 'Tokyo MX', 'Docomo Anime Store', 'Overlap', 'Kadokawa Media House', 'Contents Seed', 'BS NTV', 'MAGNET', 'Bushiroad Move', 'GREE Entertainment']","None found,","['Felix Film', 'Ga-Crew']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,R - 17+ (violence & profanity),7.64,#1464,#2208,"99,833",464,47033,"Noel longs to be a Seeker like his heroic grandfather, slaying the beasts that emerge from Abysses and exploring far-off lands. Unfortunately, it turns out he's nothing but a measly Talker–a job with no combat skills whatsoever. Undaunted, Noel sets out to establish the strongest clan in all the land, using his silver-tongued Talker skills to unite assassins and heroes under his leadership. (Source: Seven Seas Entertainment)","['Adaptation (Manga) Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru', 'Adaptation (Light Novel) Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru']","Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",,,,,,,,
17,ソードアート・オンライン オルタナティブ ガンゲイル・オンラインⅡ,Sword Art Online Alternative: Gun Gale Online II,['TV'],12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",['Fall 2024'],Saturdays at 00:00 (JST),"['Aniplex', 'Magic Capsule', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.15,#3653,#2229,"98,335",320,22608,"A new tournament, Squad Jam 3, has been announced in the popular VR game Gun Gale Online. This time, Pitohui, one of the best performers in the previous competition, offers to team up with Karen Kohiruimaki, better known in-game as LLENN, the ""Pink Devil."" Despite her initial reluctance, Karen agrees to join Pitohui's team, LPFM, since she looks forward to facing SHINC, her rivals from the previous Squad Jam. The newly formed LPFM enrolls in the tournament and is quickly recognized as the favorite to win due to the caliber of its players. As they strive to come out on top and win Squad Jam 3, LLENN, Pitohui, and the other members of LPFM battle against other competitors and tackle unexpected challenges. [Written by MAL Rewrite]","['Prequel (TV) Sword Art Online Alternative: Gun Gale Online', 'Prequel (ONA) Sword Art Online Alternative: Gun Gale Online II - Gala', 'Adaptation (Manga) Sword Art Online Alternative: Gun Gale Online', 'Adaptation (Light Novel) Sword Art Online Alternative: Gun Gale Online']",Sword Art Online Alternative: Gun Gale Online II,SAO Alternative Gun Gale Online II,"['Military', 'Video Game']",['Action'],,,,,
18,神之塔 -Tower of God- 工房戦,Tower of God Season 2: Workshop Battle,['TV'],13,Finished Airing,"Oct 6, 2024 to Dec 29, 2024",['Fall 2024'],Sundays at 23:00 (JST),"['Crunchyroll', 'Sola Entertainment', 'Bandai Namco Filmworks', 'Line Digital Frontier']","None found,",['The Answer Studio'],['Web manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4753,#2248,"97,415",205,39176,Second part of Tower of God Season 2.,"['Prequel (TV) Kami no Tou: Ouji no Kikan', 'Adaptation (Manhwa) Tower of God']",Kami no Tou: Koubou-sen,"Sin-ui Tap, 신의 탑, Kami no Tou 2nd Season, Tower of God: Workshop Battle",,,,,,,
19,魔王2099,Demon Lord 2099,['TV'],12,Finished Airing,"Oct 13, 2024 to Dec 29, 2024",['Fall 2024'],Sundays at 00:00 (JST),"['Aniplex', 'Tokyo MX', 'BS11', 'Kadokawa']","None found,",['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.48,#2018,#2277,"95,455",295,35113,"Five hundred years ago, the fantasy world of Alneath was torn apart by a war between magically gifted immortals and mortals armed with magical artifacts. The conflict came to an end when mortals' hero, Gram, slayed the Demon Lord Veltol Velvet Velsvolt. In 2099, the world looks a bit different. Alneath and technologically advanced Earth have fused in an event known as Fantasion. Immortals have been hunted down to near extinction, and technological implants called Familia allow mortals to use magic. As the new world slowly recovers, Veltol's vassal Machina Solege resurrects him in Shinjuku, a techno-magical city constructed in the middle of devastated lands. However, Veltol's magic is severely weakened, and his former ally Marcus has betrayed him. To regain his fame and magical abilities, Veltol follows the advice of Takahashi—Machina's friend and a professional hacker—to start an unusual career: live streaming. His sharp tongue and comically poor gaming skills quickly secure him followers, but to dominate the world once again, Veltol must first uncover Shinjuku's secrets and thwart Marcus' vile plans. [Written by MAL Rewrite]","['Adaptation (Manga) Maou 2099', 'Adaptation (Manga) Maou 2099', 'Adaptation (Light Novel) Maou 2099', '']",Maou 2099,"Ken to Maou no Cyberpunk, The Lord Of Immortals Blooming in The Abyss F.E. 2099",,,['Urban Fantasy'],,,,
20,ドラゴンボール ダイマ,Dragon Ball Daima,['TV'],Unknown,Currently Airing,"Oct 11, 2024 to ?",['Fall 2024'],Fridays at 23:40 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Shounen'],23 min.,PG-13 - Teens 13 or older,7.77,#1113,#2287,"94,562",637,18313,"After saving the world from the destructive might of Majin Buu, Gokuu Son and his allies look forward to a well-earned rest. However, unbeknownst to them, their battle was recorded and observed by Gomah, an evil being who assumes the title of King in the Demon Realm, filling the void left behind with the death of former ruler Dabura. At Gomah's side is Degesu, the younger brother of Higashi no Kaioshin, a being who lords over the universe. Jealous of his brother's power, Degesu works alongside Gomah to steal Earth's Dragon Balls and preemptively subdue any potential future enemies. Calling upon the power of the legendary dragon Shenron, Gomah wishes for Gokuu and his friends to be reverted into children, intending to rob them of the limitless power that defeated Buu. With Earth's greatest warriors shrunken down, Gomah abducts Dende, the planet's acting god. But Gokuu refuses to be set back by his new body, working to master his younger form to fight as proficiently as he could as an adult. Joined by Kaioshin and Glorio—a mysterious but seemingly rebellious demon—Gokuu pursues Gomah to the Demon Realm in order to rescue Dende and restore his friends to their natural ages. [Written by MAL Rewrite]",[],Dragon Ball Daima,,,,['Martial Arts'],,,,
21,歴史に残る悪女になるぞ,I'll Become a Villainess Who Goes Down in History,['TV'],13,Finished Airing,"Oct 2, 2024 to Dec 25, 2024",['Fall 2024'],Wednesdays at 00:30 (JST),"['Lantis', 'Half H.P Studio', 'Kadokawa', 'Bandai Namco Music Live']","None found,",['Maho Film'],['Light novel'],"['Comedy', 'Fantasy', 'Romance']",['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2737,#2317,"92,620",421,40292,"The kind and compassionate heroine of an otome game may be as flawless as she is admirable, but a certain young woman from Japan much prefers the villainess, Alicia Williams. She sees sense in Alicia's ruthless verbal abuse and values her discipline and fortitude. On the other hand, aside from always toying with Prince Duke Seeker's emotions, the commoner heroine seems to only spout lip service. Given the choice, the young woman would love to be reincarnated as Alicia—and her wish suddenly comes true! Seven-year-old Alicia awakens with the memories of her past life, now aware of all the future events, outcomes, and the world's secrets. She has no fear; to outsmart the heroine and avoid a bad ending, all Alicia needs is hard work, mastery of her noble family's dark magic, and the determination to become the greatest villainess in history. [Written by MAL Rewrite]","['Adaptation (Manga) Rekishi ni Nokoru Akujo ni Naru zo: Akuyaku Reijou ni Naru hodo Ouji no Dekiai wa Kasoku suru you desu!', 'Adaptation (Light Novel) Rekishi ni Nokoru Akujo ni Naru zo: Akuyaku Reijou ni Naru hodo Ouji no Dekiai wa Kasoku suru you desu!']",Rekishi ni Nokoru Akujo ni Naru zo,"Rekiaku, I'll Become a Villainess That Will Go Down in History: The More of a Villainess I Become, the More the Prince will Dote on Me","['Isekai', 'Villainess']",,,,,,
22,結婚するって、本当ですか 365 Days To The Wedding,365 Days to the Wedding,['TV'],12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",['Fall 2024'],Thursdays at 23:30 (JST),"['Sotsu', 'Pony Canyon', 'Studio Mausu', 'BS11', 'Rakuten']","None found,",['Ashi Productions'],['Manga'],,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.13,#3757,#2324,"92,103",273,33379,"As introverted colleagues at a travel agency in Tokyo, Takuya Oohara and Rika Honjouji both cherish their happily single lives. After work, home is where they feel most at ease: Takuya unwinds with his cat, while Rika studies various maps. However, an uncertain future looms over their treasured tranquility when their company plans to open a branch office in Alaska within one year and transfer an unmarried employee there. During a day off, Takuya and Rika accidentally meet and, despite never having spoken before, open up to each other about their relocation fears. Feeling encouraged by Takuya facing the same predicament, Rika suddenly proposes a daring solution—to pretend to be engaged for 365 days. Takuya accepts, but little do the two know that the path to marriage may, in many ways, change forever the very lifestyles they struggle to preserve. [Written by MAL Rewrite]","['Adaptation (Manga) Kekkon suru tte, Hontou desu ka', '']","Kekkon suru tte, Hontou desu ka",Are You Really Getting Married?,"['Adult Cast', 'Workplace']",['Romance'],,,,,
23,転生貴族、鑑定スキルで成り上がる 第2期,"As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World Season 2",['TV'],12,Finished Airing,"Sep 29, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 23:30 (JST),"['Dentsu', 'CBC Television', 'Kodansha', 'Crunchyroll', 'U-NEXT', 'Tencent Japan', 'Bushiroad Move', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['studio MOTHER'],['Light novel'],"['Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.49,#1993,#2352,"90,328",251,36914,"Second season of Tensei Kizoku, Kantei Skill de Nariagaru.","['Prequel (TV) Tensei Kizoku, Kantei Skill de Nariagaru', 'Sequel (TV) Tensei Kizoku, Kantei Skill de Nariagaru 3rd Season', 'Adaptation (Light Novel) Tensei Kizoku, Kantei Skill de Nariagaru: Jakushou Ryouchi wo Uketsuida node, Yuushuu na Jinzai wo Fuyashiteitara, Saikyou Ryouchi ni Natteta', '']","Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season",Reincarnated as an Aristocrat with an Appraisal Skill Season 2,"['Isekai', 'Reincarnation']",,,,,,
24,やり直し令嬢は竜帝陛下を攻略中,The Do-Over Damsel Conquers The Dragon Emperor,['TV'],12,Finished Airing,"Oct 9, 2024 to Dec 25, 2024",['Fall 2024'],Wednesdays at 22:00 (JST),"['AT-X', 'Magic Capsule', 'Docomo Anime Store', 'Kansai Telecasting', 'BS NTV', 'Kadokawa']","None found,",['J.C.Staff'],['Light novel'],"['Comedy', 'Fantasy', 'Romance']",['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,7.05,#4131,#2609,"76,175",319,29098,"Jill Savelle—fiancée of the crown prince Gerald der Kratos and known as the ""Lady Goddess of War""—is being hunted down by the same country she swore to protect. Betrayed by her betrothed, she is framed as a traitor and imprisoned. In her last moments, Jill is filled with regret, but just as death approaches, she awakens six years in the past. This time, she will not be a mere pawn. Now as a 10-year-old girl, Jill resolves to escape her imminent engagement to the prince. To this end, she jokingly professes her love to the 19-year-old dragon emperor Hadis Teos Rave, who will one day stain the land in blood due to madness. But against all expectations, he accepts! In contrast to the tyrant from Jill's memories, the Hadis of this time is a kind albeit unfortunate emperor. Can Jill prevent Hadis from descending down the same dark, villainous road, or is he bound to an inevitable future? [Written by MAL Rewrite]","['Adaptation (Manga) Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu', 'Adaptation (Light Novel) Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu']",Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,"Yariryuu, The Returnee Noble Lady Attacks His Majesty the Dragon Emperor, Win Over the Dragon Emperor This Time Around, Noble Girl!",,,['Time Travel'],,,,
25,青の祓魔師 雪ノ果篇,Blue Exorcist: Beyond the Snow Saga,['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 00:30 (JST),"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Rakuonsha', 'Shueisha']",['Aniplex of America'],['Studio VOLN'],['Manga'],"['Action', 'Supernatural']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.41,#2324,#2624,"75,507",194,17681,"Demonic activity worldwide has significantly increased due to the involvement and corrupt practices of the Illuminati. To combat the unnatural influx of demons, the Vatican Headquarters decides to hold the annual Exorcist Certification Exam early and allow for as many exorcists as possible to take up the mantle. Straight from the Vatican, one of the most powerful exorcists, Lewin ""Lightning"" Light, arrives at True Cross Academy to help prepare the students for the exam. The ease and mastery with which Lewin performs exorcisms quickly impresses Ryuuji ""Bon"" Suguro, who has lost his ambition to continue his studies, and Lewin surprisingly accepts him as his apprentice. Amid the worsening situation, twin brothers Rin and Yukio Okumura are sent to locate the recently missing exorcist Shura Kirigakure, who seems to be chained to a decades-long contract with a powerful, immortal demon hiding in Aomori Prefecture's dangerous, snowy mountains. [Written by MAL Rewrite]","['Prequel (TV) Ao no Exorcist: Shimane Illuminati-hen', 'Sequel (TV) Ao no Exorcist: Yosuga-hen', 'Adaptation (Manga) Ao no Exorcist', '']",Ao no Exorcist: Yuki no Hate-hen,"Blue Exorcist Season 4, Ao no Exorcist 4th Season","['Mythology', 'School']",,,,,,
26,さようなら竜生、こんにちは人生,"Good Bye, Dragon Life",['TV'],12,Finished Airing,"Oct 11, 2024 to Dec 27, 2024",['Fall 2024'],Fridays at 01:28 (JST),"['Dentsu', 'TBS', 'KlockWorx', 'Crunchyroll', 'DMM.com', 'DMM pictures', 'arma bianca', 'BloomZ', 'AlphaPolis', 'HIAN']","None found,","['SynergySP', 'Vega Entertainment']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.35,#7972,#2749,"69,908",153,27418,"Long ago, a human managed to defeat the oldest, most powerful dragon of them all. This dragon was so strong that even the gods feared it, but it accepted its end all alone. Then, suddenly, the dragon woke up in a new life as a guy named Dolan, living in a faraway village. Living as a regular person now, Dolan works hard in the fields and hunts for food. Even though life in the village is simple, it's also cozy and makes him happy in ways he never felt as a dragon. But one day, while exploring a swamp, Dolan meets Celina, a creature who's part human and part snake called a lamia. She's looking for a partner but admits she's not great at getting humans to like her because she's part snake. Despite their differences, Dolan and Cerina start to become friends. However, they face lots of challenges from outside forces. Join them on a magical adventure as a once-mighty dragon begins a new life in a quiet corner of the world! (Source: MAL News)","['Adaptation (Manga) Sayounara Ryuusei, Konnichiwa Jinsei', 'Adaptation (Light Novel) Sayounara Ryuusei, Konnichiwa Jinsei']","Sayounara Ryuusei, Konnichiwa Jinsei","Goodbye Dragon Life, Hello Human Life",,,['Reincarnation'],,,,
27,甘神さんちの縁結び,Tying the Knot with an Amagami Sister,['TV'],24,Currently Airing,"Oct 2, 2024 to ?",['Fall 2024'],Wednesdays at 00:00 (JST),"['Kodansha', 'KlockWorx', 'King Records', 'Crunchyroll', 'BS NTV']","None found,",['Drive'],['Manga'],"['Comedy', 'Romance']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3950,#2764,"69,421",308,12035,"After witnessing his mother's death at a young age, Uryuu Kamihate grew up disillusioned with the gods, dismissing faith in them as utter nonsense. Due to his beliefs, he aims to become a doctor, spending most of his time studying to enter the prestigious Kyoto University. To further his studies, Uryuu searches for a new place to take him in and get away from the noisy environment of the orphanage where he grew up. Chidori Amagami, head priest of the Amagami Shrine, allows him to stay at the Amagami residence. However, Uryuu has to live there with Chidori's three granddaughters—Yae, Yuna, and Asahi—who serve as shrine maidens. Moreover, Chidori has another condition for Uryuu: he has to marry one of the sisters to ensure the shrine's future and one day inherit it. But with Uryuu's goals and outlook naturally clashing against the sisters' beliefs, this already daunting ordeal seems outright impossible. [Written by MAL Rewrite]","['Adaptation (Manga) Amagami-san Chi no Enmusubi', '']",Amagami-san Chi no Enmusubi,Matchmaking of the Amagami Household,,,['Harem'],,,,
28,パーティーから追放されたその治癒師、実は最強につき,"The Healer Who Was Banished From His Party, Is, in Fact, the Strongest",['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 02:00 (JST),"['Pony Canyon', 'KlockWorx', 'NBCUniversal Entertainment Japan', 'Futabasha', 'ABC Animation', 'APDREAM', 'Bushiroad Move', 'Procen Studio', 'Zero G Act']","None found,",['Studio Elle'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,5.70,#11358,#2775,"69,093",119,27241,"Throughout his youth, unskilled healer Laust was taken advantage of by unscrupulous adventurers. Despite intensive efforts to improve himself, Laust is swindled by the members of Blades of Lightning—the first party that he joins after completing his training—and is eventually banished by its leader Margulus. As the subject of public ridicule, Laust is not hopeful about his future prospects. However, novice adventurer Narsena unexpectedly offers to form a party with him, and he happily accepts. The duo quickly gain fame by conquering uncharted parts of the labyrinth. While there seems to be a reason behind Narsena's hasty proposal, Laust is oblivious to what it could be. Meanwhile, Margulus fails for the second time to slay a poisonous hydra, even after enlisting the help of elite healer Lyra for the quest. Laust soon finds himself being asked to rejoin Blades of Lightning, but it is not as easy as he imagined to move on from his former comrades-in-arms despite his new path and current companion. [Written by MAL Rewrite]","['Adaptation (Manga) Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki', 'Adaptation (Light Novel) Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki']","Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki",,,,,,,,
